id,enter_time_str,latency
1206WFIL,2025-04-01 04:52:42.416,258.0
8LZ34SQR,2025-04-01 04:52:42.676,285.0
MJ8WKPLM,2025-04-01 04:52:42.676,285.0
RD1VRH3Y,2025-04-01 04:52:42.676,285.0
1H4D4389,2025-04-01 04:52:42.676,285.0
RUXMR2U2,2025-04-01 04:52:42.676,285.0
W54QOLYL,2025-04-01 04:52:42.676,285.0
U97XHM1N,2025-04-01 04:52:42.676,285.0
U9HQ877X,2025-04-01 04:52:42.676,285.0
QB2S5SIC,2025-04-01 04:52:42.963,229.0
XAQOXE6H,2025-04-01 04:52:42.963,229.0
IA4A50AW,2025-04-01 04:52:42.963,229.0
Y176Q5QA,2025-04-01 04:52:42.963,229.0
GO3YBLNT,2025-04-01 04:52:42.963,229.0
2UY5MC3G,2025-04-01 04:52:42.963,229.0
O9PJ6FUX,2025-04-01 04:52:42.963,229.0
X0NJONVO,2025-04-01 04:52:42.963,229.0
0ZZOJ3L8,2025-04-01 04:52:42.963,229.0
XAKQXBHB,2025-04-01 04:52:43.194,167.0
AO5CA0M3,2025-04-01 04:52:43.194,167.0
RWL6KZB5,2025-04-01 04:52:43.194,167.0
DY00A3ZR,2025-04-01 04:52:43.194,167.0
1GY8ROXB,2025-04-01 04:52:43.194,167.0
MQTCYQPN,2025-04-01 04:52:43.194,167.0
O3PLS5YG,2025-04-01 04:52:43.194,167.0
OFB0RDMC,2025-04-01 04:52:43.363,129.0
ZBDTQTIR,2025-04-01 04:52:43.363,129.0
9DROJNK5,2025-04-01 04:52:43.363,129.0
I0HNTOTR,2025-04-01 04:52:43.363,129.0
COMJF7M6,2025-04-01 04:52:43.363,129.0
BB6V5EGG,2025-04-01 04:52:43.494,103.0
IDCRUELP,2025-04-01 04:52:43.494,103.0
PM4WL4YQ,2025-04-01 04:52:43.494,103.0
GC1SCRUO,2025-04-01 04:52:43.494,103.0
418NJ5PN,2025-04-01 04:52:43.598,79.0
5B3KMKJ0,2025-04-01 04:52:43.598,79.0
JZE9ZX5X,2025-04-01 04:52:43.598,79.0
WTPHE1VH,2025-04-01 04:52:43.679,78.0
A9SO15J7,2025-04-01 04:52:43.679,78.0
29DR56Z4,2025-04-01 04:52:43.679,78.0
43BVQNDA,2025-04-01 04:52:43.758,56.0
DMLAAIXV,2025-04-01 04:52:43.758,56.0
VCXJASEI,2025-04-01 04:52:43.815,55.0
C7E5NI60,2025-04-01 04:52:43.815,55.0
WWZZKWWO,2025-04-01 04:52:43.871,55.0
T84P07DH,2025-04-01 04:52:43.871,55.0
DU92UIAJ,2025-04-01 04:52:43.927,33.0
MX7KI0BH,2025-04-01 04:52:43.961,31.0
UYGD1696,2025-04-01 04:52:43.994,54.0
O3QIRMS7,2025-04-01 04:52:43.994,54.0
6ET3FC4E,2025-04-01 04:52:44.050,32.0
6RMOQ0GT,2025-04-01 04:52:44.083,32.0
YZV2QZ6B,2025-04-01 04:52:44.116,31.0
BLX6L4ZP,2025-04-01 04:52:44.149,31.0
D229VB58,2025-04-01 04:52:44.181,31.0
ZGMCHS9L,2025-04-01 04:52:44.214,31.0
