id,enter_time_str,latency
Y44HZX6H,2025-04-01 04:44:06.824,127.0
WDED55OE,2025-04-01 04:44:07.593,4.0
V2ZFZ63N,2025-04-01 04:44:07.604,5.0
G477QVVR,2025-04-01 04:44:07.610,9.0
0SI5MKJB,2025-04-01 04:44:07.610,9.0
PT3WMYD1,2025-04-01 04:44:07.610,9.0
Y0ETT3GA,2025-04-01 04:44:07.610,9.0
BBDIJM4Y,2025-04-01 04:44:07.620,12.0
8JTIN6HL,2025-04-01 04:44:07.620,12.0
M9WDQ6VE,2025-04-01 04:44:07.620,12.0
G9PO8QHA,2025-04-01 04:44:07.620,12.0
5NLP1H61,2025-04-01 04:44:07.620,12.0
MGXZSHZ0,2025-04-01 04:44:07.620,12.0
8IOLWURI,2025-04-01 04:44:07.633,5.0
U1NYFG68,2025-04-01 04:44:08.028,8.0
QRKQTVLB,2025-04-01 04:44:08.062,6.0
I6A6INUU,2025-04-01 04:44:08.069,30.0
RVI4YUGR,2025-04-01 04:44:08.069,30.0
8EH9LB8P,2025-04-01 04:44:08.069,30.0
6308CCTN,2025-04-01 04:44:08.069,30.0
831M9JLJ,2025-04-01 04:44:08.069,30.0
KEPES7Y3,2025-04-01 04:44:08.069,30.0
JQNMIR8R,2025-04-01 04:44:08.069,30.0
QEO7PTNS,2025-04-01 04:44:08.069,30.0
HDEBHZEH,2025-04-01 04:44:08.069,30.0
UGLHWAKZ,2025-04-01 04:44:08.069,30.0
UMUU9M7Q,2025-04-01 04:44:08.069,30.0
DRGK6876,2025-04-01 04:44:08.069,30.0
MXKF0B58,2025-04-01 04:44:08.069,30.0
B88TK773,2025-04-01 04:44:08.069,30.0
DACOA4OM,2025-04-01 04:44:08.069,30.0
AR9Y5VGE,2025-04-01 04:44:08.069,30.0
GK9KIEA9,2025-04-01 04:44:08.069,30.0
JALB5AJP,2025-04-01 04:44:08.327,6.0
FE09SSL0,2025-04-01 04:44:08.334,14.0
X0CGROBS,2025-04-01 04:44:08.334,14.0
C4YFM9FK,2025-04-01 04:44:08.334,14.0
U7NT3DVP,2025-04-01 04:44:08.334,14.0
MU9IN3QV,2025-04-01 04:44:08.334,14.0
F924BZZW,2025-04-01 04:44:08.349,12.0
BAYBUO6D,2025-04-01 04:44:08.349,12.0
ZBZAU86J,2025-04-01 04:44:08.349,12.0
3YAPTHUM,2025-04-01 04:44:08.349,12.0
J2UE1YG7,2025-04-01 04:44:08.349,12.0
V2ADSRCK,2025-04-01 04:44:08.349,12.0
OU0TWMXZ,2025-04-01 04:44:08.349,12.0
5LDCA0RI,2025-04-01 04:44:08.746,15.0
JM67CKCO,2025-04-01 04:44:08.762,19.0
PH6MB9D2,2025-04-01 04:44:08.762,19.0
2Z0G1KGS,2025-04-01 04:44:08.762,19.0
RRY6041E,2025-04-01 04:44:08.762,19.0
XPJA6CZM,2025-04-01 04:44:08.762,19.0
9HI3R294,2025-04-01 04:44:08.762,19.0
5ST82KLL,2025-04-01 04:44:08.762,19.0
XXBVFFAO,2025-04-01 04:44:08.762,19.0
XZ4IX635,2025-04-01 04:44:08.762,19.0
JBICSTJR,2025-04-01 04:44:08.782,16.0
YRUH7O1C,2025-04-01 04:44:08.782,16.0
ZW48VV8G,2025-04-01 04:44:08.782,16.0
6AOSMKBC,2025-04-01 04:44:08.782,16.0
OA9XU2UG,2025-04-01 04:44:08.782,16.0
QLT4TJU9,2025-04-01 04:44:08.782,16.0
N8T8PXY9,2025-04-01 04:44:08.782,16.0
FS5OSGC8,2025-04-01 04:44:08.782,16.0
Y7UM2622,2025-04-01 04:44:08.782,16.0
W06013YE,2025-04-01 04:44:09.053,9.0
YMKRVU6K,2025-04-01 04:44:09.063,15.0
9EI10H3X,2025-04-01 04:44:09.063,15.0
O9GTB0G6,2025-04-01 04:44:09.063,15.0
40BI4RB9,2025-04-01 04:44:09.063,15.0
CQ70R2XX,2025-04-01 04:44:09.063,15.0
MGHT1U65,2025-04-01 04:44:09.063,15.0
9MHBQ4K3,2025-04-01 04:44:09.063,15.0
N6L3S2XB,2025-04-01 04:44:09.063,15.0
8G27395H,2025-04-01 04:44:09.063,15.0
18RF9AK8,2025-04-01 04:44:09.080,8.0
UX5GJDGI,2025-04-01 04:44:09.080,8.0
7BWTIEX0,2025-04-01 04:44:09.080,8.0
FHDZVAV2,2025-04-01 04:44:09.468,5.0
QM3JCDKI,2025-04-01 04:44:09.474,14.0
JKT4M7X6,2025-04-01 04:44:09.474,14.0
Y6UYNOT3,2025-04-01 04:44:09.474,14.0
P42P7S4H,2025-04-01 04:44:09.490,18.0
CG9E3O75,2025-04-01 04:44:09.490,18.0
1G1X46DM,2025-04-01 04:44:09.490,18.0
7P0C7RW1,2025-04-01 04:44:09.490,18.0
REAVDJU2,2025-04-01 04:44:09.490,18.0
LYMP2HSB,2025-04-01 04:44:09.490,18.0
I4SCUYSU,2025-04-01 04:44:09.509,14.0
1L0S2107,2025-04-01 04:44:09.509,14.0
1IFEFSV2,2025-04-01 04:44:09.509,14.0
5FVTXRTK,2025-04-01 04:44:09.509,14.0
PRGEF5FN,2025-04-01 04:44:09.509,14.0
2IIWFKMV,2025-04-01 04:44:09.509,14.0
ZY40TGSM,2025-04-01 04:44:09.509,14.0
ZC5CCCH0,2025-04-01 04:44:09.509,14.0
DUQQGX0L,2025-04-01 04:44:09.509,14.0
X4G1DEKC,2025-04-01 04:44:09.768,8.0
J60QVF1J,2025-04-01 04:44:09.768,8.0
HQCJAQPG,2025-04-01 04:44:09.776,12.0
HCLUPUYB,2025-04-01 04:44:09.776,12.0
BYTNZ310,2025-04-01 04:44:09.776,12.0
Q703YDAR,2025-04-01 04:44:09.789,14.0
ON33N5DT,2025-04-01 04:44:09.789,14.0
BPWUI68L,2025-04-01 04:44:09.789,14.0
JOGRLPY3,2025-04-01 04:44:09.789,14.0
DB7EYC7S,2025-04-01 04:44:09.789,14.0
I1I6CZI1,2025-04-01 04:44:09.789,14.0
FVISNFTH,2025-04-01 04:44:09.789,14.0
AN75IKJB,2025-04-01 04:44:09.789,14.0
P5RVHIIA,2025-04-01 04:44:10.190,3.0
N517ITQK,2025-04-01 04:44:10.198,7.0
0ZTY7NT0,2025-04-01 04:44:10.206,17.0
A18ZKJ2I,2025-04-01 04:44:10.206,17.0
561D5NIN,2025-04-01 04:44:10.206,17.0
0WEX0QBX,2025-04-01 04:44:10.206,17.0
CO808Q8P,2025-04-01 04:44:10.206,17.0
YDLZPPND,2025-04-01 04:44:10.206,17.0
UEF68M9P,2025-04-01 04:44:10.206,17.0
8LINNNWI,2025-04-01 04:44:10.224,16.0
UGFFTLK7,2025-04-01 04:44:10.224,16.0
INA4MGLD,2025-04-01 04:44:10.224,16.0
XHWNU1O8,2025-04-01 04:44:10.224,16.0
OOLSJHDS,2025-04-01 04:44:10.224,16.0
EPJMUYCP,2025-04-01 04:44:10.224,16.0
TGXVG9AV,2025-04-01 04:44:10.224,16.0
2GQHVVDO,2025-04-01 04:44:10.224,16.0
RKWEZ734,2025-04-01 04:44:10.224,16.0
N0ORSZX8,2025-04-01 04:44:10.224,16.0
3EA2FVFX,2025-04-01 04:44:10.498,8.0
496FN396,2025-04-01 04:44:10.508,12.0
TFZSNC6S,2025-04-01 04:44:10.508,12.0
B089XOEC,2025-04-01 04:44:10.508,12.0
6A20G22P,2025-04-01 04:44:10.508,12.0
XWYMTQ2T,2025-04-01 04:44:10.508,12.0
E4GFY174,2025-04-01 04:44:10.508,12.0
5SS7TQQE,2025-04-01 04:44:10.523,12.0
0YXXPXXE,2025-04-01 04:44:10.523,12.0
OX2OK4B8,2025-04-01 04:44:10.523,12.0
8W0I1P6J,2025-04-01 04:44:10.523,12.0
FKO9E5GE,2025-04-01 04:44:10.523,12.0
EOKZCUUM,2025-04-01 04:44:10.523,12.0
D90A4MB3,2025-04-01 04:44:10.915,5.0
N3BWOFGR,2025-04-01 04:44:10.921,9.0
2RPDHOEP,2025-04-01 04:44:10.921,9.0
PORA1X8H,2025-04-01 04:44:10.921,9.0
77LE4QCP,2025-04-01 04:44:10.931,14.0
FNFAD4NU,2025-04-01 04:44:10.931,14.0
L742ROC3,2025-04-01 04:44:10.931,14.0
TG9PLY5H,2025-04-01 04:44:10.931,14.0
TIAX31ZC,2025-04-01 04:44:10.931,14.0
5KXGVNLS,2025-04-01 04:44:10.947,15.0
RTQ02YRW,2025-04-01 04:44:10.947,15.0
OMNMLOK9,2025-04-01 04:44:10.947,15.0
TNLCNOVP,2025-04-01 04:44:10.947,15.0
ZJ8XVKWW,2025-04-01 04:44:10.947,15.0
5JX07RT5,2025-04-01 04:44:10.947,15.0
ZXSWZT8J,2025-04-01 04:44:10.947,15.0
MON0KB8Q,2025-04-01 04:44:10.947,15.0
U1B672UA,2025-04-01 04:44:10.947,15.0
0IUY64S6,2025-04-01 04:44:10.947,15.0
MR204NCF,2025-04-01 04:44:11.206,3.0
KYKW3XVQ,2025-04-01 04:44:11.213,6.0
62BV4ES6,2025-04-01 04:44:11.213,6.0
GH2L5FCW,2025-04-01 04:44:11.219,11.0
NFG5869V,2025-04-01 04:44:11.219,11.0
FMJUUKAS,2025-04-01 04:44:11.219,11.0
XOG9YSBF,2025-04-01 04:44:11.231,11.0
JVM9ZJG4,2025-04-01 04:44:11.231,11.0
5RFTQP2O,2025-04-01 04:44:11.231,11.0
UTJ9XI1R,2025-04-01 04:44:11.231,11.0
QCP5F1DI,2025-04-01 04:44:11.231,11.0
TX1LOF3X,2025-04-01 04:44:11.231,11.0
27R3JJJB,2025-04-01 04:44:11.231,11.0
8HYZTEIX,2025-04-01 04:44:11.625,5.0
SGF89M52,2025-04-01 04:44:11.630,9.0
J0B9LK0J,2025-04-01 04:44:11.630,9.0
FSN627A1,2025-04-01 04:44:11.640,12.0
R773JG9A,2025-04-01 04:44:11.640,12.0
TJFJRNF9,2025-04-01 04:44:11.640,12.0
WN718958,2025-04-01 04:44:11.640,12.0
R7W3T4BE,2025-04-01 04:44:11.640,12.0
G8AGNN7L,2025-04-01 04:44:11.640,12.0
9J556WVJ,2025-04-01 04:44:11.654,16.0
X0XQV5PH,2025-04-01 04:44:11.654,16.0
OBMMI7UX,2025-04-01 04:44:11.654,16.0
HAXW0ABY,2025-04-01 04:44:11.654,16.0
NXPBYRJJ,2025-04-01 04:44:11.654,16.0
4F3F07I2,2025-04-01 04:44:11.654,16.0
8FWIC9LM,2025-04-01 04:44:11.654,16.0
W1YK36IM,2025-04-01 04:44:11.654,16.0
TSFQ873B,2025-04-01 04:44:11.654,16.0
8L1C7VVL,2025-04-01 04:44:11.654,16.0
HPKSOTI2,2025-04-01 04:44:11.919,7.0
064L2L03,2025-04-01 04:44:11.927,8.0
JTM0FP4V,2025-04-01 04:44:11.927,8.0
DVPR7L0Z,2025-04-01 04:44:11.927,8.0
OB4AH12Y,2025-04-01 04:44:11.927,8.0
BR2YQBSE,2025-04-01 04:44:11.935,12.0
I4HUXUU0,2025-04-01 04:44:11.935,12.0
C195IXFB,2025-04-01 04:44:11.935,12.0
J4351P5W,2025-04-01 04:44:11.935,12.0
DUV6M492,2025-04-01 04:44:11.948,8.0
RRYRZCN4,2025-04-01 04:44:11.948,8.0
2ISVL6MC,2025-04-01 04:44:11.948,8.0
KFBLZQ7A,2025-04-01 04:44:11.948,8.0
TGJW9KF3,2025-04-01 04:44:12.338,5.0
NJKXUWOV,2025-04-01 04:44:12.343,8.0
F6KPL3NC,2025-04-01 04:44:12.343,8.0
FOI15TGF,2025-04-01 04:44:12.343,8.0
9PRVLPD3,2025-04-01 04:44:12.352,10.0
5VCTQT0W,2025-04-01 04:44:12.352,10.0
C42PDYNA,2025-04-01 04:44:12.352,10.0
RVCWUZPK,2025-04-01 04:44:12.352,10.0
7N1B5KP0,2025-04-01 04:44:12.362,14.0
ZXF25J91,2025-04-01 04:44:12.362,14.0
YD4GLF3G,2025-04-01 04:44:12.362,14.0
40CGFOXR,2025-04-01 04:44:12.362,14.0
ECLE5RQF,2025-04-01 04:44:12.377,11.0
AD0OKYH2,2025-04-01 04:44:12.377,11.0
WTBV9QMO,2025-04-01 04:44:12.377,11.0
23E2KE4V,2025-04-01 04:44:12.377,11.0
PACHJX4J,2025-04-01 04:44:12.377,11.0
J8VEEX8Z,2025-04-01 04:44:12.377,11.0
PHLRYC9Z,2025-04-01 04:44:12.377,11.0
UFPSO7T5,2025-04-01 04:44:12.631,7.0
ITB3KA4X,2025-04-01 04:44:12.639,9.0
4YBQ1DT5,2025-04-01 04:44:12.639,9.0
F5A30YT7,2025-04-01 04:44:12.639,9.0
ZN69AFP4,2025-04-01 04:44:12.639,9.0
K4QBP7JY,2025-04-01 04:44:12.649,12.0
SS95DB9X,2025-04-01 04:44:12.649,12.0
XPZULXJK,2025-04-01 04:44:12.649,12.0
CO749QTQ,2025-04-01 04:44:12.649,12.0
4BBN0IMK,2025-04-01 04:44:12.649,12.0
CPYYUCEE,2025-04-01 04:44:12.649,12.0
U1ZEFAKH,2025-04-01 04:44:12.662,7.0
VW9KVQOM,2025-04-01 04:44:12.662,7.0
OHTVYLTN,2025-04-01 04:44:13.047,5.0
LY1VM5QZ,2025-04-01 04:44:13.052,10.0
GXTHR07K,2025-04-01 04:44:13.052,10.0
1JYK83ID,2025-04-01 04:44:13.065,15.0
V9501E45,2025-04-01 04:44:13.065,15.0
QCA74X0O,2025-04-01 04:44:13.065,15.0
SCTS2YGB,2025-04-01 04:44:13.065,15.0
W15DDQVL,2025-04-01 04:44:13.065,15.0
DAX8ETOZ,2025-04-01 04:44:13.065,15.0
XQCFO5UJ,2025-04-01 04:44:13.082,15.0
IK88PIHB,2025-04-01 04:44:13.082,15.0
9DYTLD9D,2025-04-01 04:44:13.082,15.0
PQLMS7IV,2025-04-01 04:44:13.082,15.0
UQPHZ12C,2025-04-01 04:44:13.082,15.0
KSWNTOX2,2025-04-01 04:44:13.082,15.0
Z8A6A05O,2025-04-01 04:44:13.082,15.0
WLX84Z07,2025-04-01 04:44:13.082,15.0
BTCYP40J,2025-04-01 04:44:13.082,15.0
ZK6DCQER,2025-04-01 04:44:13.082,15.0
56YIUATF,2025-04-01 04:44:13.338,4.0
45NPZG2A,2025-04-01 04:44:13.344,6.0
OQKPG1LI,2025-04-01 04:44:13.351,10.0
71B3DTWZ,2025-04-01 04:44:13.351,10.0
