id,enter_time_str,latency
NXLFP7VU,2025-03-31 23:59:32.080,100.0
2G53ZO6T,2025-03-31 23:59:32.183,38.0
SA8PYE20,2025-03-31 23:59:32.183,38.0
1EPE5RJG,2025-03-31 23:59:32.183,38.0
ANB83681,2025-03-31 23:59:32.183,38.0
51L5OO0S,2025-03-31 23:59:32.183,38.0
8XMJA79K,2025-03-31 23:59:32.183,38.0
YLKN8Z9E,2025-03-31 23:59:32.183,38.0
240LCKMF,2025-03-31 23:59:32.183,38.0
DS4IRXSX,2025-03-31 23:59:32.183,38.0
0SA6ZU48,2025-03-31 23:59:32.183,38.0
DCJ2VORE,2025-03-31 23:59:32.183,38.0
ITCNL0E4,2025-03-31 23:59:32.183,38.0
T6UNQW0V,2025-03-31 23:59:32.223,29.0
11YA93CG,2025-03-31 23:59:32.223,29.0
RMZUAL9X,2025-03-31 23:59:32.254,20.0
TTVYG4KH,2025-03-31 23:59:32.254,20.0
KIAG5TVB,2025-03-31 23:59:32.254,20.0
GBXT8LMB,2025-03-31 23:59:32.254,20.0
S5VU3SGB,2025-03-31 23:59:32.254,20.0
VSFV361W,2025-03-31 23:59:32.276,15.0
7UPJUJOY,2025-03-31 23:59:32.292,15.0
OOOXPNWK,2025-03-31 23:59:32.292,15.0
KGUDFBUV,2025-03-31 23:59:32.309,13.0
B5BWAE38,2025-03-31 23:59:32.309,13.0
D71MOE6U,2025-03-31 23:59:32.322,14.0
LRLEBZLL,2025-03-31 23:59:32.337,16.0
4ARZIFW1,2025-03-31 23:59:32.337,16.0
XTB3HKRE,2025-03-31 23:59:32.354,18.0
THXV27F7,2025-03-31 23:59:32.374,13.0
PR6E8ZF6,2025-03-31 23:59:32.374,13.0
EDSGLUWO,2025-03-31 23:59:32.388,12.0
OPLADFVC,2025-03-31 23:59:32.402,11.0
9Z8HKUDV,2025-03-31 23:59:32.402,11.0
A65KLUWM,2025-03-31 23:59:32.417,10.0
D9RHE05Z,2025-03-31 23:59:32.428,11.0
5CHLEDVH,2025-03-31 23:59:32.440,12.0
S70Q8NRF,2025-03-31 23:59:32.452,12.0
DDUFYSE8,2025-03-31 23:59:32.464,15.0
DRTEUHVK,2025-03-31 23:59:32.481,12.0
N3N4PAAB,2025-03-31 23:59:32.494,18.0
JO7HRDHC,2025-03-31 23:59:32.494,18.0
IDRY8KZA,2025-03-31 23:59:32.515,14.0
OE9FTNVS,2025-03-31 23:59:32.530,15.0
9RAYBXIB,2025-03-31 23:59:32.546,11.0
1TAKJC7R,2025-03-31 23:59:32.546,11.0
1WU05H2D,2025-03-31 23:59:32.568,12.0
6EXONS82,2025-03-31 23:59:32.581,12.0
H7R6ZGZA,2025-03-31 23:59:32.581,12.0
URV4U9V3,2025-03-31 23:59:32.581,12.0
R1GSJZ4D,2025-03-31 23:59:32.594,13.0
VMU2T310,2025-03-31 23:59:32.608,11.0
MICRPQ9D,2025-03-31 23:59:32.620,12.0
RK3E93WJ,2025-03-31 23:59:32.632,13.0
W7CXKLZU,2025-03-31 23:59:32.646,15.0
22EVLFM6,2025-03-31 23:59:32.663,19.0
C0QJZI88,2025-03-31 23:59:32.663,19.0
EA1VET6J,2025-03-31 23:59:32.683,13.0
T4RPXPAR,2025-03-31 23:59:32.683,13.0
IFZ9X40Y,2025-03-31 23:59:32.698,16.0
TY53QCEZ,2025-03-31 23:59:32.715,20.0
8E3T35FG,2025-03-31 23:59:32.715,20.0
TNU02E7R,2025-03-31 23:59:32.735,13.0
LBT77EZ5,2025-03-31 23:59:32.750,17.0
B1AN6WH1,2025-03-31 23:59:32.768,18.0
CRQK1DMD,2025-03-31 23:59:32.787,18.0
3P0D8ALW,2025-03-31 23:59:32.787,18.0
0Q3LG3SP,2025-03-31 23:59:32.807,15.0
RJ79DE29,2025-03-31 23:59:32.823,14.0
DY1QWCE3,2025-03-31 23:59:32.823,14.0
CFC9KW4C,2025-03-31 23:59:32.823,14.0
EK053LJY,2025-03-31 23:59:32.838,17.0
2BNXAO3S,2025-03-31 23:59:32.857,14.0
IJKHTFMG,2025-03-31 23:59:32.857,14.0
Q4IK9QQ1,2025-03-31 23:59:32.873,16.0
2OSNL1X1,2025-03-31 23:59:32.890,21.0
2LQWHE34,2025-03-31 23:59:32.890,21.0
Y94CSLOL,2025-03-31 23:59:32.912,16.0
W1K1K0QL,2025-03-31 23:59:32.912,16.0
HGYKDZJT,2025-03-31 23:59:32.929,15.0
VBMLHH16,2025-03-31 23:59:32.929,15.0
