id,enter_time_str,latency
MPCQX86E,2025-04-01 00:44:47.653,763.0
ZO8XDVVQ,2025-04-01 00:44:47.662,814.0
FYKYG8TL,2025-04-01 00:44:47.666,783.0
AJ1RC6PI,2025-04-01 00:44:47.676,1118.0
ER7YDVNV,2025-04-01 00:44:47.688,1105.0
BSD0DIRD,2025-04-01 00:44:47.697,1420.0
4WQBRWQY,2025-04-01 00:44:47.703,831.0
EXA8WN10,2025-04-01 00:44:47.713,1082.0
MNG140MZ,2025-04-01 00:44:47.723,973.0
7HV9SM7X,2025-04-01 00:44:47.730,746.0
2TXC7E8M,2025-04-01 00:44:47.740,1377.0
N4RU8HFK,2025-04-01 00:44:47.751,945.0
KFBY90X0,2025-04-01 00:44:47.768,1345.0
8IMJHJWG,2025-04-01 00:44:47.778,913.0
IHMC1C59,2025-04-01 00:44:47.787,1329.0
32VCZX03,2025-04-01 00:44:47.790,1324.0
YV8HO4T4,2025-04-01 00:44:47.798,735.0
DMGXGT6Y,2025-04-01 00:44:47.809,989.0
NALELJRI,2025-04-01 00:44:47.816,717.0
MLD5ENGV,2025-04-01 00:44:47.828,1291.0
5JC3LR3N,2025-04-01 00:44:47.836,859.0
Q1784X26,2025-04-01 00:44:47.845,1273.0
VS4S2NH9,2025-04-01 00:44:47.864,832.0
XVSH4EY6,2025-04-01 00:44:47.868,927.0
AAJIETPX,2025-04-01 00:44:47.874,659.0
AL409R70,2025-04-01 00:44:47.884,1235.0
CCICJ605,2025-04-01 00:44:47.893,805.0
Z89F4DJL,2025-04-01 00:44:47.902,1212.0
9D76KMWL,2025-04-01 00:44:47.912,1204.0
XR80KUXX,2025-04-01 00:44:47.921,872.0
901ISR2I,2025-04-01 00:44:47.931,1183.0
6PCZNHY1,2025-04-01 00:44:47.941,851.0
XA0NSXHM,2025-04-01 00:44:47.949,848.0
CK6G1CJL,2025-04-01 00:44:47.959,1160.0
TC37I9TT,2025-04-01 00:44:47.968,1150.0
83XLC25I,2025-04-01 00:44:47.979,716.0
JA59ZJG1,2025-04-01 00:44:47.988,1133.0
UE3DSSTV,2025-04-01 00:44:47.997,1082.0
KP0LFXD4,2025-04-01 00:44:48.009,1313.0
21172BVC,2025-04-01 00:44:48.026,904.0
EHDHRI4U,2025-04-01 00:44:48.035,1457.0
CDIHS4OU,2025-04-01 00:44:48.042,1281.0
GSK60N3W,2025-04-01 00:44:48.054,875.0
EAAP5W50,2025-04-01 00:44:48.054,1025.0
YKVJA9FX,2025-04-01 00:44:48.065,864.0
4HOT5IH7,2025-04-01 00:44:48.074,1004.0
MAH0LMKR,2025-04-01 00:44:48.084,846.0
6TSZUE69,2025-04-01 00:44:48.093,837.0
1ZNOPQIV,2025-04-01 00:44:48.103,974.0
LKA9SU5C,2025-04-01 00:44:48.114,1379.0
W3QTD7IG,2025-04-01 00:44:48.123,809.0
OLUR85RG,2025-04-01 00:44:48.132,989.0
0KM1FI60,2025-04-01 00:44:48.142,1351.0
PLV9SYMV,2025-04-01 00:44:48.152,781.0
7CDKWZ2Q,2025-04-01 00:44:48.162,1331.0
W0TNW1OO,2025-04-01 00:44:48.171,760.0
RG7IFITC,2025-04-01 00:44:48.181,1141.0
9B0Y4C7O,2025-04-01 00:44:48.192,928.0
11448812,2025-04-01 00:44:48.200,878.0
OU5N2ZAP,2025-04-01 00:44:48.210,867.0
PJXOND1H,2025-04-01 00:44:48.221,900.0
R7ZQTCU1,2025-04-01 00:44:48.230,848.0
QSTN9ERU,2025-04-01 00:44:48.240,1084.0
YHTIQKLJ,2025-04-01 00:44:48.249,683.0
1MKNI166,2025-04-01 00:44:48.260,1234.0
YOG24J2C,2025-04-01 00:44:48.269,1226.0
TGMA88S1,2025-04-01 00:44:48.279,800.0
T3QZTKEN,2025-04-01 00:44:48.288,1034.0
G8YWFRWD,2025-04-01 00:44:48.298,1127.0
GX1EXDRK,2025-04-01 00:44:48.309,1016.0
7DDAKSZ0,2025-04-01 00:44:48.328,999.0
BE3JQDC7,2025-04-01 00:44:48.346,979.0
0XTESE4N,2025-04-01 00:44:48.351,729.0
Y2DGYFOI,2025-04-01 00:44:48.352,1073.0
JCVQYJAJ,2025-04-01 00:44:48.355,1140.0
SWR2ZJFU,2025-04-01 00:44:48.365,1062.0
M2C1WMBQ,2025-04-01 00:44:48.375,1051.0
JROZJWMF,2025-04-01 00:44:48.385,943.0
BLQCP4J4,2025-04-01 00:44:48.394,1033.0
CVDO2TLZ,2025-04-01 00:44:48.405,1090.0
L7CR6V87,2025-04-01 00:44:48.415,913.0
WP9U2WPY,2025-04-01 00:44:48.425,904.0
6S3TJJ5G,2025-04-01 00:44:48.434,893.0
J2Q3PX1M,2025-04-01 00:44:48.445,635.0
WFK9NR7T,2025-04-01 00:44:48.453,973.0
GP3GPDKX,2025-04-01 00:44:48.463,860.0
HKEKQ94K,2025-04-01 00:44:48.473,954.0
HZF992TS,2025-04-01 00:44:48.484,845.0
98T2NDII,2025-04-01 00:44:48.494,586.0
RIM58HJE,2025-04-01 00:44:48.504,1208.0
M65WP8R1,2025-04-01 00:44:48.512,813.0
CLQC9UWY,2025-04-01 00:44:48.523,906.0
H62G4A4B,2025-04-01 00:44:48.532,963.0
9VN2FKWI,2025-04-01 00:44:48.542,783.0
EIH0N3O1,2025-04-01 00:44:48.551,879.0
QO1MTR5C,2025-04-01 00:44:48.562,1229.0
2APGC1FQ,2025-04-01 00:44:48.571,1141.0
PN1LKLN8,2025-04-01 00:44:48.580,1138.0
KV7H17PU,2025-04-01 00:44:48.590,834.0
FXTBYKZJ,2025-04-01 00:44:48.601,827.0
GC7B7IXE,2025-04-01 00:44:48.609,818.0
H29XEIV0,2025-04-01 00:44:48.619,877.0
Z6QK5F2V,2025-04-01 00:44:48.628,868.0
31JOHQ01,2025-04-01 00:44:48.640,1072.0
1XQX0Y7I,2025-04-01 00:44:48.649,780.0
2EY4VQ9H,2025-04-01 00:44:48.658,1054.0
TQ6GP815,2025-04-01 00:44:48.667,1048.0
HO93QT5X,2025-04-01 00:44:48.678,818.0
EIOOKQ2D,2025-04-01 00:44:48.690,806.0
YXTW930J,2025-04-01 00:44:48.706,1013.0
6YTCBIWM,2025-04-01 00:44:48.715,714.0
TPN4HCRN,2025-04-01 00:44:48.733,981.0
YZZK9YX8,2025-04-01 00:44:48.734,1173.0
C98E8OGH,2025-04-01 00:44:48.735,979.0
MSKROX3H,2025-04-01 00:44:48.746,1048.0
H0BLPNAI,2025-04-01 00:44:48.754,1153.0
PJ6N2H0O,2025-04-01 00:44:48.765,1026.0
MC2MQ1HP,2025-04-01 00:44:48.786,928.0
YA8GZ2SN,2025-04-01 00:44:48.795,1112.0
EC3JDOZS,2025-04-01 00:44:48.801,918.0
NEG06B6U,2025-04-01 00:44:48.808,992.0
7X1S2C9I,2025-04-01 00:44:48.813,1095.0
PIVZI46L,2025-04-01 00:44:48.823,972.0
702NAJWC,2025-04-01 00:44:48.833,959.0
6CM3KSDG,2025-04-01 00:44:48.842,655.0
0VXPAA0H,2025-04-01 00:44:48.852,863.0
V8TT6PO6,2025-04-01 00:44:48.862,859.0
FEEWIILB,2025-04-01 00:44:48.872,924.0
M0IYLTLD,2025-04-01 00:44:48.881,1027.0
FKQRH8C6,2025-04-01 00:44:48.891,905.0
QHMJBYQF,2025-04-01 00:44:48.900,1010.0
1C9TQP3J,2025-04-01 00:44:48.913,880.0
WQX7E5ZD,2025-04-01 00:44:48.920,799.0
L7LRW591,2025-04-01 00:44:48.931,650.0
HLF99ISB,2025-04-01 00:44:48.941,556.0
5HO6WZXX,2025-04-01 00:44:48.952,813.0
45BYRZTQ,2025-04-01 00:44:48.960,832.0
CDXDQMF5,2025-04-01 00:44:48.970,823.0
I99L7WNH,2025-04-01 00:44:48.980,937.0
XTJIDMVE,2025-04-01 00:44:48.989,774.0
5CBP4ZA8,2025-04-01 00:44:49.001,580.0
QKFCSVF5,2025-04-01 00:44:49.009,711.0
9EYA4N1A,2025-04-01 00:44:49.019,891.0
AZDSYEEP,2025-04-01 00:44:49.028,552.0
PO3BDWSY,2025-04-01 00:44:49.038,903.0
L7CVY3YQ,2025-04-01 00:44:49.048,981.0
BB434ZDU,2025-04-01 00:44:49.058,736.0
JTYO6MYJ,2025-04-01 00:44:49.068,652.0
K6W2UAY9,2025-04-01 00:44:49.081,724.0
S6N3MMGC,2025-04-01 00:44:49.091,1079.0
T5F67QA7,2025-04-01 00:44:49.099,940.0
E9HIFTFY,2025-04-01 00:44:49.108,833.0
KS66X2K5,2025-04-01 00:44:49.122,1637.0
NMCARXQ8,2025-04-01 00:44:49.130,1425.0
MW82VJXN,2025-04-01 00:44:49.138,780.0
