id,enter_time_str,latency
3MLWU6NQ,2025-04-01 00:51:28.602,1030.0
OVLO9V08,2025-04-01 00:51:28.613,1124.0
PUCNL3BN,2025-04-01 00:51:28.617,1573.0
OLET1DA3,2025-04-01 00:51:28.626,1399.0
L0C93Q2Y,2025-04-01 00:51:28.631,1561.0
6KXFBYCW,2025-04-01 00:51:28.646,1546.0
F12MH6UX,2025-04-01 00:51:28.658,1532.0
KGIPD51Y,2025-04-01 00:51:28.663,1137.0
HW7E9Q3E,2025-04-01 00:51:28.668,1413.0
8THVI5F8,2025-04-01 00:51:28.670,1356.0
PIIG6HON,2025-04-01 00:51:28.681,1345.0
I4J7BM19,2025-04-01 00:51:28.690,1338.0
3USES1YM,2025-04-01 00:51:28.696,1330.0
CWH01XFU,2025-04-01 00:51:28.706,1484.0
L14O068A,2025-04-01 00:51:28.714,1366.0
KS8ANBBE,2025-04-01 00:51:28.722,1469.0
7CYO7G0U,2025-04-01 00:51:28.731,1348.0
RH38KQIX,2025-04-01 00:51:28.741,1287.0
P89ONXGN,2025-04-01 00:51:28.747,1332.0
YX4O3X3X,2025-04-01 00:51:28.756,1324.0
WMR3SEZ9,2025-04-01 00:51:28.766,1318.0
ZON24WP7,2025-04-01 00:51:28.773,1418.0
AHAAGXU0,2025-04-01 00:51:28.789,1292.0
M8E0R0GW,2025-04-01 00:51:28.799,1395.0
9PF638FX,2025-04-01 00:51:28.800,1396.0
D8D0DHAM,2025-04-01 00:51:28.806,1277.0
0O42PYCZ,2025-04-01 00:51:28.815,1377.0
1ECE5CE0,2025-04-01 00:51:28.824,1370.0
XCN9M9ZF,2025-04-01 00:51:28.831,1198.0
AN8DWL7R,2025-04-01 00:51:28.840,1242.0
0CC719W4,2025-04-01 00:51:28.849,1232.0
TLRUCF81,2025-04-01 00:51:28.858,1172.0
QFI5II6E,2025-04-01 00:51:28.865,1216.0
JJZOMWMZ,2025-04-01 00:51:28.874,1154.0
HIB24G3L,2025-04-01 00:51:28.882,1148.0
A8WBB22D,2025-04-01 00:51:28.897,1566.0
KUOYH96B,2025-04-01 00:51:28.899,1294.0
1M3LIN33,2025-04-01 00:51:28.907,1123.0
YVNCCTZE,2025-04-01 00:51:28.916,1113.0
6DB7W493,2025-04-01 00:51:28.925,1537.0
IN8MAPHT,2025-04-01 00:51:28.933,1410.0
1EYB3KL8,2025-04-01 00:51:28.941,1405.0
L1RMHYOG,2025-04-01 00:51:28.949,1247.0
FVPQWGFU,2025-04-01 00:51:28.958,1389.0
HSDA9YLD,2025-04-01 00:51:28.967,1382.0
98FSBHWO,2025-04-01 00:51:28.975,1107.0
DMY059UP,2025-04-01 00:51:28.983,1634.0
YDY278E5,2025-04-01 00:51:28.991,1358.0
E2421838,2025-04-01 00:51:29.000,1343.0
7H45G1YY,2025-04-01 00:51:29.010,1073.0
9OJN63JU,2025-04-01 00:51:29.018,1438.0
C0O4AKHJ,2025-04-01 00:51:29.026,1321.0
DEQH5SFW,2025-04-01 00:51:29.034,996.0
PWC6J7NA,2025-04-01 00:51:29.043,1573.0
V4WZ6PLF,2025-04-01 00:51:29.051,979.0
RI7UNUKI,2025-04-01 00:51:29.059,1398.0
B90TAUW7,2025-04-01 00:51:29.068,1388.0
M0Y6HFEP,2025-04-01 00:51:29.076,1267.0
QV16N79J,2025-04-01 00:51:29.085,1109.0
JTR02WST,2025-04-01 00:51:29.094,1523.0
SVY5K2NH,2025-04-01 00:51:29.106,925.0
8Y0T9TB4,2025-04-01 00:51:29.112,1500.0
1TELV96L,2025-04-01 00:51:29.120,910.0
IHC2R4ER,2025-04-01 00:51:29.129,1483.0
CLI9QTYE,2025-04-01 00:51:29.138,1476.0
7U1Z0ZAU,2025-04-01 00:51:29.145,938.0
N2U9GII4,2025-04-01 00:51:29.155,1307.0
A51XGDZU,2025-04-01 00:51:29.163,1185.0
VXO7ULDN,2025-04-01 00:51:29.173,1286.0
K92KL3FZ,2025-04-01 00:51:29.180,1015.0
AP52F5WO,2025-04-01 00:51:29.188,1430.0
0W78UQ0T,2025-04-01 00:51:29.197,1262.0
N11ZLCA1,2025-04-01 00:51:29.206,1412.0
Q5YY9G22,2025-04-01 00:51:29.215,1242.0
JP9PQN6H,2025-04-01 00:51:29.232,1116.0
2EGNXXKT,2025-04-01 00:51:29.240,1374.0
R2GJPZBB,2025-04-01 00:51:29.249,1366.0
VL21XLH9,2025-04-01 00:51:29.266,1191.0
KVU6JWHT,2025-04-01 00:51:29.267,1192.0
BNKASNZA,2025-04-01 00:51:29.267,1391.0
9DI2V67K,2025-04-01 00:51:29.274,1186.0
9TIB0VE3,2025-04-01 00:51:29.283,1564.0
QDCJE7TU,2025-04-01 00:51:29.300,1045.0
TPBQ4UM8,2025-04-01 00:51:29.315,1346.0
H17VFTIB,2025-04-01 00:51:29.316,1300.0
EN4MX3NN,2025-04-01 00:51:29.318,1342.0
0O7X1XVX,2025-04-01 00:51:29.326,1522.0
TZ3NRHR8,2025-04-01 00:51:29.335,1010.0
STC1YFH0,2025-04-01 00:51:29.343,1273.0
81HIIUYO,2025-04-01 00:51:29.352,1264.0
VBM8ZKGR,2025-04-01 00:51:29.362,1485.0
WXQ6I3W5,2025-04-01 00:51:29.370,1091.0
VV7GZPKA,2025-04-01 00:51:29.377,1473.0
EVBA1E7E,2025-04-01 00:51:29.387,1463.0
WOPECS33,2025-04-01 00:51:29.404,1424.0
VFS2DLWA,2025-04-01 00:51:29.413,932.0
MQDXRUJX,2025-04-01 00:51:29.422,1040.0
7Q1AD15O,2025-04-01 00:51:29.430,1233.0
CQRBGRY5,2025-04-01 00:51:29.431,1418.0
3EAISYB4,2025-04-01 00:51:29.438,1410.0
3SWRULZ2,2025-04-01 00:51:29.448,1211.0
0KKGLT70,2025-04-01 00:51:29.456,1207.0
63BSPPTD,2025-04-01 00:51:29.464,1386.0
JUAFX3LS,2025-04-01 00:51:29.474,1373.0
B86NT6GI,2025-04-01 00:51:29.482,1141.0
JCIDUVVQ,2025-04-01 00:51:29.491,1356.0
I01B812S,2025-04-01 00:51:29.501,1327.0
M1ZEXGSY,2025-04-01 00:51:29.507,1152.0
P7ABTJ1F,2025-04-01 00:51:29.517,1311.0
XTUG99B8,2025-04-01 00:51:29.526,1322.0
XF2YOAF9,2025-04-01 00:51:29.533,1313.0
XTS3RRBI,2025-04-01 00:51:29.542,1118.0
R83K657D,2025-04-01 00:51:29.550,1547.0
IE41FUT2,2025-04-01 00:51:29.560,2032.0
VRZA2LEA,2025-04-01 00:51:29.569,1525.0
Z6TO3CL1,2025-04-01 00:51:29.577,1649.0
JUXNISJB,2025-04-01 00:51:29.587,1638.0
37IT2BQP,2025-04-01 00:51:29.594,1067.0
I20EJE4T,2025-04-01 00:51:29.603,1016.0
NF0NLVH0,2025-04-01 00:51:29.611,1008.0
NBLN7RW8,2025-04-01 00:51:29.620,1971.0
DX45SULY,2025-04-01 00:51:29.628,1201.0
7UCUWVWP,2025-04-01 00:51:29.638,983.0
LQD2AKDO,2025-04-01 00:51:29.645,1201.0
UZ9GUT0B,2025-04-01 00:51:29.654,1532.0
65J3NWQ5,2025-04-01 00:51:29.663,1929.0
J9D7E50O,2025-04-01 00:51:29.671,992.0
48DW4BZF,2025-04-01 00:51:29.680,979.0
EGOH2SJA,2025-04-01 00:51:29.688,1903.0
A5EHM1ZI,2025-04-01 00:51:29.697,1489.0
3520BNPM,2025-04-01 00:51:29.706,1143.0
EXZHG9Q1,2025-04-01 00:51:29.714,944.0
OM6ZRS5Z,2025-04-01 00:51:29.723,1482.0
8BK7X167,2025-04-01 00:51:29.732,1492.0
496Z18AB,2025-04-01 00:51:29.741,1464.0
LV4TFPB3,2025-04-01 00:51:29.749,1437.0
XE6ZA341,2025-04-01 00:51:29.758,1833.0
ZBTMX7X3,2025-04-01 00:51:29.766,1460.0
N87Q1403,2025-04-01 00:51:29.778,1278.0
DBS13G94,2025-04-01 00:51:29.784,1004.0
KFDXHV6U,2025-04-01 00:51:29.794,1431.0
2GZWKFW9,2025-04-01 00:51:29.802,1028.0
PU29866U,2025-04-01 00:51:29.810,1040.0
UUZGXSMW,2025-04-01 00:51:29.818,1031.0
3CPX6SJV,2025-04-01 00:51:29.830,959.0
O9IOA2YU,2025-04-01 00:51:29.837,950.0
5KLX8OJC,2025-04-01 00:51:29.845,986.0
EUDC9GJL,2025-04-01 00:51:29.855,1196.0
4WR61CDS,2025-04-01 00:51:29.862,1730.0
7280AGNM,2025-04-01 00:51:29.871,960.0
IQ4WMAAD,2025-04-01 00:51:29.879,908.0
7VLVYKQ3,2025-04-01 00:51:29.890,1703.0
B2Y8YE2A,2025-04-01 00:51:29.896,935.0
4DIYGL9H,2025-04-01 00:51:29.906,1144.0
L2ZGDCD8,2025-04-01 00:51:29.915,1291.0
HRPDXWIK,2025-04-01 00:51:29.922,1073.0
O0FWDU3D,2025-04-01 00:51:29.931,1082.0
T2DP8C2I,2025-04-01 00:51:29.939,1060.0
R8VLF2IB,2025-04-01 00:51:29.947,1109.0
TBM5K1AT,2025-04-01 00:51:29.958,1590.0
D2UKC9HA,2025-04-01 00:51:29.965,1886.0
914TKVWF,2025-04-01 00:51:29.974,1625.0
5EZOP33A,2025-04-01 00:51:29.982,1611.0
XLE4V73N,2025-04-01 00:51:29.991,3039.0
ZPZ1CSR6,2025-04-01 00:51:29.998,1413.0
J3EID3DU,2025-04-01 00:51:30.009,1196.0
V2QGVTMI,2025-04-01 00:51:30.017,1188.0
ORRSOKQT,2025-04-01 00:51:30.025,1948.0
MZVR2WSU,2025-04-01 00:51:30.037,2352.0
K70CHTV7,2025-04-01 00:51:30.049,1802.0
TIC1KSNE,2025-04-01 00:51:30.056,2051.0
BTG66HNS,2025-04-01 00:51:30.067,2041.0
0OJ7Y28N,2025-04-01 00:51:30.074,1340.0
M5S1Q940,2025-04-01 00:51:30.083,1123.0
YPUGVE7C,2025-04-01 00:51:30.093,2020.0
F2HAVXL9,2025-04-01 00:51:30.102,1447.0
MLGJNU0I,2025-04-01 00:51:30.110,1096.0
3JTJGB6F,2025-04-01 00:51:30.120,2911.0
LE3QTSI0,2025-04-01 00:51:30.128,1415.0
Y93WRZZV,2025-04-01 00:51:30.136,1200.0
CC3SI2KX,2025-04-01 00:51:30.146,1399.0
Y38V5MTE,2025-04-01 00:51:30.155,1953.0
RPLTL2EV,2025-04-01 00:51:30.162,1433.0
GPQ6AH87,2025-04-01 00:51:30.170,1133.0
X7NXT4MT,2025-04-01 00:51:30.178,1420.0
JCBBFDH6,2025-04-01 00:51:30.187,1921.0
8HG071N8,2025-04-01 00:51:30.197,1776.0
H39C33QQ,2025-04-01 00:51:30.206,1092.0
51BEUCLK,2025-04-01 00:51:30.216,1377.0
HU7U971K,2025-04-01 00:51:30.224,2186.0
S3PZVBD0,2025-04-01 00:51:30.232,1104.0
WFDJMVR3,2025-04-01 00:51:30.243,2169.0
SV3WRKRS,2025-04-01 00:51:30.250,1603.0
ERO3LJXK,2025-04-01 00:51:30.259,1153.0
QB746S6Z,2025-04-01 00:51:30.267,1037.0
6ORH6PSJ,2025-04-01 00:51:30.276,1059.0
89SD6JVI,2025-04-01 00:51:30.285,1822.0
TDXD3TJM,2025-04-01 00:51:30.294,1250.0
OF8OBX0S,2025-04-01 00:51:30.301,1242.0
TOHX7VWV,2025-04-01 00:51:30.310,1796.0
AVBFVTKI,2025-04-01 00:51:30.320,1534.0
NPR8N4SX,2025-04-01 00:51:30.329,1268.0
S17YO52G,2025-04-01 00:51:30.338,1636.0
25B1P2D8,2025-04-01 00:51:30.346,990.0
U8GSG3DK,2025-04-01 00:51:30.358,1236.0
WUDWYP37,2025-04-01 00:51:30.365,2020.0
2U747EZ9,2025-04-01 00:51:30.375,2658.0
ANTUJ1A2,2025-04-01 00:51:30.381,2127.0
Z2J533QY,2025-04-01 00:51:30.389,908.0
D8FJY81G,2025-04-01 00:51:30.398,1456.0
ENPZHMNN,2025-04-01 00:51:30.407,2008.0
NG7VUELE,2025-04-01 00:51:30.418,2619.0
79CJ4TOC,2025-04-01 00:51:30.423,1560.0
M0HMTGVJ,2025-04-01 00:51:30.433,1536.0
IGIHJW0B,2025-04-01 00:51:30.440,970.0
539GYG7B,2025-04-01 00:51:30.451,1096.0
3OZA208F,2025-04-01 00:51:30.457,2053.0
HHSEMF5A,2025-04-01 00:51:30.470,1511.0
0M1ZS0O2,2025-04-01 00:51:30.478,1635.0
NWM0YOSA,2025-04-01 00:51:30.487,1618.0
QZW6PE7Z,2025-04-01 00:51:30.495,1617.0
9M0UAQOK,2025-04-01 00:51:30.505,1057.0
M4HME80W,2025-04-01 00:51:30.513,1459.0
