id,enter_time_str,latency
9UALJCGH,2025-03-18 01:11:36.544,335.0
QONR56WC,2025-03-18 01:11:36.569,303.0
0OA2ZCM5,2025-03-18 01:11:36.569,307.0
J9KFK05U,2025-03-18 01:11:36.873,138.0
7F9ENFK7,2025-03-18 01:11:36.873,138.0
BKAEQBBN,2025-03-18 01:11:36.873,138.0
W8JUZXJ6,2025-03-18 01:11:36.873,138.0
M4VB976R,2025-03-18 01:11:36.877,83.0
44JLYWT5,2025-03-18 01:11:36.877,83.0
16URHYTK,2025-03-18 01:11:36.880,96.0
15LGFFCB,2025-03-18 01:11:36.880,96.0
89D4BSTH,2025-03-18 01:11:36.880,96.0
WCJMCFIX,2025-03-18 01:11:36.962,228.0
J5MK83FM,2025-03-18 01:11:36.962,228.0
EBSU308W,2025-03-18 01:11:36.962,228.0
KUETKSCZ,2025-03-18 01:11:36.962,228.0
V5GYA1KT,2025-03-18 01:11:36.962,228.0
RX8BA17Z,2025-03-18 01:11:36.962,228.0
8TNY08I2,2025-03-18 01:11:36.962,228.0
2HVK0PC1,2025-03-18 01:11:36.962,228.0
9BQWKNCK,2025-03-18 01:11:36.962,228.0
JBS9JZY7,2025-03-18 01:11:36.978,122.0
4DNY812Z,2025-03-18 01:11:36.978,122.0
N7KJTL3R,2025-03-18 01:11:36.978,122.0
68Q00DZK,2025-03-18 01:11:36.978,122.0
OZ31XONJ,2025-03-18 01:11:37.012,144.0
2SJU240U,2025-03-18 01:11:37.012,144.0
21J6FBG7,2025-03-18 01:11:37.012,144.0
84O1T0UC,2025-03-18 01:11:37.012,144.0
KZLG0NF7,2025-03-18 01:11:37.012,144.0
XJPIDWDB,2025-03-18 01:11:37.101,207.0
W2BM85W0,2025-03-18 01:11:37.101,207.0
7FUHB8HT,2025-03-18 01:11:37.101,207.0
34TTKH58,2025-03-18 01:11:37.101,207.0
5FK1V3W7,2025-03-18 01:11:37.101,207.0
ZQZKYS86,2025-03-18 01:11:37.101,207.0
AIKZUPY2,2025-03-18 01:11:37.101,207.0
ZYFRREQP,2025-03-18 01:11:37.157,108.0
ST2DB7QK,2025-03-18 01:11:37.157,108.0
QAICKZXK,2025-03-18 01:11:37.157,108.0
74ZY8VBO,2025-03-18 01:11:37.157,108.0
Q92MV44N,2025-03-18 01:11:37.191,86.0
FZ25ZA91,2025-03-18 01:11:37.191,86.0
Y08LXQQT,2025-03-18 01:11:37.191,86.0
8KQQ0VOF,2025-03-18 01:11:37.265,38.0
ZHTIJYOG,2025-03-18 01:11:37.294,37.0
JJ8YIGZ9,2025-03-18 01:11:37.306,93.0
OEI32VSV,2025-03-18 01:11:37.306,93.0
0WANZDLC,2025-03-18 01:11:37.306,93.0
MVZY283C,2025-03-18 01:11:37.311,213.0
YGFMPERT,2025-03-18 01:11:37.311,213.0
J3T4W6S8,2025-03-18 01:11:37.311,213.0
EIGS80Z0,2025-03-18 01:11:37.311,213.0
BZUD0LF9,2025-03-18 01:11:37.311,213.0
KFRDNQZF,2025-03-18 01:11:37.311,213.0
YDF25FMS,2025-03-18 01:11:37.311,213.0
1JZVJIK3,2025-03-18 01:11:37.331,58.0
7RO9I3UZ,2025-03-18 01:11:37.331,58.0
ZKDG1LZZ,2025-03-18 01:11:37.390,59.0
I9I9PQU3,2025-03-18 01:11:37.390,59.0
R07N2ZY9,2025-03-18 01:11:37.402,364.0
Z8L0G9DP,2025-03-18 01:11:37.402,364.0
811NND0G,2025-03-18 01:11:37.402,364.0
EXZ6WR4S,2025-03-18 01:11:37.402,364.0
L718TV01,2025-03-18 01:11:37.402,364.0
11HV6O8L,2025-03-18 01:11:37.402,364.0
Z1ZC4GOK,2025-03-18 01:11:37.402,364.0
QCV19E4R,2025-03-18 01:11:37.402,364.0
G3E2MN42,2025-03-18 01:11:37.402,364.0
KHPG8SLU,2025-03-18 01:11:37.402,364.0
EZ7V8VFI,2025-03-18 01:11:37.402,364.0
Z4KD8ZYB,2025-03-18 01:11:37.402,364.0
2V28PQ0G,2025-03-18 01:11:37.402,364.0
UIAFXHWC,2025-03-18 01:11:37.402,364.0
LVXWPQXE,2025-03-18 01:11:37.451,80.0
7G02RWXD,2025-03-18 01:11:37.451,80.0
QNW87HKP,2025-03-18 01:11:37.451,80.0
S3NZXYXN,2025-03-18 01:11:37.526,312.0
DP510WCP,2025-03-18 01:11:37.526,312.0
03A9N0B1,2025-03-18 01:11:37.526,312.0
S8P01E76,2025-03-18 01:11:37.526,312.0
00E7KCNK,2025-03-18 01:11:37.526,312.0
7C3SMCI6,2025-03-18 01:11:37.526,312.0
7S2T5R01,2025-03-18 01:11:37.526,312.0
0LDU5UFC,2025-03-18 01:11:37.526,312.0
BHNO7UB7,2025-03-18 01:11:37.526,312.0
D4T6KY0E,2025-03-18 01:11:37.526,312.0
ZIMSJ5V8,2025-03-18 01:11:37.526,312.0
XBHIVMAB,2025-03-18 01:11:37.532,33.0
NEFRDUJG,2025-03-18 01:11:37.568,32.0
XLR665UR,2025-03-18 01:11:37.601,151.0
WL9HWJ7U,2025-03-18 01:11:37.601,151.0
1F2OCCB9,2025-03-18 01:11:37.601,151.0
3LUZ6QDY,2025-03-18 01:11:37.601,151.0
RDCZ00H4,2025-03-18 01:11:37.601,151.0
MEESF9FL,2025-03-18 01:11:37.601,151.0
7LTZJK6V,2025-03-18 01:11:37.756,278.0
15VAC9GY,2025-03-18 01:11:37.756,278.0
H4P0F1WT,2025-03-18 01:11:37.756,278.0
WXZ4N39W,2025-03-18 01:11:37.756,278.0
3JFRZL3K,2025-03-18 01:11:37.756,278.0
6KKTLKC2,2025-03-18 01:11:37.756,278.0
ZXLGTWLU,2025-03-18 01:11:37.756,278.0
MR9TXB9D,2025-03-18 01:11:37.756,278.0
MRWS16LV,2025-03-18 01:11:37.756,278.0
U4XTOJ2H,2025-03-18 01:11:37.756,278.0
4XBGVX2G,2025-03-18 01:11:37.756,278.0
RTZWD8XF,2025-03-18 01:11:37.769,304.0
2VA8ZN51,2025-03-18 01:11:37.769,304.0
PM0MXC0S,2025-03-18 01:11:37.769,304.0
YXHIBMEF,2025-03-18 01:11:37.769,304.0
V25OPL51,2025-03-18 01:11:37.769,304.0
MVNFFGPG,2025-03-18 01:11:37.769,304.0
NHDK829S,2025-03-18 01:11:37.769,304.0
F9R2VSYC,2025-03-18 01:11:37.769,304.0
YMAIBM2H,2025-03-18 01:11:37.769,304.0
F8LDUM64,2025-03-18 01:11:37.769,304.0
E43DLVCT,2025-03-18 01:11:37.769,304.0
U5035KE3,2025-03-18 01:11:37.769,304.0
7IY832W0,2025-03-18 01:11:37.842,433.0
80E1UP5G,2025-03-18 01:11:37.842,433.0
8660NR93,2025-03-18 01:11:37.842,433.0
T7KIHCFU,2025-03-18 01:11:37.842,433.0
2GUWTSJS,2025-03-18 01:11:37.842,433.0
2AZL7LAH,2025-03-18 01:11:37.842,433.0
UA6W9HMP,2025-03-18 01:11:37.842,433.0
BYSU64RF,2025-03-18 01:11:37.842,433.0
MLHM15SR,2025-03-18 01:11:37.842,433.0
YLIJFT2K,2025-03-18 01:11:37.842,433.0
ZVBUZLZ8,2025-03-18 01:11:37.842,433.0
MQ4UBWJO,2025-03-18 01:11:37.842,433.0
OF7B5AON,2025-03-18 01:11:37.842,433.0
QI7G6QUJ,2025-03-18 01:11:37.842,433.0
IN3QLFDN,2025-03-18 01:11:37.842,433.0
VGT3ICOH,2025-03-18 01:11:37.842,433.0
NJ7A6Z09,2025-03-18 01:11:38.037,492.0
03043XME,2025-03-18 01:11:38.037,492.0
KQ2Q7MEQ,2025-03-18 01:11:38.037,492.0
9VD2U2K7,2025-03-18 01:11:38.037,492.0
S99C9CEZ,2025-03-18 01:11:38.037,492.0
N3KLZ7TS,2025-03-18 01:11:38.037,492.0
MVKQO0NG,2025-03-18 01:11:38.037,492.0
FHJQ4X05,2025-03-18 01:11:38.037,492.0
T0R632HN,2025-03-18 01:11:38.037,492.0
Y8CS7E6E,2025-03-18 01:11:38.037,492.0
NKZTNEWW,2025-03-18 01:11:38.037,492.0
CFG1THYC,2025-03-18 01:11:38.037,492.0
299SFFMA,2025-03-18 01:11:38.037,492.0
PHVP7SJJ,2025-03-18 01:11:38.037,492.0
CZPEKAG5,2025-03-18 01:11:38.037,492.0
BFKM7E37,2025-03-18 01:11:38.037,492.0
I3EEUNS1,2025-03-18 01:11:38.037,492.0
1TVEDAL7,2025-03-18 01:11:38.037,492.0
55W1UUWT,2025-03-18 01:11:38.037,492.0
WGVYZ13A,2025-03-18 01:11:38.037,492.0
1VNPKR2N,2025-03-18 01:11:38.077,334.0
F7FNVAS4,2025-03-18 01:11:38.077,334.0
VW1EEPML,2025-03-18 01:11:38.077,334.0
GM54LL8O,2025-03-18 01:11:38.077,334.0
J70LNLY3,2025-03-18 01:11:38.077,334.0
0Y6ERT4J,2025-03-18 01:11:38.077,334.0
6P7V3713,2025-03-18 01:11:38.077,334.0
P0BVPCIN,2025-03-18 01:11:38.077,334.0
A7DOR0PT,2025-03-18 01:11:38.077,334.0
T71U1R4H,2025-03-18 01:11:38.077,334.0
ETUNDVX5,2025-03-18 01:11:38.077,334.0
VUPGCMCA,2025-03-18 01:11:38.077,334.0
1EH27OSD,2025-03-18 01:11:38.077,334.0
BVIQDPZ7,2025-03-18 01:11:38.277,313.0
AJXNCLFB,2025-03-18 01:11:38.277,313.0
58ID5CXJ,2025-03-18 01:11:38.277,313.0
QA5Z2TFU,2025-03-18 01:11:38.277,313.0
N0X6GD3H,2025-03-18 01:11:38.277,313.0
5KLM3CRW,2025-03-18 01:11:38.277,313.0
D8LMMMEK,2025-03-18 01:11:38.277,313.0
95VMSY5A,2025-03-18 01:11:38.277,313.0
W8T1A55M,2025-03-18 01:11:38.277,313.0
2E4XV8Y7,2025-03-18 01:11:38.277,313.0
V0ATDOSE,2025-03-18 01:11:38.277,313.0
YVYKM0XP,2025-03-18 01:11:38.413,274.0
L1PPLR69,2025-03-18 01:11:38.413,274.0
IFLY3148,2025-03-18 01:11:38.413,274.0
6UI3VOHO,2025-03-18 01:11:38.413,274.0
NKH1Y7AO,2025-03-18 01:11:38.413,274.0
B6F1H8BS,2025-03-18 01:11:38.413,274.0
5TT7D8CC,2025-03-18 01:11:38.413,274.0
4G7SH9OI,2025-03-18 01:11:38.413,274.0
WPZC6J5H,2025-03-18 01:11:38.413,274.0
TB1I3C8G,2025-03-18 01:11:38.413,274.0
G68OASGA,2025-03-18 01:11:38.532,317.0
1SO7JF3M,2025-03-18 01:11:38.532,317.0
GCLVA0GW,2025-03-18 01:11:38.532,317.0
EOT1A57V,2025-03-18 01:11:38.532,317.0
R5XMTICW,2025-03-18 01:11:38.532,317.0
RB1KSZBF,2025-03-18 01:11:38.532,317.0
9CULJVXP,2025-03-18 01:11:38.532,317.0
676I89LR,2025-03-18 01:11:38.532,317.0
2M4E3HN5,2025-03-18 01:11:38.532,317.0
OCYLBO5Z,2025-03-18 01:11:38.532,317.0
L5JDBJXC,2025-03-18 01:11:38.532,317.0
XRNLZ6AH,2025-03-18 01:11:38.532,317.0
XBNR2R2E,2025-03-18 01:11:38.594,564.0
LW1YLYX4,2025-03-18 01:11:38.594,564.0
7P7CWVZ1,2025-03-18 01:11:38.594,564.0
5SRKA020,2025-03-18 01:11:38.594,564.0
6LMSDT4G,2025-03-18 01:11:38.594,564.0
694NCL62,2025-03-18 01:11:38.594,564.0
QFEKWGEJ,2025-03-18 01:11:38.594,564.0
5QRFKD26,2025-03-18 01:11:38.594,564.0
LFJ47Q7F,2025-03-18 01:11:38.594,564.0
9SABGDZ2,2025-03-18 01:11:38.594,564.0
72IRXA28,2025-03-18 01:11:38.594,564.0
RAWS0HLN,2025-03-18 01:11:38.594,564.0
74I7UU4C,2025-03-18 01:11:38.594,564.0
9R5HX99M,2025-03-18 01:11:38.594,564.0
ZCVCFZ3A,2025-03-18 01:11:38.594,564.0
9E0L796Q,2025-03-18 01:11:38.594,564.0
NGNYQ02I,2025-03-18 01:11:38.594,564.0
42NBWTIP,2025-03-18 01:11:38.594,564.0
N1SGK3MG,2025-03-18 01:11:38.594,564.0
DYBXRN14,2025-03-18 01:11:38.594,564.0
FHBXN2LP,2025-03-18 01:11:38.594,564.0
2LD3GYXP,2025-03-18 01:11:38.691,587.0
MZEFBJQO,2025-03-18 01:11:38.691,587.0
9KAUR0VB,2025-03-18 01:11:38.691,587.0
LT07EX31,2025-03-18 01:11:38.691,587.0
6QWQMF8A,2025-03-18 01:11:38.691,587.0
9B4C622V,2025-03-18 01:11:38.691,587.0
BPULU5FP,2025-03-18 01:11:38.691,587.0
906DWVU6,2025-03-18 01:11:38.691,587.0
IUOQN0VX,2025-03-18 01:11:38.691,587.0
T7HMCZ7Y,2025-03-18 01:11:38.691,587.0
4H9SCHUD,2025-03-18 01:11:38.691,587.0
TG7PMUVN,2025-03-18 01:11:38.691,587.0
Z5WLH7TY,2025-03-18 01:11:38.691,587.0
WJ8Z0RNQ,2025-03-18 01:11:38.691,587.0
THDLFUHA,2025-03-18 01:11:38.691,587.0
QX6F4ZB8,2025-03-18 01:11:38.691,587.0
IJYU5ME9,2025-03-18 01:11:38.691,587.0
Y9P5BABH,2025-03-18 01:11:38.691,587.0
YF32WSL0,2025-03-18 01:11:38.691,587.0
T8OSPSIM,2025-03-18 01:11:38.691,587.0
JHPCKZHF,2025-03-18 01:11:38.691,587.0
8D7UTOLE,2025-03-18 01:11:38.691,587.0
NXZ054Z9,2025-03-18 01:11:38.852,522.0
NJRIPBAU,2025-03-18 01:11:38.852,522.0
7MBPRCLL,2025-03-18 01:11:38.852,522.0
VZ12C8B4,2025-03-18 01:11:38.852,522.0
J6CIW4JH,2025-03-18 01:11:38.852,522.0
QPYJOLHR,2025-03-18 01:11:38.852,522.0
M9VXG8IV,2025-03-18 01:11:38.852,522.0
A2THR9IM,2025-03-18 01:11:38.852,522.0
3VBZ3WJ5,2025-03-18 01:11:38.852,522.0
NSAAKU3P,2025-03-18 01:11:38.852,522.0
9IXI0X3K,2025-03-18 01:11:38.852,522.0
TONO29CP,2025-03-18 01:11:38.852,522.0
E118DOLK,2025-03-18 01:11:38.852,522.0
E9U07CHY,2025-03-18 01:11:38.852,522.0
NY2E9VS4,2025-03-18 01:11:38.852,522.0
NRYEDBZD,2025-03-18 01:11:38.852,522.0
H6710D8W,2025-03-18 01:11:38.852,522.0
600NI9EJ,2025-03-18 01:11:38.852,522.0
R6ZE2WNR,2025-03-18 01:11:38.852,522.0
FARU5RXI,2025-03-18 01:11:38.852,522.0
7FM7CCB5,2025-03-18 01:11:39.161,316.0
M2LBKOWS,2025-03-18 01:11:39.161,316.0
8T51TYZI,2025-03-18 01:11:39.161,316.0
BQXL4SAD,2025-03-18 01:11:39.161,316.0
U2PX2D04,2025-03-18 01:11:39.161,316.0
XX2O79RA,2025-03-18 01:11:39.161,316.0
HS1KSSEG,2025-03-18 01:11:39.161,316.0
A2CROH3B,2025-03-18 01:11:39.161,316.0
FO60H110,2025-03-18 01:11:39.161,316.0
CIJ8TA1F,2025-03-18 01:11:39.161,316.0
C9NXN8SP,2025-03-18 01:11:39.161,316.0
CI3PTJ0H,2025-03-18 01:11:39.281,272.0
X6G4YJGQ,2025-03-18 01:11:39.281,272.0
787GEJKV,2025-03-18 01:11:39.281,272.0
91T8U8EJ,2025-03-18 01:11:39.281,272.0
2ED2QRAU,2025-03-18 01:11:39.281,272.0
FJFXP1V8,2025-03-18 01:11:39.281,272.0
PTWX1D1Y,2025-03-18 01:11:39.281,272.0
UQ4M9K2Y,2025-03-18 01:11:39.281,272.0
RV2ME92M,2025-03-18 01:11:39.281,272.0
XBU014MZ,2025-03-18 01:11:39.281,272.0
A3QR9O07,2025-03-18 01:11:39.377,341.0
O1M8DHJU,2025-03-18 01:11:39.377,341.0
0411MK15,2025-03-18 01:11:39.377,341.0
7ULREJCK,2025-03-18 01:11:39.377,341.0
CBYGFGQB,2025-03-18 01:11:39.377,341.0
OA06RAAR,2025-03-18 01:11:39.377,341.0
3DZIOO0E,2025-03-18 01:11:39.377,341.0
YILEEB5A,2025-03-18 01:11:39.377,341.0
7V8NBA0Y,2025-03-18 01:11:39.377,341.0
NSS7YQX4,2025-03-18 01:11:39.377,341.0
WM1K0SK5,2025-03-18 01:11:39.377,341.0
6H4B69QR,2025-03-18 01:11:39.377,341.0
5X71MAGQ,2025-03-18 01:11:39.480,566.0
ZA8JOMDY,2025-03-18 01:11:39.480,566.0
9SCJH94X,2025-03-18 01:11:39.480,566.0
53NBJE52,2025-03-18 01:11:39.480,566.0
REY7T9RQ,2025-03-18 01:11:39.480,566.0
PZSDH8XP,2025-03-18 01:11:39.480,566.0
Y1SMF761,2025-03-18 01:11:39.480,566.0
5G9D1OC7,2025-03-18 01:11:39.480,566.0
1Y7HQ8P7,2025-03-18 01:11:39.480,566.0
2RX0TVL6,2025-03-18 01:11:39.480,566.0
1H4BR0UW,2025-03-18 01:11:39.480,566.0
OR6T705Q,2025-03-18 01:11:39.480,566.0
3U02EXYT,2025-03-18 01:11:39.480,566.0
9BR6ZRBJ,2025-03-18 01:11:39.480,566.0
V5SBXVA2,2025-03-18 01:11:39.480,566.0
II7HRVOR,2025-03-18 01:11:39.480,566.0
N5WU725W,2025-03-18 01:11:39.480,566.0
D3LARAL9,2025-03-18 01:11:39.480,566.0
0ZMROH7V,2025-03-18 01:11:39.480,566.0
V1F3BO70,2025-03-18 01:11:39.480,566.0
7RPJS5C2,2025-03-18 01:11:39.480,566.0
KPEQ722V,2025-03-18 01:11:39.556,538.0
PRH4GJW6,2025-03-18 01:11:39.556,538.0
FQGW692L,2025-03-18 01:11:39.556,538.0
GKOQZZEE,2025-03-18 01:11:39.556,538.0
4SVV2BTX,2025-03-18 01:11:39.556,538.0
Y858GIGO,2025-03-18 01:11:39.556,538.0
1GDDAVSY,2025-03-18 01:11:39.556,538.0
F3JGTNHG,2025-03-18 01:11:39.556,538.0
L9LCJ1UX,2025-03-18 01:11:39.556,538.0
LEHVIPEC,2025-03-18 01:11:39.556,538.0
VVRWCVEG,2025-03-18 01:11:39.556,538.0
II47L9AA,2025-03-18 01:11:39.556,538.0
15XEPKN0,2025-03-18 01:11:39.556,538.0
P1FPK0EL,2025-03-18 01:11:39.556,538.0
HZNTR5B2,2025-03-18 01:11:39.556,538.0
IJ0UEOVV,2025-03-18 01:11:39.556,538.0
1L5O40B2,2025-03-18 01:11:39.556,538.0
GZXGXDUJ,2025-03-18 01:11:39.556,538.0
9BK5G74E,2025-03-18 01:11:39.556,538.0
5K0RLQZ0,2025-03-18 01:11:39.556,538.0
NS44PFQ9,2025-03-18 01:11:39.556,538.0
HLUEPOA8,2025-03-18 01:11:39.556,538.0
CCSBDQ3M,2025-03-18 01:11:39.722,508.0
NOSUNX9M,2025-03-18 01:11:39.722,508.0
9AJMM1DC,2025-03-18 01:11:39.722,508.0
LW9EVI7F,2025-03-18 01:11:39.722,508.0
X3YTI1K2,2025-03-18 01:11:39.722,508.0
YNU8S8F3,2025-03-18 01:11:39.722,508.0
HKZLDLDC,2025-03-18 01:11:39.722,508.0
IB0FM0ZE,2025-03-18 01:11:39.722,508.0
ZA8X713U,2025-03-18 01:11:39.722,508.0
5UKJ50EF,2025-03-18 01:11:39.722,508.0
IZVOOHZH,2025-03-18 01:11:39.722,508.0
UBAH4FTL,2025-03-18 01:11:39.722,508.0
FIRF402X,2025-03-18 01:11:39.722,508.0
BY3N6VPR,2025-03-18 01:11:39.722,508.0
2E6DD6LO,2025-03-18 01:11:39.722,508.0
7BFGTGR9,2025-03-18 01:11:39.722,508.0
4IXD2RLK,2025-03-18 01:11:39.722,508.0
4DRWSU0W,2025-03-18 01:11:39.722,508.0
OGF4SWTJ,2025-03-18 01:11:39.722,508.0
OO9ELP2G,2025-03-18 01:11:39.722,508.0
16LAK8VA,2025-03-18 01:11:40.048,316.0
15FBR0PM,2025-03-18 01:11:40.048,316.0
C1UNGW1N,2025-03-18 01:11:40.048,316.0
HNYHTZUN,2025-03-18 01:11:40.048,316.0
H1XR96MH,2025-03-18 01:11:40.048,316.0
9I7V91CQ,2025-03-18 01:11:40.048,316.0
4M2QRSHA,2025-03-18 01:11:40.048,316.0
OBCDMUR1,2025-03-18 01:11:40.048,316.0
TRG96SSC,2025-03-18 01:11:40.048,316.0
AOSS834I,2025-03-18 01:11:40.048,316.0
1ECABBSE,2025-03-18 01:11:40.048,316.0
Y0U9K7GV,2025-03-18 01:11:40.096,272.0
NQJYXU4P,2025-03-18 01:11:40.096,272.0
N9MM48JW,2025-03-18 01:11:40.096,272.0
DVF1NOMD,2025-03-18 01:11:40.096,272.0
3G40O95N,2025-03-18 01:11:40.096,272.0
HPR5VFYF,2025-03-18 01:11:40.096,272.0
RA8LBYF1,2025-03-18 01:11:40.096,272.0
VH1XWENB,2025-03-18 01:11:40.096,272.0
LISPBK8D,2025-03-18 01:11:40.096,272.0
JC3J8HAI,2025-03-18 01:11:40.096,272.0
F0NSP182,2025-03-18 01:11:40.233,321.0
XSA2U1NW,2025-03-18 01:11:40.233,321.0
OWQKYP8J,2025-03-18 01:11:40.233,321.0
G13U2E82,2025-03-18 01:11:40.233,321.0
W9L1XW2T,2025-03-18 01:11:40.233,321.0
5Y5WB1D9,2025-03-18 01:11:40.233,321.0
L6YF02D4,2025-03-18 01:11:40.233,321.0
ZJU9TJ6W,2025-03-18 01:11:40.233,321.0
P40N9X2G,2025-03-18 01:11:40.233,321.0
955GBBMZ,2025-03-18 01:11:40.233,321.0
XM1AMZAJ,2025-03-18 01:11:40.233,321.0
GCPYDZ5A,2025-03-18 01:11:40.233,321.0
6PXRH6DM,2025-03-18 01:11:40.369,625.0
UJLB7C4U,2025-03-18 01:11:40.369,625.0
M224OP6U,2025-03-18 01:11:40.369,625.0
AI0UUJAN,2025-03-18 01:11:40.369,625.0
7HL75E1Y,2025-03-18 01:11:40.369,625.0
RXSI23B0,2025-03-18 01:11:40.369,625.0
DT9JYFNV,2025-03-18 01:11:40.369,625.0
1QZ8SWMF,2025-03-18 01:11:40.369,625.0
9RKWKGW5,2025-03-18 01:11:40.369,625.0
VSLR2808,2025-03-18 01:11:40.369,625.0
1MUXMXNE,2025-03-18 01:11:40.369,625.0
N2OVKA5J,2025-03-18 01:11:40.369,625.0
FR331GX1,2025-03-18 01:11:40.369,625.0
J6ICTE2B,2025-03-18 01:11:40.369,625.0
5HBLEI9N,2025-03-18 01:11:40.369,625.0
HLQ23DQ7,2025-03-18 01:11:40.369,625.0
X028OKXB,2025-03-18 01:11:40.369,625.0
L0CUF20K,2025-03-18 01:11:40.369,625.0
DBPDLW02,2025-03-18 01:11:40.369,625.0
GGO7BESI,2025-03-18 01:11:40.369,625.0
OBT62RMF,2025-03-18 01:11:40.369,625.0
FPQZ3C91,2025-03-18 01:11:40.372,594.0
BZM1ML5E,2025-03-18 01:11:40.372,594.0
8OF9911F,2025-03-18 01:11:40.372,594.0
2EN4WF68,2025-03-18 01:11:40.372,594.0
G6Z03536,2025-03-18 01:11:40.372,594.0
ODHDV7QS,2025-03-18 01:11:40.372,594.0
P65RO7DW,2025-03-18 01:11:40.372,594.0
YMYK3MEK,2025-03-18 01:11:40.372,594.0
9N89HZ7Y,2025-03-18 01:11:40.372,594.0
PERPI2JT,2025-03-18 01:11:40.372,594.0
64S48B0U,2025-03-18 01:11:40.372,594.0
7ZWYRG9M,2025-03-18 01:11:40.372,594.0
8PCBCRSC,2025-03-18 01:11:40.372,594.0
NLZS33DA,2025-03-18 01:11:40.372,594.0
B3TKL8XS,2025-03-18 01:11:40.372,594.0
5QXX6K88,2025-03-18 01:11:40.372,594.0
1YE1VCH1,2025-03-18 01:11:40.372,594.0
ZH68US22,2025-03-18 01:11:40.372,594.0
Y9U19OW7,2025-03-18 01:11:40.372,594.0
0F9IXG5N,2025-03-18 01:11:40.372,594.0
KFO44JRD,2025-03-18 01:11:40.372,594.0
QQVS06IR,2025-03-18 01:11:40.372,594.0
JH2IYGO5,2025-03-18 01:11:40.557,635.0
4GGE8GV3,2025-03-18 01:11:40.557,635.0
IEZX3SI9,2025-03-18 01:11:40.557,635.0
Y9Z9PW5O,2025-03-18 01:11:40.557,635.0
T2YAUW46,2025-03-18 01:11:40.557,635.0
YBATUN5G,2025-03-18 01:11:40.557,635.0
GOP2FS0Z,2025-03-18 01:11:40.557,635.0
65FN1J19,2025-03-18 01:11:40.557,635.0
C1SP611W,2025-03-18 01:11:40.557,635.0
6TANDW77,2025-03-18 01:11:40.557,635.0
513GY3NK,2025-03-18 01:11:40.557,635.0
AS814WBK,2025-03-18 01:11:40.557,635.0
ZG9KY9SF,2025-03-18 01:11:40.557,635.0
0M1D767K,2025-03-18 01:11:40.557,635.0
VO8FUXPT,2025-03-18 01:11:40.557,635.0
ST2WQ89D,2025-03-18 01:11:40.557,635.0
W8D62SKM,2025-03-18 01:11:40.557,635.0
A935VUPZ,2025-03-18 01:11:40.557,635.0
A1F3L4M6,2025-03-18 01:11:40.557,635.0
U0MZSYBN,2025-03-18 01:11:40.557,635.0
FRO6E3XC,2025-03-18 01:11:40.968,295.0
L85RNGUF,2025-03-18 01:11:40.968,295.0
XC2I4QVH,2025-03-18 01:11:40.968,295.0
A4ZWKN3E,2025-03-18 01:11:40.968,295.0
3DBTWPT4,2025-03-18 01:11:40.968,295.0
FOJ2N1R8,2025-03-18 01:11:40.968,295.0
G6FELMOR,2025-03-18 01:11:40.968,295.0
TT6RRMVD,2025-03-18 01:11:40.968,295.0
NXXZV246,2025-03-18 01:11:40.968,295.0
0HMO3UGP,2025-03-18 01:11:40.968,295.0
54Z57V6F,2025-03-18 01:11:40.997,354.0
JX3GFS6F,2025-03-18 01:11:40.997,354.0
WK8CQAH5,2025-03-18 01:11:40.997,354.0
W04AUIVK,2025-03-18 01:11:40.997,354.0
7PWJ29SZ,2025-03-18 01:11:40.997,354.0
UQIH1AMO,2025-03-18 01:11:40.997,354.0
95L7JR3A,2025-03-18 01:11:40.997,354.0
A09LM1QC,2025-03-18 01:11:40.997,354.0
CXF8M4NE,2025-03-18 01:11:40.997,354.0
3EVS0A0L,2025-03-18 01:11:40.997,354.0
Z4ZKYRZL,2025-03-18 01:11:40.997,354.0
22DN235V,2025-03-18 01:11:41.195,388.0
VRAPXE72,2025-03-18 01:11:41.195,388.0
6Q1UD71Q,2025-03-18 01:11:41.195,388.0
5SVG8GNC,2025-03-18 01:11:41.195,388.0
0SJZZUCM,2025-03-18 01:11:41.195,388.0
0BO0SNZK,2025-03-18 01:11:41.195,388.0
RS6AY82J,2025-03-18 01:11:41.195,388.0
HDISWFL7,2025-03-18 01:11:41.195,388.0
XGKJO6WH,2025-03-18 01:11:41.195,388.0
ZVOIOKCH,2025-03-18 01:11:41.195,388.0
5FQXE4X9,2025-03-18 01:11:41.195,388.0
TFCCXGUL,2025-03-18 01:11:41.195,388.0
5MFAQWTS,2025-03-18 01:11:41.266,614.0
J4XCBDST,2025-03-18 01:11:41.266,614.0
1JIN3EIS,2025-03-18 01:11:41.266,614.0
JQ04ZC19,2025-03-18 01:11:41.266,614.0
6B7HNUTK,2025-03-18 01:11:41.266,614.0
