id,enter_time_str,latency
KQ599TCY,2025-04-12 19:18:01.932,160.0
9GQ5HMJV,2025-04-12 19:18:02.120,282.0
C4KQ8S3S,2025-04-12 19:18:02.199,187.0
JJZKIEYY,2025-04-12 19:18:02.325,160.0
YX5PSU93,2025-04-12 19:18:02.513,203.0
XGMMDLZO,2025-04-12 19:18:02.684,241.0
GX47FH1K,2025-04-12 19:18:02.833,274.0
7PNUDUKN,2025-04-12 19:18:03.006,324.0
5S62MVG1,2025-04-12 19:18:03.163,169.0
LKSOCMDA,2025-04-12 19:18:03.309,170.0
ZT8P8NA7,2025-04-12 19:18:03.529,191.0
ZPGKSHUM,2025-04-12 19:18:03.677,163.0
CTDYBS8W,2025-04-12 19:18:03.814,215.0
VPU5ER6M,2025-04-12 19:18:04.029,195.0
3QOZOLL5,2025-04-12 19:18:04.188,355.0
3KS9YQI2,2025-04-12 19:18:04.400,286.0
FUVBGU7C,2025-04-12 19:18:04.493,241.0
330MN67O,2025-04-12 19:18:04.656,234.0
LHQK84IE,2025-04-12 19:18:04.833,175.0
KNP8LIY0,2025-04-12 19:18:05.008,312.0
C3SALHRJ,2025-04-12 19:18:05.195,513.0
79DCTYKY,2025-04-12 19:18:05.340,216.0
B7YMPQA5,2025-04-12 19:18:05.498,332.0
CY7Z8Y5M,2025-04-12 19:18:05.708,285.0
935Z4OAY,2025-04-12 19:18:05.836,387.0
89L1MEOU,2025-04-12 19:18:06.020,161.0
WVBGS8YH,2025-04-12 19:18:06.217,214.0
XG5T171K,2025-04-12 19:18:06.346,154.0
7CPH4QD3,2025-04-12 19:18:06.506,205.0
ZCQ62X0T,2025-04-12 19:18:06.667,315.0
ECMYD3EO,2025-04-12 19:18:06.843,268.0
JRHC8FUU,2025-04-12 19:18:07.004,268.0
2MNRB1V1,2025-04-12 19:18:07.273,166.0
V10E3UWQ,2025-04-12 19:18:07.338,232.0
3LB8ATCI,2025-04-12 19:18:07.571,281.0
CN7T0319,2025-04-12 19:18:07.682,185.0
OAO8WGLK,2025-04-12 19:18:07.825,149.0
HMJWI5TO,2025-04-12 19:18:07.980,270.0
04GHKNB7,2025-04-12 19:18:08.167,284.0
VH7MMOZR,2025-04-12 19:18:08.314,201.0
WAE25T06,2025-04-12 19:18:08.497,155.0
GHBOBWFR,2025-04-12 19:18:08.676,211.0
FZPJHITX,2025-04-12 19:18:08.818,159.0
XS2JITXW,2025-04-12 19:18:08.982,270.0
NQBTROD3,2025-04-12 19:18:09.172,143.0
DG09VIMT,2025-04-12 19:18:09.343,154.0
84BCOBMX,2025-04-12 19:18:09.505,223.0
ZWILI4FI,2025-04-12 19:18:09.694,207.0
MSOF3KRU,2025-04-12 19:18:09.846,104.0
7WE8RUOE,2025-04-12 19:18:10.014,300.0
QSTJIKX7,2025-04-12 19:18:10.163,235.0
IBH7QJJ3,2025-04-12 19:18:10.333,212.0
RRL6S553,2025-04-12 19:18:10.545,146.0
K9M8JR79,2025-04-12 19:18:10.691,214.0
JSTTPTFZ,2025-04-12 19:18:10.906,199.0
VZFHRC92,2025-04-12 19:18:11.022,225.0
GQ64GZ6P,2025-04-12 19:18:11.248,283.0
5E7VC89J,2025-04-12 19:18:11.354,333.0
F4WBY5X3,2025-04-12 19:18:11.556,175.0
ER5CE4DI,2025-04-12 19:18:11.678,146.0
1IHEOV3A,2025-04-12 19:18:11.830,160.0
GEW5FYBK,2025-04-12 19:18:11.996,220.0
8XAP9HJ5,2025-04-12 19:18:12.177,195.0
GH42G11G,2025-04-12 19:18:12.353,131.0
9HPTY9ZG,2025-04-12 19:18:12.494,159.0
KMO3T2QL,2025-04-12 19:18:12.675,253.0
DROBSUGO,2025-04-12 19:18:12.835,223.0
D5R7QTG4,2025-04-12 19:18:13.052,220.0
A3TJ8F1L,2025-04-12 19:18:13.156,186.0
EERA0MT0,2025-04-12 19:18:13.342,189.0
6OSN13FJ,2025-04-12 19:18:13.547,193.0
Q4TJWQCM,2025-04-12 19:18:13.655,186.0
ZZ3KG1ZL,2025-04-12 19:18:13.855,333.0
0I2TI0K8,2025-04-12 19:18:14.023,728.0
CC4LQLK1,2025-04-12 19:18:14.171,205.0
BXXV6IUU,2025-04-12 19:18:14.356,412.0
FUUBQAIL,2025-04-12 19:18:14.483,208.0
4M3E08F6,2025-04-12 19:18:14.649,227.0
5ZTS9SR0,2025-04-12 19:18:14.876,359.0
W019SNBA,2025-04-12 19:18:15.179,343.0
LJI90KS8,2025-04-12 19:18:15.236,309.0
SAPZO42A,2025-04-12 19:18:15.368,214.0
GJKM3RAG,2025-04-12 19:18:15.546,288.0
CAUSKLPA,2025-04-12 19:18:15.704,237.0
FE8YPEZV,2025-04-12 19:18:15.842,424.0
F20XP48G,2025-04-12 19:18:15.997,286.0
HMCAQJKQ,2025-04-12 19:18:16.283,145.0
FN0UVD7M,2025-04-12 19:18:16.377,199.0
3QV24MQJ,2025-04-12 19:18:16.508,204.0
422KOUST,2025-04-12 19:18:16.713,218.0
5XU56BOQ,2025-04-12 19:18:16.932,168.0
W5H6F3EM,2025-04-12 19:18:17.043,223.0
