id,enter_time_str,latency
RTE7PCYL,2025-03-18 00:32:59.791,120.0
ZV4Z78PF,2025-03-18 00:32:59.912,8.0
IBOLV1MK,2025-03-18 00:32:59.912,8.0
B7CBYX2Z,2025-03-18 00:32:59.968,5.0
MT0KQYPI,2025-03-18 00:32:59.974,10.0
SC4AKA8D,2025-03-18 00:32:59.974,10.0
NT38BWJD,2025-03-18 00:32:59.974,10.0
J3Y5ETZ8,2025-03-18 00:33:00.005,7.0
1HF6VSXK,2025-03-18 00:33:00.013,21.0
2RL0IION,2025-03-18 00:33:00.013,21.0
Q7LZWJXZ,2025-03-18 00:33:00.013,21.0
E896GCLS,2025-03-18 00:33:00.013,21.0
4OWJEPR4,2025-03-18 00:33:00.064,6.0
V1GEHJZA,2025-03-18 00:33:00.071,16.0
WQR8YRHI,2025-03-18 00:33:00.071,16.0
V7CMA9SL,2025-03-18 00:33:00.071,16.0
IJPJBSH2,2025-03-18 00:33:00.088,33.0
Y87W2ZZ0,2025-03-18 00:33:00.088,33.0
G13TO1CK,2025-03-18 00:33:00.088,33.0
IHH7D95Y,2025-03-18 00:33:00.088,33.0
79YX52PU,2025-03-18 00:33:00.088,33.0
F12TE150,2025-03-18 00:33:00.088,33.0
60V4M3MX,2025-03-18 00:33:00.088,33.0
YDDDN7JZ,2025-03-18 00:33:00.123,10.0
HA0MPVQQ,2025-03-18 00:33:00.134,11.0
MTHPG6OS,2025-03-18 00:33:00.145,11.0
RL3ZYGUM,2025-03-18 00:33:00.157,35.0
IGEWYRVN,2025-03-18 00:33:00.157,35.0
N17KSBJ9,2025-03-18 00:33:00.157,35.0
LE88ZPPR,2025-03-18 00:33:00.157,35.0
SOFFSQOR,2025-03-18 00:33:00.157,35.0
YRYA0E9W,2025-03-18 00:33:00.157,35.0
18E0RMKC,2025-03-18 00:33:00.157,35.0
DINYDMWR,2025-03-18 00:33:00.157,35.0
LCBXP6XV,2025-03-18 00:33:00.194,11.0
NCA0QTLL,2025-03-18 00:33:00.207,14.0
614M9LTC,2025-03-18 00:33:00.207,14.0
LTC0XWB6,2025-03-18 00:33:00.207,14.0
ZHUEOUGO,2025-03-18 00:33:00.222,9.0
HXR8PQOR,2025-03-18 00:33:00.232,15.0
BARI4DNB,2025-03-18 00:33:00.232,15.0
H6DE1L4X,2025-03-18 00:33:00.232,15.0
GRFHJVC0,2025-03-18 00:33:00.248,6.0
Z3HZ6B3R,2025-03-18 00:33:00.277,11.0
YKD9BENB,2025-03-18 00:33:00.277,11.0
U6I2ZO20,2025-03-18 00:33:00.291,9.0
3P00T31H,2025-03-18 00:33:00.334,8.0
ZNC566YV,2025-03-18 00:33:00.343,7.0
5UD9N3SJ,2025-03-18 00:33:00.407,5.0
EGBO2BCS,2025-03-18 00:33:00.439,6.0
3BPGGUI2,2025-03-18 00:33:00.446,20.0
W0IRB233,2025-03-18 00:33:00.446,20.0
75TEHK8A,2025-03-18 00:33:00.446,20.0
JUC23ALU,2025-03-18 00:33:00.446,20.0
6EMPRP2G,2025-03-18 00:33:00.476,4.0
W7P9UPE9,2025-03-18 00:33:00.496,14.0
650TKFSD,2025-03-18 00:33:00.496,14.0
1SK6XKAX,2025-03-18 00:33:00.532,14.0
QFOS46MK,2025-03-18 00:33:00.532,14.0
GPP13MQQ,2025-03-18 00:33:00.551,10.0
3OCDDY3Y,2025-03-18 00:33:00.561,5.0
K27Y1L2V,2025-03-18 00:33:00.575,6.0
ZE78IEBO,2025-03-18 00:33:00.581,14.0
180M9ZNO,2025-03-18 00:33:00.581,14.0
SVKDADZM,2025-03-18 00:33:00.596,8.0
GEWQSIV8,2025-03-18 00:33:00.611,8.0
4FB6TPWC,2025-03-18 00:33:00.611,8.0
9M9G3RT1,2025-03-18 00:33:00.639,7.0
7SZ7LYKE,2025-03-18 00:33:00.647,7.0
NFBXTYLA,2025-03-18 00:33:00.673,9.0
P44TL1GJ,2025-03-18 00:33:00.673,9.0
