id,enter_time_str,latency
ZZ0SY327,2025-04-12 19:21:40.521,42.0
VSIH5GOE,2025-04-12 19:21:40.709,36.0
22QZTTJE,2025-04-12 19:21:40.780,36.0
MPF1AY63,2025-04-12 19:21:40.852,35.0
J1G6GC4L,2025-04-12 19:21:40.967,35.0
U4LWUU06,2025-04-12 19:21:41.095,34.0
4QJ255ZL,2025-04-12 19:21:41.210,40.0
T8DMJIH5,2025-04-12 19:21:41.339,36.0
Z32MEKKG,2025-04-12 19:21:41.459,35.0
ACZSZN17,2025-04-12 19:21:41.563,37.0
9DKEDKY1,2025-04-12 19:21:41.768,35.0
OBW1AO5O,2025-04-12 19:21:41.835,36.0
R9N0XFWS,2025-04-12 19:21:41.942,35.0
AGMKAGGC,2025-04-12 19:21:42.079,36.0
V5AQL3BK,2025-04-12 19:21:42.241,38.0
GHIIKXJF,2025-04-12 19:21:42.317,35.0
4IVG384K,2025-04-12 19:21:42.452,36.0
FHNVBCDQ,2025-04-12 19:21:42.583,35.0
MI58NXZC,2025-04-12 19:21:42.710,36.0
LFZMQNWH,2025-04-12 19:21:42.833,38.0
DNYNIJYI,2025-04-12 19:21:42.978,39.0
GYPTT6I9,2025-04-12 19:21:43.098,35.0
WFFOCVT5,2025-04-12 19:21:43.210,38.0
TMTUWAUJ,2025-04-12 19:21:43.326,37.0
9A4WFPNK,2025-04-12 19:21:43.478,37.0
E8EIWCGI,2025-04-12 19:21:43.602,35.0
L1J1LV6D,2025-04-12 19:21:43.760,35.0
ONHG2WHR,2025-04-12 19:21:43.848,34.0
8UQKJJAT,2025-04-12 19:21:43.962,34.0
EP39NL3J,2025-04-12 19:21:44.078,37.0
8IX105PR,2025-04-12 19:21:44.214,38.0
S4E3O9IX,2025-04-12 19:21:44.339,36.0
7LSHFXWJ,2025-04-12 19:21:44.453,36.0
9UXNITIQ,2025-04-12 19:21:44.598,37.0
1GXY8HO2,2025-04-12 19:21:44.761,37.0
9KM7D68K,2025-04-12 19:21:44.855,35.0
Z70LUP0S,2025-04-12 19:21:44.952,34.0
3DLZ7V39,2025-04-12 19:21:45.065,38.0
N0WTU09G,2025-04-12 19:21:45.210,36.0
4PAOSJ0Y,2025-04-12 19:21:45.320,34.0
FOE3INUD,2025-04-12 19:21:45.457,35.0
PUKKEYR5,2025-04-12 19:21:45.584,34.0
AYPZ76AK,2025-04-12 19:21:45.703,35.0
I45QAO7O,2025-04-12 19:21:45.814,38.0
T6F8YAL6,2025-04-12 19:21:45.966,36.0
SB68WWC0,2025-04-12 19:21:46.094,35.0
FVGZ5MTS,2025-04-12 19:21:46.212,34.0
N1PNHTX8,2025-04-12 19:21:46.353,34.0
31ASJTVH,2025-04-12 19:21:46.466,34.0
7PWQMYJ8,2025-04-12 19:21:46.596,34.0
UAVZ4TPY,2025-04-12 19:21:46.706,34.0
A3P6DGFA,2025-04-12 19:21:46.830,34.0
X7P4UG9V,2025-04-12 19:21:46.957,35.0
W67LCMIG,2025-04-12 19:21:47.100,35.0
OH7O9N0O,2025-04-12 19:21:47.211,35.0
4LT8K0A4,2025-04-12 19:21:47.362,35.0
WWOKFI1I,2025-04-12 19:21:47.474,34.0
X8YUDKOS,2025-04-12 19:21:47.599,39.0
VKO5BG46,2025-04-12 19:21:47.758,35.0
Y1EG7M9F,2025-04-12 19:21:47.841,35.0
OLILC0ZR,2025-04-12 19:21:47.948,35.0
YLN61TUL,2025-04-12 19:21:48.084,34.0
RO2Z44JP,2025-04-12 19:21:48.217,35.0
8H7H8XRC,2025-04-12 19:21:48.356,35.0
MCXFJ4YZ,2025-04-12 19:21:48.452,35.0
IPMOYGJ8,2025-04-12 19:21:48.595,37.0
NFHKNF84,2025-04-12 19:21:48.709,35.0
CWQP2PDM,2025-04-12 19:21:48.888,34.0
NZ5LP3X2,2025-04-12 19:21:48.958,35.0
W5AM36MS,2025-04-12 19:21:49.075,35.0
619C1T59,2025-04-12 19:21:49.256,35.0
S2MRZSJ2,2025-04-12 19:21:49.327,35.0
D3KM9QER,2025-04-12 19:21:49.485,37.0
U0XLP0TH,2025-04-12 19:21:49.606,38.0
T1P5PILT,2025-04-12 19:21:49.738,34.0
URJWT3PL,2025-04-12 19:21:49.858,35.0
6BS2U0XF,2025-04-12 19:21:49.943,35.0
ZMON8MLX,2025-04-12 19:21:50.081,34.0
KF587UQP,2025-04-12 19:21:50.198,37.0
W6MXN92X,2025-04-12 19:21:50.331,34.0
XEQCY9VM,2025-04-12 19:21:50.473,34.0
ZE1JHGGP,2025-04-12 19:21:50.616,35.0
EBAEKAVI,2025-04-12 19:21:50.707,43.0
X5FCIKCF,2025-04-12 19:21:50.867,34.0
IA0ZUCH7,2025-04-12 19:21:50.966,39.0
E6Y5WRCK,2025-04-12 19:21:51.082,37.0
T13KR8VB,2025-04-12 19:21:51.224,36.0
CUHK0VKW,2025-04-12 19:21:51.377,34.0
VG4B3F76,2025-04-12 19:21:51.474,35.0
HAFRVL0Z,2025-04-12 19:21:51.585,34.0
ZO6PTC3A,2025-04-12 19:21:51.852,35.0
NZDTUFQ8,2025-04-12 19:21:51.955,35.0
K3A7KYSW,2025-04-12 19:21:52.032,34.0
NG6CZ9SH,2025-04-12 19:21:52.104,35.0
INN9IT0P,2025-04-12 19:21:52.205,35.0
E2HFGZY3,2025-04-12 19:21:52.355,34.0
QZLGMWU9,2025-04-12 19:21:52.463,37.0
TIGL6LZW,2025-04-12 19:21:52.595,35.0
AB4GVJ24,2025-04-12 19:21:52.723,35.0
YB8P5SLR,2025-04-12 19:21:52.854,35.0
RT1OVHWW,2025-04-12 19:21:52.956,39.0
DC8S0V2T,2025-04-12 19:21:53.081,38.0
