id,enter_time_str,latency
IBW179H7,2025-03-18 03:56:24.186,126.0
IQGC67NM,2025-03-18 03:56:24.190,130.0
KUPD8Q2Y,2025-03-18 03:56:24.195,130.0
6QHBR15C,2025-03-18 03:56:24.197,123.0
SN1E4HTP,2025-03-18 03:56:24.203,166.0
V1P5RX5O,2025-03-18 03:56:24.211,225.0
7F8QK0DF,2025-03-18 03:56:24.213,190.0
BQ3AORI9,2025-03-18 03:56:24.221,243.0
JU5BQVXL,2025-03-18 03:56:24.223,211.0
SMU0E2BE,2025-03-18 03:56:24.228,232.0
QKIN6MKS,2025-03-18 03:56:24.233,186.0
BTEU3YIE,2025-03-18 03:56:24.238,182.0
MP2SW1SE,2025-03-18 03:56:24.243,288.0
OE1A9PB4,2025-03-18 03:56:24.247,281.0
Q30EYL1Q,2025-03-18 03:56:24.253,311.0
TVRZMBDT,2025-03-18 03:56:24.259,220.0
FRZTOUYJ,2025-03-18 03:56:24.263,262.0
1K0LJWG2,2025-03-18 03:56:24.268,441.0
L7IPM44L,2025-03-18 03:56:24.273,295.0
7H29ZPPU,2025-03-18 03:56:24.278,354.0
NNUIII14,2025-03-18 03:56:24.283,230.0
R9QV349T,2025-03-18 03:56:24.289,393.0
HIGSGQVI,2025-03-18 03:56:24.292,209.0
23V3FL5R,2025-03-18 03:56:24.297,376.0
AKS78H9R,2025-03-18 03:56:24.302,409.0
WZNWKCPY,2025-03-18 03:56:24.308,226.0
C6MKGOK2,2025-03-18 03:56:24.313,249.0
B17BBQLN,2025-03-18 03:56:24.318,356.0
IINAU0RM,2025-03-18 03:56:24.323,288.0
L83OIKVA,2025-03-18 03:56:24.328,386.0
XI2JA5GN,2025-03-18 03:56:24.332,368.0
AAB3W8YG,2025-03-18 03:56:24.338,363.0
GIM76C6A,2025-03-18 03:56:24.344,297.0
65857756,2025-03-18 03:56:24.348,362.0
M5NQVCZV,2025-03-18 03:56:24.354,446.0
UTC1P7BA,2025-03-18 03:56:24.358,394.0
TRJI21LV,2025-03-18 03:56:24.362,469.0
H1CJNWXB,2025-03-18 03:56:24.368,252.0
QMXT1UPD,2025-03-18 03:56:24.374,403.0
VASXDUDE,2025-03-18 03:56:24.377,360.0
XD8JB3LM,2025-03-18 03:56:24.383,257.0
I72N90BW,2025-03-18 03:56:24.389,440.0
4FWX6ML7,2025-03-18 03:56:24.396,342.0
FDS2LAAP,2025-03-18 03:56:24.400,247.0
POGIZ83X,2025-03-18 03:56:24.406,369.0
IZXHT9J3,2025-03-18 03:56:24.410,328.0
KT4L03TD,2025-03-18 03:56:24.415,393.0
ZNGP0AHH,2025-03-18 03:56:24.421,351.0
IR2RP89H,2025-03-18 03:56:24.425,312.0
5919MMFK,2025-03-18 03:56:24.431,413.0
KQZDXXLF,2025-03-18 03:56:24.434,340.0
QC3K7J88,2025-03-18 03:56:24.441,347.0
Z4GEQ9AQ,2025-03-18 03:56:24.446,417.0
KVLT0AP4,2025-03-18 03:56:24.450,505.0
YH1940UT,2025-03-18 03:56:24.455,554.0
45D995J4,2025-03-18 03:56:24.460,575.0
L3V8C2MK,2025-03-18 03:56:24.467,379.0
MGHC7H8A,2025-03-18 03:56:24.470,443.0
6RM2F518,2025-03-18 03:56:24.476,527.0
YPNWA20H,2025-03-18 03:56:24.480,321.0
DUAMI1OW,2025-03-18 03:56:24.486,382.0
ZPD76PNW,2025-03-18 03:56:24.491,533.0
0Q5PMRF0,2025-03-18 03:56:24.495,431.0
T87ET3NI,2025-03-18 03:56:24.501,464.0
PZUHZVXX,2025-03-18 03:56:24.506,503.0
QUC3G3AZ,2025-03-18 03:56:24.511,317.0
0Z2AQHVB,2025-03-18 03:56:24.516,284.0
V2I5HUVP,2025-03-18 03:56:24.521,309.0
XMJMX8DV,2025-03-18 03:56:24.525,345.0
NKP0OJPR,2025-03-18 03:56:24.531,493.0
YWCZKSWL,2025-03-18 03:56:24.536,301.0
J1JLS6RP,2025-03-18 03:56:24.541,494.0
HHJWWSWT,2025-03-18 03:56:24.546,380.0
SGPTW18V,2025-03-18 03:56:24.553,374.0
B5AYJVVE,2025-03-18 03:56:24.557,323.0
JMWMKN5Y,2025-03-18 03:56:24.561,363.0
UNZY3RGK,2025-03-18 03:56:24.567,443.0
5NAFSYVJ,2025-03-18 03:56:24.572,474.0
MAAHK21B,2025-03-18 03:56:24.578,469.0
E6YGQFSN,2025-03-18 03:56:24.584,350.0
9HBKVAWB,2025-03-18 03:56:24.587,371.0
1X5RGBNP,2025-03-18 03:56:24.594,307.0
8QDP29Z2,2025-03-18 03:56:24.598,464.0
PECO1PQC,2025-03-18 03:56:24.604,367.0
172RX9SN,2025-03-18 03:56:24.611,313.0
3U66E7HE,2025-03-18 03:56:24.614,433.0
4JTI8PJD,2025-03-18 03:56:24.618,453.0
BPZPLJ2E,2025-03-18 03:56:24.623,435.0
6SPF9CHR,2025-03-18 03:56:24.630,342.0
AAF457US,2025-03-18 03:56:24.634,300.0
NSVP3USR,2025-03-18 03:56:24.647,524.0
TV8UCT51,2025-03-18 03:56:24.648,437.0
JC0LGXUH,2025-03-18 03:56:24.648,610.0
O8SKBNKX,2025-03-18 03:56:24.654,547.0
5GCJP3ET,2025-03-18 03:56:24.659,692.0
1NCGGZGT,2025-03-18 03:56:24.665,592.0
GXFDQKW0,2025-03-18 03:56:24.669,714.0
3K3B7DO0,2025-03-18 03:56:24.675,526.0
RJSHU2YG,2025-03-18 03:56:24.680,578.0
6PWFHVW3,2025-03-18 03:56:24.684,431.0
H5TR24OX,2025-03-18 03:56:24.689,517.0
UNEF5A15,2025-03-18 03:56:24.694,507.0
FSN1ZZKY,2025-03-18 03:56:24.699,413.0
6BGB3DSP,2025-03-18 03:56:24.704,639.0
NCXM0KM3,2025-03-18 03:56:24.710,548.0
0NIH14SK,2025-03-18 03:56:24.716,399.0
RPCK6VSJ,2025-03-18 03:56:24.720,423.0
I5JW83F2,2025-03-18 03:56:24.727,352.0
53ZRGOB8,2025-03-18 03:56:24.731,407.0
4L5ECVZH,2025-03-18 03:56:24.737,367.0
1HF0EAY0,2025-03-18 03:56:24.743,609.0
NH9SC8AY,2025-03-18 03:56:24.746,664.0
L6OIB1UQ,2025-03-18 03:56:24.751,345.0
S2BQRQR2,2025-03-18 03:56:24.756,450.0
M3OWODK3,2025-03-18 03:56:24.761,497.0
G13V62CX,2025-03-18 03:56:24.767,403.0
494EX9C9,2025-03-18 03:56:24.774,549.0
8LL5NNK6,2025-03-18 03:56:24.780,335.0
KY8DF2GM,2025-03-18 03:56:24.785,596.0
N89WB6L5,2025-03-18 03:56:24.789,383.0
LZN3D0KN,2025-03-18 03:56:24.794,465.0
L9PWOADF,2025-03-18 03:56:24.799,678.0
6BPOKL40,2025-03-18 03:56:24.807,435.0
CO3BFO60,2025-03-18 03:56:24.810,332.0
