id,enter_time_str,latency
IBW179H7,2025-03-18 03:56:24.196,14.0
IQGC67NM,2025-03-18 03:56:24.199,12.0
KUPD8Q2Y,2025-03-18 03:56:24.212,17.0
6QHBR15C,2025-03-18 03:56:24.212,17.0
SN1E4HTP,2025-03-18 03:56:24.212,17.0
7F8QK0DF,2025-03-18 03:56:24.221,11.0
V1P5RX5O,2025-03-18 03:56:24.233,18.0
JU5BQVXL,2025-03-18 03:56:24.233,18.0
BQ3AORI9,2025-03-18 03:56:24.233,18.0
SMU0E2BE,2025-03-18 03:56:24.236,9.0
BTEU3YIE,2025-03-18 03:56:24.247,11.0
QKIN6MKS,2025-03-18 03:56:24.251,13.0
MP2SW1SE,2025-03-18 03:56:24.258,15.0
OE1A9PB4,2025-03-18 03:56:24.264,14.0
Q30EYL1Q,2025-03-18 03:56:24.274,20.0
TVRZMBDT,2025-03-18 03:56:24.274,20.0
FRZTOUYJ,2025-03-18 03:56:24.274,20.0
1K0LJWG2,2025-03-18 03:56:24.279,17.0
L7IPM44L,2025-03-18 03:56:24.298,18.0
7H29ZPPU,2025-03-18 03:56:24.298,18.0
NNUIII14,2025-03-18 03:56:24.298,18.0
R9QV349T,2025-03-18 03:56:24.305,14.0
HIGSGQVI,2025-03-18 03:56:24.305,14.0
AKS78H9R,2025-03-18 03:56:24.317,12.0
23V3FL5R,2025-03-18 03:56:24.320,18.0
WZNWKCPY,2025-03-18 03:56:24.320,18.0
C6MKGOK2,2025-03-18 03:56:24.330,12.0
B17BBQLN,2025-03-18 03:56:24.339,20.0
XI2JA5GN,2025-03-18 03:56:24.339,20.0
IINAU0RM,2025-03-18 03:56:24.343,21.0
L83OIKVA,2025-03-18 03:56:24.343,21.0
AAB3W8YG,2025-03-18 03:56:24.360,20.0
65857756,2025-03-18 03:56:24.360,20.0
GIM76C6A,2025-03-18 03:56:24.365,22.0
M5NQVCZV,2025-03-18 03:56:24.365,22.0
UTC1P7BA,2025-03-18 03:56:24.381,19.0
H1CJNWXB,2025-03-18 03:56:24.381,19.0
TRJI21LV,2025-03-18 03:56:24.389,14.0
QMXT1UPD,2025-03-18 03:56:24.402,14.0
VASXDUDE,2025-03-18 03:56:24.402,14.0
I72N90BW,2025-03-18 03:56:24.402,14.0
XD8JB3LM,2025-03-18 03:56:24.405,14.0
4FWX6ML7,2025-03-18 03:56:24.405,14.0
POGIZ83X,2025-03-18 03:56:24.417,13.0
IZXHT9J3,2025-03-18 03:56:24.417,13.0
FDS2LAAP,2025-03-18 03:56:24.420,12.0
KT4L03TD,2025-03-18 03:56:24.431,13.0
ZNGP0AHH,2025-03-18 03:56:24.433,13.0
IR2RP89H,2025-03-18 03:56:24.445,13.0
5919MMFK,2025-03-18 03:56:24.445,13.0
KQZDXXLF,2025-03-18 03:56:24.445,13.0
KVLT0AP4,2025-03-18 03:56:24.457,10.0
QC3K7J88,2025-03-18 03:56:24.459,13.0
Z4GEQ9AQ,2025-03-18 03:56:24.459,13.0
YH1940UT,2025-03-18 03:56:24.468,11.0
45D995J4,2025-03-18 03:56:24.473,16.0
L3V8C2MK,2025-03-18 03:56:24.480,16.0
MGHC7H8A,2025-03-18 03:56:24.480,16.0
6RM2F518,2025-03-18 03:56:24.499,17.0
YPNWA20H,2025-03-18 03:56:24.499,17.0
DUAMI1OW,2025-03-18 03:56:24.499,17.0
ZPD76PNW,2025-03-18 03:56:24.499,17.0
T87ET3NI,2025-03-18 03:56:24.508,11.0
0Q5PMRF0,2025-03-18 03:56:24.518,13.0
PZUHZVXX,2025-03-18 03:56:24.520,12.0
QUC3G3AZ,2025-03-18 03:56:24.520,12.0
0Z2AQHVB,2025-03-18 03:56:24.533,12.0
V2I5HUVP,2025-03-18 03:56:24.533,12.0
XMJMX8DV,2025-03-18 03:56:24.533,12.0
NKP0OJPR,2025-03-18 03:56:24.537,10.0
YWCZKSWL,2025-03-18 03:56:24.547,11.0
J1JLS6RP,2025-03-18 03:56:24.549,9.0
HHJWWSWT,2025-03-18 03:56:24.559,13.0
SGPTW18V,2025-03-18 03:56:24.573,12.0
B5AYJVVE,2025-03-18 03:56:24.573,12.0
JMWMKN5Y,2025-03-18 03:56:24.573,12.0
UNZY3RGK,2025-03-18 03:56:24.574,10.0
5NAFSYVJ,2025-03-18 03:56:24.585,15.0
MAAHK21B,2025-03-18 03:56:24.588,12.0
E6YGQFSN,2025-03-18 03:56:24.602,12.0
9HBKVAWB,2025-03-18 03:56:24.602,12.0
1X5RGBNP,2025-03-18 03:56:24.602,12.0
8QDP29Z2,2025-03-18 03:56:24.605,16.0
172RX9SN,2025-03-18 03:56:24.620,11.0
3U66E7HE,2025-03-18 03:56:24.620,11.0
