id,enter_time_str,latency
IBW179H7,2025-03-18 03:56:24.272,39.0
IQGC67NM,2025-03-18 03:56:24.277,41.0
6QHBR15C,2025-03-18 03:56:24.283,36.0
KUPD8Q2Y,2025-03-18 03:56:24.288,36.0
SN1E4HTP,2025-03-18 03:56:24.330,38.0
7F8QK0DF,2025-03-18 03:56:24.366,36.0
BTEU3YIE,2025-03-18 03:56:24.372,46.0
QKIN6MKS,2025-03-18 03:56:24.380,38.0
SMU0E2BE,2025-03-18 03:56:24.388,71.0
JU5BQVXL,2025-03-18 03:56:24.403,30.0
V1P5RX5O,2025-03-18 03:56:24.403,31.0
BQ3AORI9,2025-03-18 03:56:24.435,28.0
TVRZMBDT,2025-03-18 03:56:24.443,34.0
HIGSGQVI,2025-03-18 03:56:24.462,38.0
NNUIII14,2025-03-18 03:56:24.478,34.0
FRZTOUYJ,2025-03-18 03:56:24.480,44.0
MP2SW1SE,2025-03-18 03:56:24.490,39.0
OE1A9PB4,2025-03-18 03:56:24.495,32.0
WZNWKCPY,2025-03-18 03:56:24.502,30.0
C6MKGOK2,2025-03-18 03:56:24.524,37.0
L7IPM44L,2025-03-18 03:56:24.530,36.0
Q30EYL1Q,2025-03-18 03:56:24.533,30.0
IINAU0RM,2025-03-18 03:56:24.576,34.0
H1CJNWXB,2025-03-18 03:56:24.580,39.0
7H29ZPPU,2025-03-18 03:56:24.595,35.0
XD8JB3LM,2025-03-18 03:56:24.606,33.0
GIM76C6A,2025-03-18 03:56:24.607,32.0
FDS2LAAP,2025-03-18 03:56:24.611,35.0
B17BBQLN,2025-03-18 03:56:24.631,40.0
AKS78H9R,2025-03-18 03:56:24.634,73.0
1K0LJWG2,2025-03-18 03:56:24.634,73.0
XI2JA5GN,2025-03-18 03:56:24.640,58.0
AAB3W8YG,2025-03-18 03:56:24.640,58.0
23V3FL5R,2025-03-18 03:56:24.641,30.0
R9QV349T,2025-03-18 03:56:24.646,34.0
IR2RP89H,2025-03-18 03:56:24.673,62.0
VASXDUDE,2025-03-18 03:56:24.673,62.0
L83OIKVA,2025-03-18 03:56:24.675,37.0
65857756,2025-03-18 03:56:24.676,31.0
4FWX6ML7,2025-03-18 03:56:24.699,37.0
IZXHT9J3,2025-03-18 03:56:24.702,34.0
UTC1P7BA,2025-03-18 03:56:24.708,42.0
KQZDXXLF,2025-03-18 03:56:24.709,63.0
POGIZ83X,2025-03-18 03:56:24.709,63.0
M5NQVCZV,2025-03-18 03:56:24.713,86.0
0Z2AQHVB,2025-03-18 03:56:24.713,86.0
YPNWA20H,2025-03-18 03:56:24.713,86.0
QMXT1UPD,2025-03-18 03:56:24.736,40.0
ZNGP0AHH,2025-03-18 03:56:24.737,34.0
I72N90BW,2025-03-18 03:56:24.737,89.0
QUC3G3AZ,2025-03-18 03:56:24.737,89.0
V2I5HUVP,2025-03-18 03:56:24.737,89.0
QC3K7J88,2025-03-18 03:56:24.751,36.0
KT4L03TD,2025-03-18 03:56:24.773,34.0
TRJI21LV,2025-03-18 03:56:24.789,40.0
YWCZKSWL,2025-03-18 03:56:24.804,31.0
5919MMFK,2025-03-18 03:56:24.807,35.0
L3V8C2MK,2025-03-18 03:56:24.809,35.0
Z4GEQ9AQ,2025-03-18 03:56:24.827,34.0
XMJMX8DV,2025-03-18 03:56:24.830,38.0
DUAMI1OW,2025-03-18 03:56:24.836,30.0
0Q5PMRF0,2025-03-18 03:56:24.844,80.0
HHJWWSWT,2025-03-18 03:56:24.844,80.0
SGPTW18V,2025-03-18 03:56:24.844,80.0
B5AYJVVE,2025-03-18 03:56:24.845,34.0
172RX9SN,2025-03-18 03:56:24.862,60.0
JMWMKN5Y,2025-03-18 03:56:24.862,60.0
1X5RGBNP,2025-03-18 03:56:24.867,33.0
