id,enter_time_str,latency
V0JVVZ01,2025-04-01 02:30:11.856,261.0
M0A676ZD,2025-04-01 02:30:11.863,257.0
XEWR95UQ,2025-04-01 02:30:11.876,263.0
IHRME75Z,2025-04-01 02:30:11.888,297.0
27UFMLF0,2025-04-01 02:30:11.917,273.0
I50UX1IT,2025-04-01 02:30:12.119,201.0
2KJ8QVIT,2025-04-01 02:30:12.119,201.0
GLX0DNBM,2025-04-01 02:30:12.119,201.0
S1DZ05Y5,2025-04-01 02:30:12.119,201.0
RSMKBCMW,2025-04-01 02:30:12.119,201.0
ZYE0KYWF,2025-04-01 02:30:12.122,264.0
ZQ8OO440,2025-04-01 02:30:12.122,264.0
N8C6NBN0,2025-04-01 02:30:12.122,264.0
TN4BOYQ7,2025-04-01 02:30:12.122,264.0
4WOJTAOX,2025-04-01 02:30:12.122,264.0
4SLXACL3,2025-04-01 02:30:12.122,264.0
52HY4YO3,2025-04-01 02:30:12.122,264.0
HQLTW3HC,2025-04-01 02:30:12.140,238.0
UCMENZ8B,2025-04-01 02:30:12.140,238.0
BUPC42E8,2025-04-01 02:30:12.140,238.0
83KQRWDW,2025-04-01 02:30:12.140,238.0
H1NDT819,2025-04-01 02:30:12.140,238.0
9Z5NT09F,2025-04-01 02:30:12.140,238.0
X9W5GEAW,2025-04-01 02:30:12.189,255.0
BHK89V9O,2025-04-01 02:30:12.189,255.0
PIFC4EAA,2025-04-01 02:30:12.189,255.0
GHI80TZI,2025-04-01 02:30:12.189,255.0
YDXM7DAS,2025-04-01 02:30:12.189,255.0
GWZKLZ6J,2025-04-01 02:30:12.189,255.0
BHR2FDFQ,2025-04-01 02:30:12.189,255.0
ZJ7RYIV2,2025-04-01 02:30:12.192,284.0
WGEQ0D93,2025-04-01 02:30:12.192,284.0
ZUW00OSK,2025-04-01 02:30:12.192,284.0
BPR37JH3,2025-04-01 02:30:12.192,284.0
56LS4FR8,2025-04-01 02:30:12.192,284.0
QZNWRWWN,2025-04-01 02:30:12.192,284.0
KZDYDU5V,2025-04-01 02:30:12.192,284.0
0LH7ILWQ,2025-04-01 02:30:12.192,284.0
FELIEHHB,2025-04-01 02:30:12.323,186.0
A4E32LMM,2025-04-01 02:30:12.323,186.0
4BUAVKC4,2025-04-01 02:30:12.323,186.0
V35IH1FI,2025-04-01 02:30:12.323,186.0
50KYA7R0,2025-04-01 02:30:12.323,186.0
9P918ZPB,2025-04-01 02:30:12.323,186.0
AFSPGFQX,2025-04-01 02:30:12.323,186.0
9KU3LN3S,2025-04-01 02:30:12.380,131.0
A3FMQTOY,2025-04-01 02:30:12.380,131.0
R83D62X0,2025-04-01 02:30:12.380,131.0
7BW0HL2K,2025-04-01 02:30:12.380,131.0
T008HT48,2025-04-01 02:30:12.380,131.0
UAYJYMNM,2025-04-01 02:30:12.388,106.0
FCINLCN3,2025-04-01 02:30:12.388,106.0
ZKMHRHPF,2025-04-01 02:30:12.388,106.0
90VROJ2U,2025-04-01 02:30:12.388,106.0
DMR83D2X,2025-04-01 02:30:12.447,195.0
TYYQSZY3,2025-04-01 02:30:12.447,195.0
4RMOHYSD,2025-04-01 02:30:12.447,195.0
N5Y8DKZG,2025-04-01 02:30:12.447,195.0
HREI3I8E,2025-04-01 02:30:12.447,195.0
J3PKQJE6,2025-04-01 02:30:12.447,195.0
SYIRY0OF,2025-04-01 02:30:12.447,195.0
JV2SDA0G,2025-04-01 02:30:12.447,195.0
KE5R4ZAY,2025-04-01 02:30:12.478,222.0
Z6EFFQPE,2025-04-01 02:30:12.478,222.0
1JGG259T,2025-04-01 02:30:12.478,222.0
EC7Z5IBX,2025-04-01 02:30:12.478,222.0
QH7HEBTK,2025-04-01 02:30:12.478,222.0
QKFJW4A8,2025-04-01 02:30:12.478,222.0
7IS7EWAF,2025-04-01 02:30:12.478,222.0
TVKAZ6QH,2025-04-01 02:30:12.478,222.0
T7AKUPB0,2025-04-01 02:30:12.478,222.0
A428NMHF,2025-04-01 02:30:12.496,103.0
SNTQ0VLB,2025-04-01 02:30:12.496,103.0
U4G1CSR0,2025-04-01 02:30:12.496,103.0
FROKZ7QM,2025-04-01 02:30:12.496,103.0
8CAJN7QW,2025-04-01 02:30:12.511,57.0
EHU7ZYZZ,2025-04-01 02:30:12.511,57.0
3FG7OUNG,2025-04-01 02:30:12.513,33.0
AJPJBUB0,2025-04-01 02:30:12.550,32.0
JQ233HWM,2025-04-01 02:30:12.569,55.0
AS3RA61L,2025-04-01 02:30:12.569,55.0
AABS0QA1,2025-04-01 02:30:12.601,79.0
AS21LTM5,2025-04-01 02:30:12.601,79.0
QCZOEHR3,2025-04-01 02:30:12.601,79.0
FUJZECVC,2025-04-01 02:30:12.624,32.0
M7CZ3LIC,2025-04-01 02:30:12.626,33.0
C9U2ZP0S,2025-04-01 02:30:12.645,152.0
CHED4L7Q,2025-04-01 02:30:12.645,152.0
KLDX97X3,2025-04-01 02:30:12.645,152.0
Y68BD2GF,2025-04-01 02:30:12.645,152.0
SRGD42AW,2025-04-01 02:30:12.645,152.0
K6VNHUUM,2025-04-01 02:30:12.645,152.0
KROCS4RH,2025-04-01 02:30:12.657,56.0
RCUTM4BU,2025-04-01 02:30:12.657,56.0
1VVGGJ9Z,2025-04-01 02:30:12.660,33.0
LGP0HCTP,2025-04-01 02:30:12.682,37.0
XZT0C1K2,2025-04-01 02:30:12.694,32.0
T9N7ZKFN,2025-04-01 02:30:12.702,106.0
8CYZADZK,2025-04-01 02:30:12.702,106.0
FZO46WA0,2025-04-01 02:30:12.702,106.0
1TPUNLHS,2025-04-01 02:30:12.702,106.0
U2B1CR26,2025-04-01 02:30:12.714,55.0
56QF17AU,2025-04-01 02:30:12.714,55.0
26ZTX7YI,2025-04-01 02:30:12.720,32.0
ZA927G8Z,2025-04-01 02:30:12.728,55.0
WPU588U8,2025-04-01 02:30:12.728,55.0
4I6GL7L0,2025-04-01 02:30:12.753,32.0
4BN4D1YO,2025-04-01 02:30:12.771,33.0
J1F4SR7V,2025-04-01 02:30:12.784,32.0
D1EM69VJ,2025-04-01 02:30:12.786,32.0
XH72JBEI,2025-04-01 02:30:12.800,104.0
ULDIA0O4,2025-04-01 02:30:12.800,104.0
QA5DOW0A,2025-04-01 02:30:12.800,104.0
21TGXUR3,2025-04-01 02:30:12.800,104.0
TP7ZJLG5,2025-04-01 02:30:12.805,31.0
CODB0MI7,2025-04-01 02:30:12.811,34.0
RZJTZ6KD,2025-04-01 02:30:12.819,31.0
N82WAI6U,2025-04-01 02:30:12.821,31.0
4BRHE7LQ,2025-04-01 02:30:12.837,32.0
VNO3CDLW,2025-04-01 02:30:12.852,31.0
965BZSV6,2025-04-01 02:30:12.853,54.0
O183M00S,2025-04-01 02:30:12.853,54.0
H1GKND97,2025-04-01 02:30:12.884,32.0
P58B5GP3,2025-04-01 02:30:12.909,103.0
YMVSOT45,2025-04-01 02:30:12.909,103.0
AZPZTKS0,2025-04-01 02:30:12.909,103.0
MN599B6H,2025-04-01 02:30:12.909,103.0
0HD4KWWH,2025-04-01 02:30:12.919,79.0
AQ65EU8M,2025-04-01 02:30:12.919,79.0
HDHJUM9X,2025-04-01 02:30:12.919,79.0
1JQZJQDK,2025-04-01 02:30:12.939,31.0
LZAANS3T,2025-04-01 02:30:12.959,33.0
VM58AULC,2025-04-01 02:30:12.971,31.0
V0OHIDA2,2025-04-01 02:30:12.982,31.0
HVFPAVTS,2025-04-01 02:30:12.994,32.0
PSWASM8N,2025-04-01 02:30:12.999,80.0
9IYY7GRQ,2025-04-01 02:30:12.999,80.0
OP01WVME,2025-04-01 02:30:12.999,80.0
FPG2Z83R,2025-04-01 02:30:13.013,56.0
F9YB0E1N,2025-04-01 02:30:13.013,56.0
NWNWVK6X,2025-04-01 02:30:13.019,32.0
QWKCCSKJ,2025-04-01 02:30:13.026,31.0
1182VHLE,2025-04-01 02:30:13.034,35.0
SPO1D0UV,2025-04-01 02:30:13.063,31.0
DGVRKJRB,2025-04-01 02:30:13.071,33.0
FP6T54JE,2025-04-01 02:30:13.073,34.0
62V3W21S,2025-04-01 02:30:13.080,33.0
L1RM9X2L,2025-04-01 02:30:13.096,32.0
TNE4DT9K,2025-04-01 02:30:13.105,32.0
5HTC314B,2025-04-01 02:30:13.111,55.0
4F5RYRNJ,2025-04-01 02:30:13.111,55.0
NEGZDLYG,2025-04-01 02:30:13.115,31.0
5K3ZNRI1,2025-04-01 02:30:13.139,54.0
PWKZ9PSH,2025-04-01 02:30:13.139,54.0
XJGXAZ7R,2025-04-01 02:30:13.150,31.0
96784WN2,2025-04-01 02:30:13.169,31.0
T8L4ZM8Y,2025-04-01 02:30:13.169,34.0
9JE15NOW,2025-04-01 02:30:13.177,32.0
KX1HBGM0,2025-04-01 02:30:13.186,31.0
LV6GBI9G,2025-04-01 02:30:13.194,33.0
6P1QBS1Q,2025-04-01 02:30:13.201,31.0
O9943J6P,2025-04-01 02:30:13.218,32.0
TO542KXD,2025-04-01 02:30:13.220,31.0
T3R3BPRH,2025-04-01 02:30:13.228,32.0
X9OLJ1G0,2025-04-01 02:30:13.251,35.0
UNI7LMDK,2025-04-01 02:30:13.253,31.0
V2PENBZR,2025-04-01 02:30:13.255,31.0
8T88Q4A8,2025-04-01 02:30:13.261,31.0
BTSIS7ZP,2025-04-01 02:30:13.287,32.0
X3OWOXV4,2025-04-01 02:30:13.289,54.0
H33QN8MY,2025-04-01 02:30:13.289,54.0
FY49RZDQ,2025-04-01 02:30:13.295,31.0
0GATJK9J,2025-04-01 02:30:13.321,54.0
D0ES7ZFX,2025-04-01 02:30:13.321,54.0
4FTJ2URK,2025-04-01 02:30:13.327,32.0
V5TR9IRI,2025-04-01 02:30:13.334,31.0
518KNXS1,2025-04-01 02:30:13.355,31.0
ZOZLXKLL,2025-04-01 02:30:13.361,32.0
MK1G0B33,2025-04-01 02:30:13.366,32.0
SSSR3BH4,2025-04-01 02:30:13.387,32.0
E6XK99FM,2025-04-01 02:30:13.394,32.0
CEY0NWVM,2025-04-01 02:30:13.399,32.0
EBORD65H,2025-04-01 02:30:13.417,32.0
DRQLOJGG,2025-04-01 02:30:13.421,55.0
FFDCLPR7,2025-04-01 02:30:13.421,55.0
E5F7GXMW,2025-04-01 02:30:13.432,31.0
8O0P4YFN,2025-04-01 02:30:13.444,31.0
KUC6K6FG,2025-04-01 02:30:13.451,32.0
LLW7P22Y,2025-04-01 02:30:13.464,32.0
A7Y2OJE0,2025-04-01 02:30:13.476,31.0
35W64FVB,2025-04-01 02:30:13.477,56.0
SNOKEORL,2025-04-01 02:30:13.477,56.0
HCQOMLLS,2025-04-01 02:30:13.484,32.0
LX3YP3LA,2025-04-01 02:30:13.517,54.0
UVTYCGTV,2025-04-01 02:30:13.517,54.0
IT9GHS4R,2025-04-01 02:30:13.520,31.0
G728YC3Q,2025-04-01 02:30:13.534,56.0
W2ENYV2S,2025-04-01 02:30:13.534,56.0
9ZCD44KM,2025-04-01 02:30:13.540,31.0
AFSFIOP1,2025-04-01 02:30:13.552,31.0
EEE67OMM,2025-04-01 02:30:13.561,32.0
EURK1K7N,2025-04-01 02:30:13.573,33.0
XPOSNVC7,2025-04-01 02:30:13.584,32.0
XIUKVOGH,2025-04-01 02:30:13.591,33.0
UQT6OU63,2025-04-01 02:30:13.594,32.0
ATE6093P,2025-04-01 02:30:13.607,32.0
W86CMDVD,2025-04-01 02:30:13.617,33.0
