id,enter_time_str,latency
LX8GUUSQ,2025-04-01 03:18:51.439,81.0
C2V5TBAR,2025-04-01 03:18:51.449,80.0
25KOZ319,2025-04-01 03:18:51.522,27.0
9WA8JRCD,2025-04-01 03:18:51.522,27.0
O36MBDBD,2025-04-01 03:18:51.522,27.0
ZPM0D1AQ,2025-04-01 03:18:51.522,27.0
GT0TPMQR,2025-04-01 03:18:51.522,27.0
61TLGU6P,2025-04-01 03:18:51.522,27.0
6YK93ORA,2025-04-01 03:18:51.530,22.0
5SZCDTSM,2025-04-01 03:18:51.530,22.0
3BA9F1OV,2025-04-01 03:18:51.530,22.0
FC4GS09E,2025-04-01 03:18:51.530,22.0
O9WFZB41,2025-04-01 03:18:51.530,22.0
JMNVMMN7,2025-04-01 03:18:51.550,19.0
BW44CX9G,2025-04-01 03:18:51.550,19.0
MZ8HJ02H,2025-04-01 03:18:51.550,19.0
LOR3B9AX,2025-04-01 03:18:51.553,19.0
73BOZEV9,2025-04-01 03:18:51.553,19.0
GQWRUTIJ,2025-04-01 03:18:51.553,19.0
D8V2ZD53,2025-04-01 03:18:51.553,19.0
9L1Z431J,2025-04-01 03:18:51.571,15.0
6H12T22L,2025-04-01 03:18:51.571,15.0
OSMJ43DE,2025-04-01 03:18:51.573,17.0
NFCAMK33,2025-04-01 03:18:51.573,17.0
9UZ99VOE,2025-04-01 03:18:51.573,17.0
JAHOEM4X,2025-04-01 03:18:51.573,17.0
1XHTO5Y3,2025-04-01 03:18:51.587,19.0
93BQ865S,2025-04-01 03:18:51.590,13.0
7SMRCIVB,2025-04-01 03:18:51.607,14.0
82FEN0XA,2025-04-01 03:18:51.609,15.0
HWFE6LQ2,2025-04-01 03:18:51.609,15.0
ZO9WUL7C,2025-04-01 03:18:51.609,15.0
6YPVDMXX,2025-04-01 03:18:51.622,20.0
34V8MN4T,2025-04-01 03:18:51.622,20.0
G1RJ2ZIO,2025-04-01 03:18:51.622,20.0
IIACNTO7,2025-04-01 03:18:51.622,20.0
RKQYCXFY,2025-04-01 03:18:51.622,20.0
R5SBEHJB,2025-04-01 03:18:51.663,19.0
IIKKYUJR,2025-04-01 03:18:51.673,21.0
RVFPPQ8E,2025-04-01 03:18:51.683,12.0
6YTZIVOX,2025-04-01 03:18:51.683,12.0
H6KVI89W,2025-04-01 03:18:51.683,12.0
HQLLY335,2025-04-01 03:18:51.695,39.0
8ASX8CV6,2025-04-01 03:18:51.695,39.0
9D7D4V2F,2025-04-01 03:18:51.695,39.0
922JV16R,2025-04-01 03:18:51.695,39.0
CY2WBR9Z,2025-04-01 03:18:51.695,39.0
GO8TOZH7,2025-04-01 03:18:51.695,39.0
