id,enter_time_str,latency
LX8GUUSQ,2025-04-01 03:18:51.446,261.0
25KOZ319,2025-04-01 03:18:51.451,268.0
C2V5TBAR,2025-04-01 03:18:51.458,268.0
5SZCDTSM,2025-04-01 03:18:51.478,276.0
ZPM0D1AQ,2025-04-01 03:18:51.513,272.0
6YK93ORA,2025-04-01 03:18:51.710,368.0
FC4GS09E,2025-04-01 03:18:51.710,368.0
61TLGU6P,2025-04-01 03:18:51.710,368.0
9UZ99VOE,2025-04-01 03:18:51.710,368.0
82FEN0XA,2025-04-01 03:18:51.710,368.0
RKQYCXFY,2025-04-01 03:18:51.710,368.0
RVFPPQ8E,2025-04-01 03:18:51.710,368.0
8ASX8CV6,2025-04-01 03:18:51.710,368.0
VFGLICCX,2025-04-01 03:18:51.710,368.0
2AH3M0UQ,2025-04-01 03:18:51.710,368.0
N3IPZ8LT,2025-04-01 03:18:51.710,368.0
3BA9F1OV,2025-04-01 03:18:51.722,362.0
JMNVMMN7,2025-04-01 03:18:51.722,362.0
GQWRUTIJ,2025-04-01 03:18:51.722,362.0
LOR3B9AX,2025-04-01 03:18:51.722,362.0
BW44CX9G,2025-04-01 03:18:51.722,362.0
JAHOEM4X,2025-04-01 03:18:51.722,362.0
IIACNTO7,2025-04-01 03:18:51.722,362.0
JP0TG6YG,2025-04-01 03:18:51.722,362.0
GV8J8G16,2025-04-01 03:18:51.722,362.0
VEGUXXWQ,2025-04-01 03:18:51.722,362.0
9D7D4V2F,2025-04-01 03:18:51.722,362.0
G6K9GCS1,2025-04-01 03:18:51.722,362.0
GT0TPMQR,2025-04-01 03:18:51.730,329.0
O9WFZB41,2025-04-01 03:18:51.730,329.0
MZ8HJ02H,2025-04-01 03:18:51.730,329.0
6H12T22L,2025-04-01 03:18:51.730,329.0
93BQ865S,2025-04-01 03:18:51.730,329.0
G1RJ2ZIO,2025-04-01 03:18:51.730,329.0
H6KVI89W,2025-04-01 03:18:51.730,329.0
TGR8VKZR,2025-04-01 03:18:51.730,329.0
