id,enter_time_str,latency
LX8GUUSQ,2025-04-01 03:18:51.727,127.0
25KOZ319,2025-04-01 03:18:51.736,126.0
C2V5TBAR,2025-04-01 03:18:51.855,10.0
5SZCDTSM,2025-04-01 03:18:51.863,15.0
ZPM0D1AQ,2025-04-01 03:18:51.863,15.0
9WA8JRCD,2025-04-01 03:18:52.075,9.0
OSMJ43DE,2025-04-01 03:18:52.078,17.0
O36MBDBD,2025-04-01 03:18:52.078,17.0
O9WFZB41,2025-04-01 03:18:52.084,8.0
GT0TPMQR,2025-04-01 03:18:52.107,8.0
MZ8HJ02H,2025-04-01 03:18:52.116,89.0
6H12T22L,2025-04-01 03:18:52.116,89.0
93BQ865S,2025-04-01 03:18:52.116,89.0
CWKAHENN,2025-04-01 03:18:52.116,89.0
TGR8VKZR,2025-04-01 03:18:52.116,89.0
6YK93ORA,2025-04-01 03:18:52.116,89.0
3BA9F1OV,2025-04-01 03:18:52.116,89.0
RVFPPQ8E,2025-04-01 03:18:52.116,89.0
N3IPZ8LT,2025-04-01 03:18:52.116,89.0
GQWRUTIJ,2025-04-01 03:18:52.116,89.0
LOR3B9AX,2025-04-01 03:18:52.116,89.0
2AH3M0UQ,2025-04-01 03:18:52.116,89.0
JAHOEM4X,2025-04-01 03:18:52.116,89.0
G6K9GCS1,2025-04-01 03:18:52.116,89.0
GV8J8G16,2025-04-01 03:18:52.116,89.0
1XHTO5Y3,2025-04-01 03:18:52.125,10.0
6YPVDMXX,2025-04-01 03:18:52.136,96.0
7SMRCIVB,2025-04-01 03:18:52.136,96.0
G1RJ2ZIO,2025-04-01 03:18:52.136,96.0
HWFE6LQ2,2025-04-01 03:18:52.136,96.0
HWMGJA0A,2025-04-01 03:18:52.136,96.0
34V8MN4T,2025-04-01 03:18:52.136,96.0
HQLLY335,2025-04-01 03:18:52.136,96.0
E028WTZ5,2025-04-01 03:18:52.136,96.0
H6KVI89W,2025-04-01 03:18:52.136,96.0
0SND1HC7,2025-04-01 03:18:52.136,96.0
X5KKNGH4,2025-04-01 03:18:52.136,96.0
61TLGU6P,2025-04-01 03:18:52.136,96.0
FC4GS09E,2025-04-01 03:18:52.136,96.0
9UZ99VOE,2025-04-01 03:18:52.136,96.0
8ASX8CV6,2025-04-01 03:18:52.136,96.0
BW44CX9G,2025-04-01 03:18:52.136,96.0
IIACNTO7,2025-04-01 03:18:52.136,96.0
82FEN0XA,2025-04-01 03:18:52.136,96.0
RKQYCXFY,2025-04-01 03:18:52.136,96.0
JMNVMMN7,2025-04-01 03:18:52.136,96.0
VFGLICCX,2025-04-01 03:18:52.136,96.0
JP0TG6YG,2025-04-01 03:18:52.136,96.0
VEGUXXWQ,2025-04-01 03:18:52.136,96.0
9D7D4V2F,2025-04-01 03:18:52.207,48.0
D8V2ZD53,2025-04-01 03:18:52.207,48.0
NFCAMK33,2025-04-01 03:18:52.207,48.0
9L1Z431J,2025-04-01 03:18:52.207,48.0
ZO9WUL7C,2025-04-01 03:18:52.207,48.0
6YTZIVOX,2025-04-01 03:18:52.207,48.0
HNAA0YSV,2025-04-01 03:18:52.207,48.0
73BOZEV9,2025-04-01 03:18:52.233,42.0
IIKKYUJR,2025-04-01 03:18:52.233,42.0
R5SBEHJB,2025-04-01 03:18:52.233,42.0
GO8TOZH7,2025-04-01 03:18:52.233,42.0
030KCD96,2025-04-01 03:18:52.233,42.0
28XCTLF8,2025-04-01 03:18:52.233,42.0
BQZ5IEHM,2025-04-01 03:18:52.233,42.0
T1FOSNX2,2025-04-01 03:18:52.255,12.0
LGAMZL0M,2025-04-01 03:18:52.443,13.0
1O2JYQVH,2025-04-01 03:18:52.451,10.0
HQVFHG8V,2025-04-01 03:18:52.457,26.0
G6GZIBMP,2025-04-01 03:18:52.457,26.0
AULF2QML,2025-04-01 03:18:52.457,26.0
BIUMWW5O,2025-04-01 03:18:52.457,26.0
TBW3R8BQ,2025-04-01 03:18:52.457,26.0
77N856MM,2025-04-01 03:18:52.461,27.0
7M113UWT,2025-04-01 03:18:52.461,27.0
QPIYOBNP,2025-04-01 03:18:52.461,27.0
Y9DASILA,2025-04-01 03:18:52.461,27.0
IJ6XEDZD,2025-04-01 03:18:52.484,69.0
OXK0JZRQ,2025-04-01 03:18:52.484,69.0
40MBKE22,2025-04-01 03:18:52.484,69.0
5HVFTKK4,2025-04-01 03:18:52.484,69.0
6DU9DVGJ,2025-04-01 03:18:52.484,69.0
6XFHE9N4,2025-04-01 03:18:52.484,69.0
KV8CJRFK,2025-04-01 03:18:52.484,69.0
YWNX840H,2025-04-01 03:18:52.484,69.0
JD3PAW8E,2025-04-01 03:18:52.484,69.0
