id,enter_time_str,latency
SKXKS0S2,2025-04-13 20:39:25.567,79.0
9A9BRGBG,2025-04-13 20:39:25.647,107.0
5M91QXSR,2025-04-13 20:39:25.647,107.0
SG8GN9MW,2025-04-13 20:39:25.647,107.0
13F83UD3,2025-04-13 20:39:25.755,192.0
DGZYR059,2025-04-13 20:39:25.755,192.0
G1V6CFC7,2025-04-13 20:39:25.755,192.0
9CFP2KM1,2025-04-13 20:39:25.755,192.0
BXXQ6FYQ,2025-04-13 20:39:25.755,192.0
96P7FM78,2025-04-13 20:39:25.755,192.0
6118JES4,2025-04-13 20:39:25.949,124.0
KNHPQ4SE,2025-04-13 20:39:25.949,124.0
UE5WDJC5,2025-04-13 20:39:25.949,124.0
6TFBE27I,2025-04-13 20:39:25.949,124.0
90HD5QL7,2025-04-13 20:39:25.949,124.0
59HC8123,2025-04-13 20:39:25.949,124.0
078P7WFQ,2025-04-13 20:39:25.949,124.0
KE36RYGF,2025-04-13 20:39:26.074,114.0
EVSDJBLK,2025-04-13 20:39:26.074,114.0
S4VTRT5R,2025-04-13 20:39:26.074,114.0
XO0HCZHM,2025-04-13 20:39:26.074,114.0
5QX3AORP,2025-04-13 20:39:26.074,114.0
N649ORC8,2025-04-13 20:39:26.074,114.0
69N9V7JE,2025-04-13 20:39:26.190,95.0
52FCOHWL,2025-04-13 20:39:26.190,95.0
64NHTM4G,2025-04-13 20:39:26.190,95.0
U4PC0PYD,2025-04-13 20:39:26.190,95.0
OBSJ6LHN,2025-04-13 20:39:26.285,75.0
UZRP4057,2025-04-13 20:39:27.645,73.0
JPMZM6Y4,2025-04-13 20:39:27.719,92.0
S86ZKJPO,2025-04-13 20:39:27.719,92.0
O6KIVMMX,2025-04-13 20:39:27.719,92.0
5DOZX7XY,2025-04-13 20:39:27.812,82.0
3BX8F36X,2025-04-13 20:39:27.812,82.0
NC9G9J75,2025-04-13 20:39:27.895,74.0
W38K78CU,2025-04-13 20:39:27.971,91.0
C264229D,2025-04-13 20:39:27.971,91.0
1BX104BT,2025-04-13 20:39:28.063,102.0
W23QFPX1,2025-04-13 20:39:28.063,102.0
MBPXDZWY,2025-04-13 20:39:28.063,102.0
D4DKRDFY,2025-04-13 20:39:28.063,102.0
PLF0HTL3,2025-04-13 20:39:28.063,102.0
6KO87R6S,2025-04-13 20:39:28.166,94.0
K7ZOH1ZW,2025-04-13 20:39:28.166,94.0
S0TJSJCV,2025-04-13 20:39:28.166,94.0
