id,enter_time_str,latency
P5FDHSKT,2025-04-12 18:34:46.900,278.0
BARJ4L5T,2025-04-12 18:34:47.021,303.0
XG31WWUU,2025-04-12 18:34:47.021,409.0
PHZEVYDL,2025-04-12 18:34:47.088,573.0
ZX1UZILK,2025-04-12 18:34:47.168,349.0
GNFKIQVH,2025-04-12 18:34:47.236,378.0
DHXAM716,2025-04-12 18:34:47.309,825.0
JX496KB0,2025-04-12 18:34:47.375,487.0
6WAOJVU6,2025-04-12 18:34:47.447,687.0
6B2F7E2S,2025-04-12 18:34:47.510,615.0
SOVMK00E,2025-04-12 18:34:47.604,338.0
9I0MP3YK,2025-04-12 18:34:47.664,538.0
FHF7FVQZ,2025-04-12 18:34:47.725,1035.0
V48MG02J,2025-04-12 18:34:47.801,958.0
VYLRLYOZ,2025-04-12 18:34:47.891,669.0
6PPIMNPK,2025-04-12 18:34:47.940,560.0
U4QA3NHB,2025-04-12 18:34:48.018,742.0
G9R9LNTT,2025-04-12 18:34:48.093,370.0
7QR4T66C,2025-04-12 18:34:48.161,669.0
WMJ60CQ6,2025-04-12 18:34:48.232,883.0
70350P6P,2025-04-12 18:34:48.313,785.0
ZJSI0HK1,2025-04-12 18:34:48.381,734.0
V564656Z,2025-04-12 18:34:48.452,1376.0
L92SNE43,2025-04-12 18:34:48.516,1312.0
UQ5GN836,2025-04-12 18:34:48.596,662.0
6I39SSMP,2025-04-12 18:34:48.677,843.0
87OJA7IJ,2025-04-12 18:34:49.743,596.0
KKMYH2KQ,2025-04-12 18:34:49.744,295.0
V5XD4P31,2025-04-12 18:34:49.803,324.0
Q4GELWE4,2025-04-12 18:34:49.877,428.0
5JHRTI2A,2025-04-12 18:34:49.955,696.0
H1ON0SXT,2025-04-12 18:34:50.022,1196.0
6KKOQE9G,2025-04-12 18:34:50.086,565.0
IL0AMWT2,2025-04-12 18:34:50.168,1050.0
ZGH632VZ,2025-04-12 18:34:50.254,964.0
34P5X3LN,2025-04-12 18:34:50.319,345.0
V8H9FLJ4,2025-04-12 18:34:50.378,722.0
DWSX436V,2025-04-12 18:34:50.441,575.0
CZ3BSGF7,2025-04-12 18:34:50.519,1094.0
3O4RFRVF,2025-04-12 18:34:50.585,515.0
V04TY48P,2025-04-12 18:34:50.664,294.0
J9E6WFMY,2025-04-12 18:34:50.736,550.0
B725IVDM,2025-04-12 18:34:50.802,1140.0
D29Y9FSJ,2025-04-12 18:34:50.868,1074.0
LX7KVWRX,2025-04-12 18:34:50.954,988.0
640F6FBQ,2025-04-12 18:34:51.026,917.0
87APUJ1I,2025-04-12 18:34:51.096,637.0
UTZY2SEB,2025-04-12 18:34:51.175,331.0
0I2VH87R,2025-04-12 18:34:51.239,494.0
674BX459,2025-04-12 18:34:51.316,1203.0
HVMWK0O8,2025-04-12 18:34:51.378,1102.0
E0GUCWQW,2025-04-12 18:34:51.448,1071.0
WSYC8FJM,2025-04-12 18:34:51.517,349.0
1D5IIAQ6,2025-04-12 18:34:51.601,333.0
TJVP93TX,2025-04-12 18:34:51.664,855.0
OGCTNDX9,2025-04-12 18:34:51.751,730.0
ZUJUN0QK,2025-04-12 18:34:51.814,845.0
C052ODC1,2025-04-12 18:34:51.888,772.0
YU0CYDCM,2025-04-12 18:34:51.972,319.0
C1AVBH01,2025-04-12 18:34:52.025,1347.0
SB78ED73,2025-04-12 18:34:52.089,833.0
KS14266G,2025-04-12 18:34:52.163,760.0
KR1DP925,2025-04-12 18:34:52.240,715.0
0VTKL6WJ,2025-04-12 18:34:52.316,270.0
5JSJZ6X3,2025-04-12 18:34:52.378,578.0
QIDI6YLD,2025-04-12 18:34:52.455,917.0
1STPOQK8,2025-04-12 18:34:52.524,849.0
CK5G8VTY,2025-04-12 18:34:52.619,377.0
7HRQ1ENX,2025-04-12 18:34:52.661,1351.0
G8CY7RF7,2025-04-12 18:34:52.732,901.0
74Z9D601,2025-04-12 18:34:52.831,803.0
5WRNULU8,2025-04-12 18:34:52.874,760.0
Q11RZSMP,2025-04-12 18:34:52.961,474.0
B7AO28VN,2025-04-12 18:34:53.035,1632.0
IDFGY2NE,2025-04-12 18:34:53.098,914.0
ZNHXOJ59,2025-04-12 18:34:53.177,409.0
4T5Q2X2W,2025-04-12 18:34:53.227,493.0
C6IUJ23W,2025-04-12 18:34:53.301,712.0
XQ8SJ6ET,2025-04-12 18:34:53.374,663.0
JE5DI4CW,2025-04-12 18:34:53.451,1217.0
TKA1ZFOJ,2025-04-12 18:34:53.527,1629.0
JDZCLYG7,2025-04-12 18:34:53.610,747.0
PCXNYEKD,2025-04-12 18:34:53.664,2090.0
XP0V2S1W,2025-04-12 18:34:53.755,1999.0
7VSMBFEO,2025-04-12 18:34:53.811,1345.0
J2SCG85B,2025-04-12 18:34:53.878,1279.0
IA9PWSX6,2025-04-12 18:34:53.958,1796.0
EDB3YZ0I,2025-04-12 18:34:54.047,2088.0
SPQ02504,2025-04-12 18:34:54.099,1656.0
85TNSI9V,2025-04-12 18:34:54.166,509.0
71OWZRG4,2025-04-12 18:34:54.252,1883.0
DD6QV81N,2025-04-12 18:34:54.327,660.0
VDEWRTEG,2025-04-12 18:34:54.377,1759.0
CL7P6ENM,2025-04-12 18:34:54.447,247.0
ESY900Y5,2025-04-12 18:34:54.523,663.0
OJYR30C9,2025-04-12 18:34:54.607,579.0
SBJ8HZ8P,2025-04-12 18:34:54.665,1471.0
ENYJU12R,2025-04-12 18:34:54.739,1995.0
S85XM4E3,2025-04-12 18:34:54.812,1922.0
SS5LGW4A,2025-04-12 18:34:54.886,1034.0
XU1PBGAF,2025-04-12 18:34:54.952,969.0
N0GB6SCH,2025-04-12 18:34:55.023,1523.0
O5PZ89CA,2025-04-12 18:34:55.112,294.0
56XTM0OF,2025-04-12 18:34:55.166,1960.0
H5DRT74Z,2025-04-12 18:34:55.242,1885.0
M2E8R8FO,2025-04-12 18:34:55.333,402.0
BBCBZP12,2025-04-12 18:34:55.393,1341.0
YCU3MAWV,2025-04-12 18:34:55.463,1664.0
7F09V1H8,2025-04-12 18:34:55.522,1213.0
M2Z5AVCP,2025-04-12 18:34:55.601,418.0
NEJRG1Y4,2025-04-12 18:34:55.665,1463.0
2EED1GHU,2025-04-12 18:34:55.748,1017.0
RYS15N1R,2025-04-12 18:34:55.805,960.0
812CI87N,2025-04-12 18:34:55.884,1697.0
M1VELBXS,2025-04-12 18:34:55.951,815.0
GW25UB5E,2025-04-12 18:34:56.033,1867.0
J0F0RNE8,2025-04-12 18:34:56.100,1801.0
RJ0IDC9Y,2025-04-12 18:34:56.168,1589.0
DFW37YGV,2025-04-12 18:34:56.243,1515.0
LSAHFYY4,2025-04-12 18:34:56.327,1574.0
WRIR1EM7,2025-04-12 18:34:56.391,1190.0
N1FG8OG1,2025-04-12 18:34:56.462,1296.0
FNNL7N7P,2025-04-12 18:34:56.532,1227.0
I33V5PD4,2025-04-12 18:34:56.602,980.0
25OX4IL2,2025-04-12 18:34:56.676,1225.0
ELQS4B5C,2025-04-12 18:34:56.750,1645.0
5LHIKB6P,2025-04-12 18:34:56.818,1170.0
I6WG3XIS,2025-04-12 18:34:56.895,466.0
FO316FZY,2025-04-12 18:34:56.958,655.0
1H4BPZAG,2025-04-12 18:34:57.023,1372.0
CZXDI3Y5,2025-04-12 18:34:57.097,1298.0
YLUGMVUS,2025-04-12 18:34:57.167,1230.0
U4QMSMS2,2025-04-12 18:34:57.280,1306.0
2X6VPQVI,2025-04-12 18:34:57.318,1963.0
EL3LR4EQ,2025-04-12 18:34:57.386,1200.0
WBF8CZM7,2025-04-12 18:34:57.471,1114.0
V3O8TBDP,2025-04-12 18:34:57.521,1065.0
PY0Z9J66,2025-04-12 18:34:57.608,1673.0
A7KAFOA8,2025-04-12 18:34:57.673,1487.0
QU5TBWGX,2025-04-12 18:34:57.743,1416.0
KO8EC3AF,2025-04-12 18:34:57.830,1451.0
P7L8XT17,2025-04-12 18:34:57.886,483.0
H4DPU1ZX,2025-04-12 18:34:57.951,266.0
B8H3QWP4,2025-04-12 18:34:58.020,1262.0
8TYXJK41,2025-04-12 18:34:58.097,1039.0
FS2DVW1C,2025-04-12 18:34:58.182,954.0
MQKFY1IP,2025-04-12 18:34:58.237,900.0
HW1RKVDG,2025-04-12 18:34:58.322,459.0
97M49YDE,2025-04-12 18:34:58.396,1591.0
