id,enter_time_str,latency
P5FDHSKT,2025-04-12 18:34:46.933,243.0
BARJ4L5T,2025-04-12 18:34:47.045,278.0
XG31WWUU,2025-04-12 18:34:47.090,338.0
ZX1UZILK,2025-04-12 18:34:47.214,301.0
GNFKIQVH,2025-04-12 18:34:47.323,289.0
PHZEVYDL,2025-04-12 18:34:47.429,231.0
JX496KB0,2025-04-12 18:34:47.516,344.0
DHXAM716,2025-04-12 18:34:47.613,518.0
6WAOJVU6,2025-04-12 18:34:47.613,518.0
SOVMK00E,2025-04-12 18:34:47.644,296.0
6B2F7E2S,2025-04-12 18:34:47.861,261.0
9I0MP3YK,2025-04-12 18:34:47.941,259.0
VYLRLYOZ,2025-04-12 18:34:48.123,435.0
V48MG02J,2025-04-12 18:34:48.133,624.0
FHF7FVQZ,2025-04-12 18:34:48.133,624.0
U4QA3NHB,2025-04-12 18:34:48.133,624.0
G9R9LNTT,2025-04-12 18:34:48.140,321.0
6PPIMNPK,2025-04-12 18:34:48.200,298.0
WMJ60CQ6,2025-04-12 18:34:48.462,651.0
ZJSI0HK1,2025-04-12 18:34:48.462,651.0
70350P6P,2025-04-12 18:34:48.499,598.0
7QR4T66C,2025-04-12 18:34:48.558,271.0
UQ5GN836,2025-04-12 18:34:48.758,497.0
V564656Z,2025-04-12 18:34:49.114,712.0
L92SNE43,2025-04-12 18:34:49.114,712.0
6I39SSMP,2025-04-12 18:34:49.257,261.0
KKMYH2KQ,2025-04-12 18:34:49.771,267.0
V5XD4P31,2025-04-12 18:34:49.827,298.0
Q4GELWE4,2025-04-12 18:34:49.900,403.0
87OJA7IJ,2025-04-12 18:34:50.039,297.0
5JHRTI2A,2025-04-12 18:34:50.126,522.0
6KKOQE9G,2025-04-12 18:34:50.126,522.0
H1ON0SXT,2025-04-12 18:34:50.338,877.0
IL0AMWT2,2025-04-12 18:34:50.338,877.0
ZGH632VZ,2025-04-12 18:34:50.338,877.0
34P5X3LN,2025-04-12 18:34:50.381,281.0
DWSX436V,2025-04-12 18:34:50.649,365.0
V8H9FLJ4,2025-04-12 18:34:50.663,434.0
