#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.941            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.630            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.630            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.864            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.864            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     12                1                 0.000        0.000        0.000        0.000        0.000        42.805            
GPU 0     13                2                 0.035        0.019        0.003        0.000        0.003        42.815            
GPU 0     13                1                 0.127        0.071        0.009        0.000        0.012        39.539            
GPU 0     13                2                 0.127        0.071        0.009        0.000        0.012        38.646            
GPU 0     13                2                 0.127        0.072        0.010        0.000        0.012        41.422            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        39.246            
GPU 0     13                2                 0.127        0.071        0.009        0.000        0.012        43.414            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        40.725            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        40.834            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        39.636            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        39.246            
GPU 0     13                2                 0.127        0.071        0.009        0.000        0.012        42.424            
GPU 0     13                2                 0.128        0.072        0.010        0.000        0.012        40.737            
GPU 0     13                1                 0.127        0.071        0.009        0.000        0.012        43.414            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        38.940            
GPU 0     13                2                 0.127        0.072        0.009        0.000        0.012        42.317            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        40.138            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        41.922            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        41.129            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        39.442            
GPU 0     13                1                 0.127        0.071        0.009        0.000        0.012        39.038            
GPU 0     12                1                 0.127        0.072        0.009        0.000        0.012        43.218            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     13                2                 0.127        0.071        0.009        0.000        0.012        41.128            
GPU 0     13                2                 0.127        0.072        0.010        0.000        0.012        40.040            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        38.842            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        41.923            
GPU 0     12                1                 0.128        0.072        0.010        0.000        0.012        40.737            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        39.038            
GPU 0     13                2                 0.127        0.072        0.010        0.000        0.012        40.932            
GPU 0     13                1                 0.127        0.072        0.010        0.000        0.012        39.844            
GPU 0     13                1                 0.127        0.072        0.010        0.000        0.012        42.708            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        41.324            
GPU 0     14                2                 0.127        0.072        0.010        0.000        0.012        39.344            
GPU 0     12                1                 0.127        0.071        0.009        0.000        0.012        39.234            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        39.234            
GPU 0     14                2                 0.127        0.071        0.009        0.000        0.012        39.136            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     13                2                 0.127        0.071        0.009        0.000        0.012        39.747            
GPU 0     12                1                 0.127        0.072        0.010        0.000        0.012        41.422            
GPU 0     14                2                 0.127        0.072        0.010        0.000        0.012        39.148            
GPU 0     13                2                 0.127        0.071        0.009        0.000        0.012        38.744            
