#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.605            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.751            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     96                16                0.742        0.709        0.281        0.001        0.092        163.441           
GPU 0     66                8                 0.903        0.833        0.267        0.001        0.100        169.622           
GPU 0     88                12                0.889        0.826        0.262        0.001        0.102        171.690           
GPU 0     93                14                0.889        0.826        0.262        0.001        0.102        160.184           
GPU 0     93                13                0.894        0.831        0.280        0.001        0.102        168.447           
GPU 0     93                12                0.915        0.843        0.273        0.001        0.102        174.862           
GPU 0     95                13                0.895        0.839        0.291        0.001        0.106        166.540           
GPU 0     97                15                0.906        0.848        0.298        0.001        0.110        127.966           
GPU 0     93                16                0.870        0.813        0.282        0.001        0.101        167.259           
GPU 0     90                12                0.867        0.810        0.268        0.001        0.102        123.629           
GPU 0     95                14                0.883        0.814        0.265        0.001        0.103        168.737           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     94                13                0.903        0.834        0.272        0.001        0.100        161.116           
GPU 0     95                13                0.919        0.862        0.289        0.001        0.110        171.387           
GPU 0     44                5                 0.914        0.840        0.265        0.001        0.100        181.525           
GPU 0     94                16                0.869        0.796        0.263        0.001        0.098        167.614           
GPU 0     96                14                0.824        0.753        0.249        0.001        0.093        79.287            
GPU 0     88                11                0.886        0.832        0.288        0.001        0.108        159.703           
GPU 0     93                13                0.881        0.827        0.291        0.001        0.106        163.486           
GPU 0     95                13                0.875        0.807        0.265        0.001        0.097        178.479           
GPU 0     94                15                0.923        0.857        0.287        0.001        0.104        131.288           
GPU 0     97                15                0.900        0.845        0.289        0.001        0.107        160.280           
GPU 0     69                9                 0.930        0.882        0.314        0.001        0.113        172.217           
GPU 0     94                16                0.890        0.820        0.264        0.001        0.101        171.817           
GPU 0     0                 0                 0.864        0.799        0.254        0.001        0.099        37.427            
GPU 0     0                 0                 0.118        0.105        0.031        0.000        0.010        37.023            
