#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.604            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.474            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.050            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.368            
GPU 0     45                6                 0.520        0.492        0.172        0.000        0.063        168.636           
GPU 0     91                15                0.931        0.884        0.315        0.001        0.115        164.758           
GPU 0     92                13                0.931        0.884        0.315        0.001        0.115        169.607           
GPU 0     96                17                0.926        0.869        0.299        0.001        0.110        169.909           
GPU 0     94                14                0.912        0.863        0.301        0.001        0.112        172.079           
GPU 0     94                13                0.881        0.818        0.270        0.001        0.098        161.868           
GPU 0     93                13                0.916        0.860        0.303        0.001        0.107        168.394           
GPU 0     94                13                0.858        0.781        0.246        0.001        0.094        140.807           
GPU 0     95                12                0.887        0.820        0.262        0.001        0.101        142.252           
GPU 0     95                14                0.885        0.816        0.273        0.001        0.099        175.264           
GPU 0     96                16                0.846        0.773        0.235        0.001        0.092        161.578           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     29                4                 0.881        0.825        0.289        0.001        0.106        145.664           
GPU 0     0                 0                 0.852        0.781        0.246        0.001        0.096        36.326            
GPU 0     0                 0                 0.087        0.084        0.028        0.000        0.009        35.936            
