#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.533            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.923            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.825            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.765            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.657            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.657            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.570            
GPU 0     83                11                0.512        0.472        0.158        0.000        0.052        156.301           
GPU 0     91                13                0.512        0.472        0.158        0.000        0.052        168.544           
GPU 0     72                9                 0.755        0.670        0.190        0.000        0.076        174.349           
GPU 0     79                10                0.770        0.682        0.191        0.000        0.078        134.562           
GPU 0     65                8                 0.748        0.659        0.180        0.000        0.075        69.294            
GPU 0     60                8                 0.815        0.725        0.210        0.001        0.083        115.189           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     94                15                0.827        0.730        0.202        0.001        0.084        68.599            
GPU 0     91                12                0.702        0.623        0.181        0.000        0.072        140.987           
GPU 0     32                4                 0.721        0.633        0.168        0.000        0.073        182.948           
GPU 0     43                5                 0.745        0.656        0.181        0.000        0.076        118.008           
GPU 0     75                9                 0.659        0.582        0.161        0.000        0.066        157.864           
GPU 0     88                12                0.752        0.658        0.174        0.000        0.075        173.590           
GPU 0     82                10                0.767        0.679        0.187        0.000        0.078        165.042           
GPU 0     78                10                0.687        0.606        0.162        0.000        0.070        179.773           
GPU 0     56                7                 0.765        0.671        0.184        0.000        0.076        158.002           
GPU 0     0                 0                 0.683        0.599        0.162        0.000        0.068        39.942            
GPU 0     0                 0                 0.039        0.035        0.011        0.000        0.003        39.539            
