#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        26.140            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.522            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.418            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.424            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.466            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        34.466            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.466            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.466            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.466            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.466            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.458            
GPU 0     92                20                0.000        0.000        0.000        0.000        0.000        171.291           
GPU 0     97                17                0.185        0.180        0.078        0.000        0.021        161.370           
GPU 0     100               22                0.963        0.942        0.434        0.001        0.140        161.920           
GPU 0     95                18                0.964        0.947        0.402        0.001        0.161        159.941           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     96                19                0.963        0.941        0.413        0.001        0.152        165.298           
GPU 0     90                19                0.964        0.945        0.424        0.001        0.149        169.189           
GPU 0     95                18                0.947        0.929        0.406        0.001        0.154        165.976           
GPU 0     100               22                0.967        0.943        0.416        0.001        0.153        91.161            
GPU 0     92                18                0.962        0.939        0.416        0.001        0.150        166.542           
GPU 0     93                15                0.955        0.934        0.418        0.001        0.147        169.466           
GPU 0     92                20                0.953        0.927        0.411        0.001        0.140        170.310           
GPU 0     10                2                 0.958        0.937        0.398        0.001        0.160        65.880            
GPU 0     0                 0                 0.837        0.823        0.347        0.001        0.143        36.132            
