#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        33.172            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.815            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.922            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.825            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        179.419           
GPU 0     72                42                0.183        0.157        0.073        0.031        0.064        84.695            
GPU 0     38                24                0.397        0.362        0.180        0.069        0.182        83.502            
GPU 0     32                19                0.377        0.341        0.170        0.067        0.173        153.903           
GPU 0     11                1                 0.394        0.361        0.183        0.073        0.187        72.683            
GPU 0     44                12                0.378        0.347        0.177        0.071        0.182        73.170            
GPU 0     98                73                0.361        0.328        0.163        0.063        0.165        157.054           
GPU 0     52                35                0.385        0.352        0.177        0.070        0.180        84.720            
GPU 0     17                1                 0.372        0.338        0.170        0.067        0.173        71.029            
GPU 0     74                36                0.365        0.326        0.163        0.064        0.165        83.572            
GPU 0     58                39                0.344        0.309        0.152        0.059        0.153        135.732           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               73                0.396        0.361        0.183        0.072        0.186        156.363           
GPU 0     45                28                0.372        0.338        0.169        0.067        0.172        136.093           
GPU 0     13                5                 0.362        0.327        0.164        0.064        0.166        185.151           
GPU 0     47                31                0.379        0.345        0.175        0.069        0.178        199.719           
GPU 0     0                 0                 0.357        0.323        0.161        0.063        0.164        72.268            
GPU 0     75                41                0.341        0.307        0.153        0.061        0.155        76.333            
GPU 0     98                70                0.369        0.331        0.164        0.063        0.164        82.232            
GPU 0     10                4                 0.347        0.311        0.154        0.059        0.155        180.493           
GPU 0     78                46                0.384        0.349        0.176        0.069        0.177        84.599            
GPU 0     0                 0                 0.347        0.312        0.153        0.060        0.155        72.703            
GPU 0     27                2                 0.354        0.323        0.163        0.066        0.167        72.878            
GPU 0     0                 0                 0.388        0.354        0.179        0.070        0.183        154.999           
GPU 0     15                1                 0.362        0.327        0.165        0.067        0.169        73.087            
GPU 0     65                33                0.381        0.346        0.173        0.067        0.174        84.695            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.379        0.346        0.174        0.069        0.177        155.128           
GPU 0     8                 1                 0.376        0.334        0.165        0.065        0.167        73.387            
GPU 0     1                 0                 0.351        0.321        0.162        0.065        0.165        73.262            
GPU 0     73                41                0.379        0.344        0.173        0.068        0.176        73.072            
GPU 0     30                5                 0.375        0.341        0.171        0.067        0.173        74.158            
GPU 0     0                 0                 0.367        0.333        0.167        0.066        0.171        158.084           
GPU 0     0                 0                 0.459        0.430        0.223        0.089        0.229        41.514            
GPU 0     0                 0                 0.168        0.156        0.080        0.032        0.075        41.112            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.806            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.608            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.396            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.206            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.010            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.814            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.814            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.619            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.521            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.010            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.902            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.804            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.814            
