#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.174            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.924            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.924            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.924            
GPU 0     14                1                 0.000        0.000        0.000        0.000        0.000        69.135            
GPU 0     100               78                0.254        0.218        0.102        0.040        0.092        137.879           
GPU 0     11                1                 0.432        0.396        0.201        0.079        0.202        152.567           
GPU 0     12                1                 0.438        0.406        0.207        0.083        0.211        67.842            
GPU 0     59                35                0.327        0.300        0.153        0.062        0.157        159.050           
GPU 0     19                9                 0.504        0.485        0.259        0.103        0.262        171.951           
GPU 0     34                7                 0.367        0.331        0.167        0.065        0.169        68.744            
GPU 0     15                1                 0.336        0.298        0.145        0.055        0.146        69.037            
GPU 0     0                 0                 0.433        0.410        0.214        0.085        0.218        69.135            
GPU 0     89                55                0.403        0.378        0.193        0.077        0.198        80.151            
GPU 0     100               74                0.418        0.386        0.198        0.079        0.204        162.005           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     6                 0                 0.467        0.446        0.236        0.094        0.240        69.316            
GPU 0     37                22                0.348        0.310        0.154        0.061        0.156        202.747           
GPU 0     100               73                0.366        0.324        0.158        0.061        0.159        162.930           
GPU 0     6                 1                 0.447        0.425        0.221        0.088        0.223        69.809            
GPU 0     55                35                0.275        0.248        0.125        0.049        0.129        85.659            
GPU 0     41                16                0.361        0.331        0.166        0.066        0.170        70.785            
GPU 0     35                19                0.328        0.289        0.143        0.056        0.145        181.528           
GPU 0     0                 0                 0.361        0.329        0.164        0.063        0.164        70.785            
GPU 0     0                 0                 0.344        0.318        0.162        0.062        0.162        40.099            
GPU 0     10                1                 0.349        0.326        0.169        0.068        0.171        75.247            
GPU 0     0                 0                 0.338        0.292        0.138        0.054        0.135        71.101            
GPU 0     3                 0                 0.354        0.334        0.174        0.072        0.174        71.395            
GPU 0     66                33                0.415        0.386        0.196        0.073        0.197        162.921           
GPU 0     25                7                 0.444        0.421        0.219        0.091        0.223        71.492            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     79                42                0.401        0.361        0.179        0.066        0.177        71.980            
GPU 0     100               71                0.402        0.379        0.197        0.078        0.199        164.363           
GPU 0     18                1                 0.445        0.425        0.226        0.092        0.232        72.675            
GPU 0     14                1                 0.386        0.354        0.178        0.070        0.179        71.980            
GPU 0     0                 0                 0.347        0.315        0.157        0.060        0.159        40.197            
GPU 0     0                 0                 0.220        0.208        0.108        0.044        0.105        39.709            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        39.903            
