#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.008            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.857            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.858            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.849            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.857            
GPU 0     49                7                 0.000        0.000        0.000        0.000        0.000        63.617            
GPU 0     65                10                0.312        0.284        0.113        0.001        0.035        90.855            
GPU 0     60                9                 0.501        0.425        0.136        0.002        0.061        172.811           
GPU 0     68                10                0.546        0.487        0.179        0.002        0.074        74.122            
GPU 0     67                10                0.545        0.477        0.166        0.002        0.071        159.989           
GPU 0     49                7                 0.488        0.414        0.132        0.002        0.058        162.495           
GPU 0     69                10                0.482        0.409        0.129        0.002        0.058        86.641            
GPU 0     56                9                 0.461        0.392        0.122        0.002        0.055        87.347            
GPU 0     60                9                 0.436        0.368        0.115        0.002        0.053        92.532            
GPU 0     29                4                 0.483        0.405        0.122        0.002        0.057        141.947           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     65                10                0.484        0.411        0.127        0.002        0.058        82.188            
GPU 0     61                9                 0.461        0.392        0.126        0.002        0.055        67.434            
GPU 0     46                7                 0.511        0.443        0.151        0.002        0.064        86.544            
GPU 0     59                8                 0.502        0.426        0.136        0.002        0.060        131.403           
GPU 0     2                 0                 0.564        0.489        0.156        0.002        0.072        113.018           
GPU 0     73                10                0.490        0.419        0.135        0.002        0.059        150.167           
GPU 0     63                9                 0.504        0.430        0.139        0.002        0.060        151.921           
GPU 0     68                10                0.520        0.441        0.138        0.002        0.062        175.254           
GPU 0     59                9                 0.511        0.431        0.136        0.002        0.062        128.569           
GPU 0     37                5                 0.516        0.441        0.145        0.002        0.063        63.630            
GPU 0     3                 0                 0.511        0.436        0.137        0.002        0.062        150.357           
GPU 0     0                 0                 0.521        0.454        0.156        0.002        0.065        63.215            
GPU 0     0                 0                 0.404        0.356        0.120        0.002        0.053        35.936            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.729            
