id,enter_time_str,latency
FDYGDUBR,2025-03-18 00:21:02.781,837.0
M7O7OUX2,2025-03-18 00:21:02.844,769.0
Y08Y475F,2025-03-18 00:21:02.908,678.0
IK6H5P5Y,2025-03-18 00:21:02.968,702.0
X1S7UZ8T,2025-03-18 00:21:03.033,581.0
I6DQ5528,2025-03-18 00:21:03.097,572.0
M209826P,2025-03-18 00:21:03.159,587.0
Z3OLK3R6,2025-03-18 00:21:03.226,520.0
4OOEJ7HJ,2025-03-18 00:21:03.287,383.0
EANDB38F,2025-03-18 00:21:03.351,396.0
VM44XJQP,2025-03-18 00:21:03.413,241.0
8TLOOCS6,2025-03-18 00:21:03.478,269.0
K58J8XLS,2025-03-18 00:21:03.541,153.0
O7LICM9S,2025-03-18 00:21:03.606,156.0
O6R53IOX,2025-03-18 00:21:03.669,123.0
HOUDKSVH,2025-03-18 00:21:03.731,111.0
CC0WUOER,2025-03-18 00:21:03.796,151.0
IDS41FSY,2025-03-18 00:21:03.858,105.0
93C2MA3D,2025-03-18 00:21:03.920,118.0
PDBSTAAF,2025-03-18 00:21:03.984,95.0
YEB4G4ZU,2025-03-18 00:21:04.049,95.0
1WZC3RZ3,2025-03-18 00:21:04.114,157.0
U7KTQ8B5,2025-03-18 00:21:04.175,93.0
QY2TAU2H,2025-03-18 00:21:04.240,98.0
3X8PJS5T,2025-03-18 00:21:04.304,166.0
4WAKOMP2,2025-03-18 00:21:04.368,136.0
ZLPCV1WB,2025-03-18 00:21:04.430,111.0
147OIP7J,2025-03-18 00:21:04.495,110.0
LP7BD9XG,2025-03-18 00:21:04.558,113.0
PPB9ZTI2,2025-03-18 00:21:04.620,94.0
62EQ1RF2,2025-03-18 00:21:04.685,97.0
Q61EX95R,2025-03-18 00:21:04.748,102.0
QJ1XBUQD,2025-03-18 00:21:04.812,97.0
T5OGCG6R,2025-03-18 00:21:04.874,107.0
DF45EU68,2025-03-18 00:21:04.938,100.0
COSO5DMP,2025-03-18 00:21:05.001,105.0
XM0IS2DO,2025-03-18 00:21:05.065,103.0
MJ8NWNJV,2025-03-18 00:21:05.128,102.0
QYEY0J7J,2025-03-18 00:21:05.194,102.0
JNV6GSPR,2025-03-18 00:21:05.255,115.0
8CFVI5EA,2025-03-18 00:21:05.320,100.0
OIPDHRQZ,2025-03-18 00:21:05.384,142.0
MR3L5D6F,2025-03-18 00:21:05.446,109.0
HWXPLP1C,2025-03-18 00:21:05.510,106.0
E2KIBPUF,2025-03-18 00:21:05.575,105.0
VE1G72RJ,2025-03-18 00:21:05.637,98.0
1MWW845V,2025-03-18 00:21:05.700,98.0
C65PW20L,2025-03-18 00:21:05.764,123.0
RFXYS88N,2025-03-18 00:21:05.827,116.0
VBVPWY3L,2025-03-18 00:21:05.890,113.0
BY4ZFVQ5,2025-03-18 00:21:05.956,98.0
OLSM7CHP,2025-03-18 00:21:06.018,98.0
OFGRLAHW,2025-03-18 00:21:06.082,95.0
T9UTPJ6P,2025-03-18 00:21:06.145,101.0
F0P50JRC,2025-03-18 00:21:06.208,100.0
39I1TN7L,2025-03-18 00:21:06.271,112.0
FPLKB63O,2025-03-18 00:21:06.336,99.0
FKJMWV89,2025-03-18 00:21:06.400,111.0
E180XO0Y,2025-03-18 00:21:06.464,120.0
OALG8H3I,2025-03-18 00:21:06.526,97.0
ZDBU80OP,2025-03-18 00:21:06.590,99.0
98QTZFGH,2025-03-18 00:21:06.653,103.0
XF98V343,2025-03-18 00:21:06.717,95.0
BPV0IB9W,2025-03-18 00:21:06.781,101.0
AZ1ZMVOJ,2025-03-18 00:21:06.843,94.0
QQTKMAV8,2025-03-18 00:21:06.906,101.0
70IW1983,2025-03-18 00:21:06.970,103.0
LQZAFAO6,2025-03-18 00:21:07.033,105.0
CTUSLMUV,2025-03-18 00:21:07.097,98.0
SUYNP1T8,2025-03-18 00:21:07.160,91.0
6WI91HJE,2025-03-18 00:21:07.223,96.0
A0WC2A1Q,2025-03-18 00:21:07.287,115.0
3KJE9WK6,2025-03-18 00:21:07.350,111.0
51T9600T,2025-03-18 00:21:07.414,95.0
FOV6U1TM,2025-03-18 00:21:07.476,102.0
UK1HMWT9,2025-03-18 00:21:07.541,95.0
O0CFWD6Q,2025-03-18 00:21:07.604,126.0
AI6WLC9X,2025-03-18 00:21:07.668,100.0
NXF0DLEO,2025-03-18 00:21:07.731,96.0
SSL1ONOE,2025-03-18 00:21:07.794,115.0
INBDQHCU,2025-03-18 00:21:07.857,107.0
Q8JOFXZI,2025-03-18 00:21:07.921,112.0
MH1BGMVS,2025-03-18 00:21:07.985,113.0
WA41V9WK,2025-03-18 00:21:08.048,95.0
SBQOSNHU,2025-03-18 00:21:08.111,115.0
ZZ2NTEZB,2025-03-18 00:21:08.174,94.0
7FDO8XS2,2025-03-18 00:21:08.238,92.0
385LS2GQ,2025-03-18 00:21:08.303,108.0
G9CXAU95,2025-03-18 00:21:08.366,106.0
49C2RLBJ,2025-03-18 00:21:08.429,106.0
0GCOVYJJ,2025-03-18 00:21:08.493,103.0
YJNCCUS7,2025-03-18 00:21:08.556,96.0
G5WOEN2Z,2025-03-18 00:21:08.620,91.0
DZA6VDOQ,2025-03-18 00:21:08.685,118.0
P4OJAPGZ,2025-03-18 00:21:08.747,104.0
TORV1FUI,2025-03-18 00:21:08.810,98.0
NNXU4RFK,2025-03-18 00:21:08.874,108.0
H5KSBQL6,2025-03-18 00:21:08.937,105.0
V1NDAH8X,2025-03-18 00:21:09.001,105.0
XWXV72LY,2025-03-18 00:21:09.064,96.0
WOCWXJ5E,2025-03-18 00:21:09.127,93.0
7BMLH602,2025-03-18 00:21:09.192,97.0
4ENI59CS,2025-03-18 00:21:09.256,102.0
POAXJIUL,2025-03-18 00:21:09.318,93.0
CR1F2TAN,2025-03-18 00:21:09.382,93.0
Y8RL0IN7,2025-03-18 00:21:09.445,91.0
ETDJOP3C,2025-03-18 00:21:09.508,99.0
ZI04YFX1,2025-03-18 00:21:09.573,106.0
PQQ7MYFK,2025-03-18 00:21:09.636,112.0
CXVRKMQ0,2025-03-18 00:21:09.700,110.0
LQX5QEJD,2025-03-18 00:21:09.763,108.0
I65N3ECB,2025-03-18 00:21:09.827,97.0
459RGJT7,2025-03-18 00:21:09.892,98.0
58YRI7NY,2025-03-18 00:21:09.954,100.0
CMM9Z8Q2,2025-03-18 00:21:10.017,94.0
OEX5QUC9,2025-03-18 00:21:10.081,112.0
RCHX5D8C,2025-03-18 00:21:10.145,97.0
COBDZUV5,2025-03-18 00:21:10.209,147.0
T1M07AFM,2025-03-18 00:21:10.272,94.0
UJUG3YPW,2025-03-18 00:21:10.336,95.0
V1ZILOVM,2025-03-18 00:21:10.399,105.0
ED04MULA,2025-03-18 00:21:10.462,98.0
9PVQVACZ,2025-03-18 00:21:10.526,93.0
BV4PEV1C,2025-03-18 00:21:10.588,92.0
I10RK63U,2025-03-18 00:21:10.652,92.0
J61V8OSG,2025-03-18 00:21:10.716,92.0
S85GWPIZ,2025-03-18 00:21:10.779,108.0
NGOWRQSR,2025-03-18 00:21:10.842,106.0
NXA2NO42,2025-03-18 00:21:10.906,102.0
YHLO2RQ6,2025-03-18 00:21:10.969,100.0
8RJXR4EG,2025-03-18 00:21:11.032,98.0
J5X63D6V,2025-03-18 00:21:11.098,90.0
P52ZW4J4,2025-03-18 00:21:11.160,96.0
CO28DUE4,2025-03-18 00:21:11.223,95.0
CZZ0YQEM,2025-03-18 00:21:11.287,93.0
TIERGP23,2025-03-18 00:21:11.350,105.0
T9B3ZWLV,2025-03-18 00:21:11.413,114.0
X9NJJN1J,2025-03-18 00:21:11.477,110.0
JP5UI9R2,2025-03-18 00:21:11.541,98.0
KA6ECYB6,2025-03-18 00:21:11.602,94.0
HHD7SU1J,2025-03-18 00:21:11.666,89.0
B259AOR7,2025-03-18 00:21:11.731,103.0
ZL8HFEOD,2025-03-18 00:21:11.793,93.0
XATC41SH,2025-03-18 00:21:11.857,93.0
F5TUSKQP,2025-03-18 00:21:11.921,102.0
HRLA1CX5,2025-03-18 00:21:11.984,99.0
420HEYZ3,2025-03-18 00:21:12.047,102.0
FAFMDBQ8,2025-03-18 00:21:12.110,95.0
MG9QNHLJ,2025-03-18 00:21:12.173,93.0
5XO2NQXE,2025-03-18 00:21:12.236,92.0
P3SLS78M,2025-03-18 00:21:12.300,98.0
0B3ZD8VY,2025-03-18 00:21:12.364,102.0
75AC286U,2025-03-18 00:21:12.428,93.0
1SSKBPY4,2025-03-18 00:21:12.492,96.0
PENQG87F,2025-03-18 00:21:12.555,96.0
S2DI60Z5,2025-03-18 00:21:12.618,94.0
JLIYWEII,2025-03-18 00:21:12.682,101.0
D6R4LEUE,2025-03-18 00:21:12.745,104.0
192AFUKO,2025-03-18 00:21:12.807,111.0
U1ZPBVR6,2025-03-18 00:21:12.871,114.0
140HJFM5,2025-03-18 00:21:12.937,104.0
0O072TF8,2025-03-18 00:21:12.998,98.0
BVB21DWO,2025-03-18 00:21:13.062,97.0
CSVDZAPP,2025-03-18 00:21:13.125,97.0
7HYLRJEY,2025-03-18 00:21:13.188,93.0
WRWAF4D4,2025-03-18 00:21:13.252,98.0
7N3D2668,2025-03-18 00:21:13.316,92.0
OEG64MWD,2025-03-18 00:21:13.380,105.0
CD1DXC7S,2025-03-18 00:21:13.442,92.0
WNUA22SC,2025-03-18 00:21:13.506,100.0
USS5W4XZ,2025-03-18 00:21:13.571,90.0
556Q43OW,2025-03-18 00:21:13.633,99.0
1BOVX63O,2025-03-18 00:21:13.696,99.0
Y6QHB10L,2025-03-18 00:21:13.760,98.0
PIADYP24,2025-03-18 00:21:13.824,98.0
1PHJ0RBF,2025-03-18 00:21:13.888,96.0
B5ND2JKG,2025-03-18 00:21:13.951,99.0
