id,enter_time_str,latency
XT5SLUF1,2025-03-18 00:39:44.981,87.0
AOOBZJ4Q,2025-03-18 00:39:45.069,16.0
6BCLFG3T,2025-03-18 00:39:45.069,16.0
X15YDB37,2025-03-18 00:39:45.086,11.0
6NUFMQ77,2025-03-18 00:39:45.113,9.0
CQ90BL9E,2025-03-18 00:39:45.138,9.0
1182N802,2025-03-18 00:39:45.170,9.0
HUPB4AVA,2025-03-18 00:39:45.208,10.0
M5A8N0TU,2025-03-18 00:39:45.219,10.0
DEE8EVZS,2025-03-18 00:39:45.244,10.0
0H1UOE63,2025-03-18 00:39:45.297,14.0
UDR3OTQ2,2025-03-18 00:39:45.331,11.0
7XFK5PTQ,2025-03-18 00:39:45.346,11.0
FJ2X70Z2,2025-03-18 00:39:45.376,11.0
3JXJ9QAP,2025-03-18 00:39:45.431,12.0
NF9Q3GDV,2025-03-18 00:39:45.444,13.0
JUHWLEV5,2025-03-18 00:39:45.474,13.0
WPIX0OH3,2025-03-18 00:39:45.504,11.0
N538231W,2025-03-18 00:39:45.536,10.0
BZ8L58I0,2025-03-18 00:39:45.567,12.0
4X3TEDMP,2025-03-18 00:39:45.599,10.0
UCXBD42Q,2025-03-18 00:39:45.664,11.0
XQQ4NJ1E,2025-03-18 00:39:45.676,12.0
6Q4FS4FH,2025-03-18 00:39:45.722,11.0
PBND0A1I,2025-03-18 00:39:45.734,10.0
1LUEIBGJ,2025-03-18 00:39:45.763,10.0
QXY1QWHH,2025-03-18 00:39:45.793,12.0
SWW2LMWP,2025-03-18 00:39:45.825,11.0
3H4OZ9XP,2025-03-18 00:39:45.860,14.0
DLJQCVRO,2025-03-18 00:39:45.890,11.0
8SX83MJO,2025-03-18 00:39:45.920,11.0
TTZNHLVQ,2025-03-18 00:39:45.985,10.0
R0KQRROA,2025-03-18 00:39:46.010,10.0
ET7DKXNR,2025-03-18 00:39:46.021,9.0
9XRPKHL6,2025-03-18 00:39:46.054,10.0
12T9WESP,2025-03-18 00:39:46.084,9.0
DDNNY6SK,2025-03-18 00:39:46.115,9.0
KSHBM3AS,2025-03-18 00:39:46.143,10.0
JVCVP2AT,2025-03-18 00:39:46.177,9.0
XUEE1EAF,2025-03-18 00:39:46.211,10.0
D3E3S7AV,2025-03-18 00:39:46.243,9.0
S2FL7O1F,2025-03-18 00:39:46.273,9.0
OOVYB7WT,2025-03-18 00:39:46.310,9.0
MZ5580YS,2025-03-18 00:39:46.365,10.0
HMLNM6TG,2025-03-18 00:39:46.376,10.0
1AZU9TPL,2025-03-18 00:39:46.404,9.0
MMXAYC6Y,2025-03-18 00:39:46.435,9.0
U0VFOV3A,2025-03-18 00:39:46.469,9.0
O5959QVE,2025-03-18 00:39:46.501,10.0
WZERP4LR,2025-03-18 00:39:46.535,10.0
T84ONFZ6,2025-03-18 00:39:46.566,9.0
1JW4X1XB,2025-03-18 00:39:46.596,11.0
TD58DVSD,2025-03-18 00:39:46.629,11.0
2QVU8Z33,2025-03-18 00:39:46.659,9.0
KAV24QTD,2025-03-18 00:39:46.696,12.0
PPO1JVHK,2025-03-18 00:39:46.727,9.0
JLH8NKNI,2025-03-18 00:39:46.758,10.0
6EKSRM3Z,2025-03-18 00:39:46.785,10.0
621AQ2GC,2025-03-18 00:39:46.817,10.0
GLC82AVL,2025-03-18 00:39:46.854,10.0
PL4DQIX9,2025-03-18 00:39:46.885,9.0
OLEV45RT,2025-03-18 00:39:46.918,10.0
4I0375UJ,2025-03-18 00:39:46.948,10.0
JH1C8UYC,2025-03-18 00:39:46.983,10.0
2EJL85FR,2025-03-18 00:39:47.011,9.0
AFMLX2VT,2025-03-18 00:39:47.047,9.0
N6Q9UA9P,2025-03-18 00:39:47.078,11.0
CFYJAHOB,2025-03-18 00:39:47.111,12.0
ZW7QOMZD,2025-03-18 00:39:47.142,10.0
U6YQ9IB3,2025-03-18 00:39:47.175,10.0
O3P02QDO,2025-03-18 00:39:47.205,10.0
JQFTM64X,2025-03-18 00:39:47.235,10.0
P3ONWEE2,2025-03-18 00:39:47.273,12.0
78YAL3SC,2025-03-18 00:39:47.304,9.0
FEU6IANJ,2025-03-18 00:39:47.334,10.0
UDLW5P81,2025-03-18 00:39:47.364,10.0
W9F5BQK7,2025-03-18 00:39:47.397,10.0
Z5XDF7J0,2025-03-18 00:39:47.429,9.0
E1ODVMJX,2025-03-18 00:39:47.464,9.0
0QMB0580,2025-03-18 00:39:47.494,10.0
40TTPV03,2025-03-18 00:39:47.530,9.0
EG2ZGHIZ,2025-03-18 00:39:47.560,10.0
2V57DBTM,2025-03-18 00:39:47.593,9.0
LZ52S4YR,2025-03-18 00:39:47.626,10.0
2M12IACQ,2025-03-18 00:39:47.658,9.0
3CBN6SMD,2025-03-18 00:39:47.686,10.0
XY6PN9T1,2025-03-18 00:39:47.721,9.0
HR7NQYMM,2025-03-18 00:39:47.755,10.0
A4Z5NZXJ,2025-03-18 00:39:47.786,11.0
CB9KKGFC,2025-03-18 00:39:47.815,9.0
BB38X9Q3,2025-03-18 00:39:47.850,10.0
