id,enter_time_str,latency
FU2PFIRI,2025-03-18 04:18:17.843,312.0
HJ3MQ6K1,2025-03-18 04:18:17.864,339.0
WW6C5AKI,2025-03-18 04:18:17.878,337.0
UHTSY6RK,2025-03-18 04:18:17.878,337.0
SR4LKVQU,2025-03-18 04:18:18.049,377.0
15B93U6R,2025-03-18 04:18:18.055,382.0
1KK5UGPM,2025-03-18 04:18:18.080,408.0
EI21TRP0,2025-03-18 04:18:18.080,408.0
OD3P7VVD,2025-03-18 04:18:18.156,158.0
S1LJRU3P,2025-03-18 04:18:18.156,158.0
UP0QD792,2025-03-18 04:18:18.156,158.0
66G7FN8D,2025-03-18 04:18:18.156,158.0
MLQU8NPZ,2025-03-18 04:18:18.156,158.0
EYZUDB7T,2025-03-18 04:18:18.204,168.0
H8NNL93V,2025-03-18 04:18:18.204,168.0
QZ8LV0F7,2025-03-18 04:18:18.204,168.0
JYNEFDMR,2025-03-18 04:18:18.204,168.0
R3GOVFFT,2025-03-18 04:18:18.204,168.0
7ZQW5K1E,2025-03-18 04:18:18.204,168.0
DWKCWBQM,2025-03-18 04:18:18.216,175.0
H6EJ7LT0,2025-03-18 04:18:18.216,175.0
S4EC4MFT,2025-03-18 04:18:18.216,175.0
137CRI6Y,2025-03-18 04:18:18.216,175.0
Y2BFK9FC,2025-03-18 04:18:18.216,175.0
QBU5TPF3,2025-03-18 04:18:18.216,175.0
5GBCR11Z,2025-03-18 04:18:18.315,81.0
8EPPZ9C3,2025-03-18 04:18:18.315,81.0
85XULF2L,2025-03-18 04:18:18.315,81.0
AZWQ0COW,2025-03-18 04:18:18.373,66.0
EGG31G0Y,2025-03-18 04:18:18.373,66.0
QANRE5SF,2025-03-18 04:18:18.393,64.0
YYC7T8TO,2025-03-18 04:18:18.393,64.0
P4QGAHS2,2025-03-18 04:18:18.397,36.0
23Y6EB1K,2025-03-18 04:18:18.429,269.0
KFOZ5FIO,2025-03-18 04:18:18.429,269.0
9QR7H4HL,2025-03-18 04:18:18.429,269.0
YRQJK7VT,2025-03-18 04:18:18.429,269.0
BEFEXO9T,2025-03-18 04:18:18.429,269.0
1MUSXSLS,2025-03-18 04:18:18.429,269.0
FIPS836W,2025-03-18 04:18:18.429,269.0
PXX58EN0,2025-03-18 04:18:18.429,269.0
O1JLPO0Y,2025-03-18 04:18:18.429,269.0
61T63YUJ,2025-03-18 04:18:18.434,59.0
