id,enter_time_str,latency
IBW179H7,2025-03-18 03:56:24.257,9.0
IQGC67NM,2025-03-18 03:56:24.261,9.0
6QHBR15C,2025-03-18 03:56:24.269,9.0
KUPD8Q2Y,2025-03-18 03:56:24.271,12.0
SN1E4HTP,2025-03-18 03:56:24.315,9.0
7F8QK0DF,2025-03-18 03:56:24.341,20.0
BTEU3YIE,2025-03-18 03:56:24.343,21.0
SMU0E2BE,2025-03-18 03:56:24.362,20.0
QKIN6MKS,2025-03-18 03:56:24.364,12.0
V1P5RX5O,2025-03-18 03:56:24.377,20.0
JU5BQVXL,2025-03-18 03:56:24.377,20.0
BQ3AORI9,2025-03-18 03:56:24.382,21.0
TVRZMBDT,2025-03-18 03:56:24.430,8.0
NNUIII14,2025-03-18 03:56:24.433,14.0
HIGSGQVI,2025-03-18 03:56:24.433,14.0
FRZTOUYJ,2025-03-18 03:56:24.467,9.0
MP2SW1SE,2025-03-18 03:56:24.469,14.0
L7IPM44L,2025-03-18 03:56:24.469,14.0
OE1A9PB4,2025-03-18 03:56:24.476,14.0
WZNWKCPY,2025-03-18 03:56:24.476,14.0
Q30EYL1Q,2025-03-18 03:56:24.483,16.0
C6MKGOK2,2025-03-18 03:56:24.483,16.0
IINAU0RM,2025-03-18 03:56:24.561,10.0
H1CJNWXB,2025-03-18 03:56:24.563,10.0
FDS2LAAP,2025-03-18 03:56:24.575,24.0
XD8JB3LM,2025-03-18 03:56:24.575,24.0
GIM76C6A,2025-03-18 03:56:24.575,24.0
7H29ZPPU,2025-03-18 03:56:24.585,4.0
B17BBQLN,2025-03-18 03:56:24.589,10.0
1K0LJWG2,2025-03-18 03:56:24.600,28.0
R9QV349T,2025-03-18 03:56:24.600,28.0
23V3FL5R,2025-03-18 03:56:24.600,28.0
AKS78H9R,2025-03-18 03:56:24.600,28.0
XI2JA5GN,2025-03-18 03:56:24.600,28.0
AAB3W8YG,2025-03-18 03:56:24.600,28.0
UTC1P7BA,2025-03-18 03:56:24.636,12.0
IR2RP89H,2025-03-18 03:56:24.642,12.0
VASXDUDE,2025-03-18 03:56:24.642,12.0
65857756,2025-03-18 03:56:24.649,17.0
M5NQVCZV,2025-03-18 03:56:24.649,17.0
4FWX6ML7,2025-03-18 03:56:24.649,17.0
KQZDXXLF,2025-03-18 03:56:24.649,17.0
L83OIKVA,2025-03-18 03:56:24.661,8.0
IZXHT9J3,2025-03-18 03:56:24.667,28.0
I72N90BW,2025-03-18 03:56:24.667,28.0
QMXT1UPD,2025-03-18 03:56:24.667,28.0
ZNGP0AHH,2025-03-18 03:56:24.667,28.0
KT4L03TD,2025-03-18 03:56:24.667,28.0
0Z2AQHVB,2025-03-18 03:56:24.667,28.0
POGIZ83X,2025-03-18 03:56:24.669,31.0
YPNWA20H,2025-03-18 03:56:24.669,31.0
QUC3G3AZ,2025-03-18 03:56:24.669,31.0
QC3K7J88,2025-03-18 03:56:24.669,31.0
V2I5HUVP,2025-03-18 03:56:24.669,31.0
TRJI21LV,2025-03-18 03:56:24.776,7.0
5919MMFK,2025-03-18 03:56:24.778,13.0
Z4GEQ9AQ,2025-03-18 03:56:24.778,13.0
L3V8C2MK,2025-03-18 03:56:24.783,22.0
0Q5PMRF0,2025-03-18 03:56:24.783,22.0
DUAMI1OW,2025-03-18 03:56:24.783,22.0
XMJMX8DV,2025-03-18 03:56:24.783,22.0
YWCZKSWL,2025-03-18 03:56:24.791,8.0
HHJWWSWT,2025-03-18 03:56:24.814,9.0
172RX9SN,2025-03-18 03:56:24.818,8.0
JMWMKN5Y,2025-03-18 03:56:24.824,13.0
SGPTW18V,2025-03-18 03:56:24.824,13.0
B5AYJVVE,2025-03-18 03:56:24.824,13.0
AAF457US,2025-03-18 03:56:24.824,13.0
E6YGQFSN,2025-03-18 03:56:24.832,18.0
MGHC7H8A,2025-03-18 03:56:24.838,11.0
9HBKVAWB,2025-03-18 03:56:24.838,11.0
1X5RGBNP,2025-03-18 03:56:24.838,11.0
6SPF9CHR,2025-03-18 03:56:24.850,19.0
PZUHZVXX,2025-03-18 03:56:24.850,19.0
UNZY3RGK,2025-03-18 03:56:24.850,19.0
KVLT0AP4,2025-03-18 03:56:24.898,10.0
YH1940UT,2025-03-18 03:56:24.899,5.0
45D995J4,2025-03-18 03:56:24.905,20.0
ZPD76PNW,2025-03-18 03:56:24.905,20.0
T87ET3NI,2025-03-18 03:56:24.905,20.0
5NAFSYVJ,2025-03-18 03:56:24.905,20.0
6RM2F518,2025-03-18 03:56:24.910,28.0
NKP0OJPR,2025-03-18 03:56:24.910,28.0
J1JLS6RP,2025-03-18 03:56:24.910,28.0
MAAHK21B,2025-03-18 03:56:24.910,28.0
3U66E7HE,2025-03-18 03:56:24.910,28.0
PECO1PQC,2025-03-18 03:56:24.925,7.0
8QDP29Z2,2025-03-18 03:56:25.011,9.0
BPZPLJ2E,2025-03-18 03:56:25.013,6.0
1NCGGZGT,2025-03-18 03:56:25.020,26.0
RJSHU2YG,2025-03-18 03:56:25.020,26.0
6PWFHVW3,2025-03-18 03:56:25.020,26.0
L6OIB1UQ,2025-03-18 03:56:25.020,26.0
4JTI8PJD,2025-03-18 03:56:25.021,12.0
0NIH14SK,2025-03-18 03:56:25.021,12.0
I5JW83F2,2025-03-18 03:56:25.021,12.0
4L5ECVZH,2025-03-18 03:56:25.021,12.0
TV8UCT51,2025-03-18 03:56:25.037,9.0
M3OWODK3,2025-03-18 03:56:25.046,23.0
8LL5NNK6,2025-03-18 03:56:25.046,23.0
G13V62CX,2025-03-18 03:56:25.046,23.0
JC0LGXUH,2025-03-18 03:56:25.048,25.0
FSN1ZZKY,2025-03-18 03:56:25.048,25.0
