id,enter_time_str,latency
3XYKUVGO,2025-03-18 03:48:40.685,118.0
XVO2AMGW,2025-03-18 03:48:40.738,125.0
6TQTOC3O,2025-03-18 03:48:40.804,5.0
B7NWE227,2025-03-18 03:48:40.817,7.0
8Z78CMUD,2025-03-18 03:48:40.854,6.0
JTJVKYJV,2025-03-18 03:48:40.860,5.0
US4Q2KAW,2025-03-18 03:48:40.865,14.0
6ITTM19J,2025-03-18 03:48:40.865,14.0
Y9PNZN3L,2025-03-18 03:48:40.865,14.0
CEBV7CPZ,2025-03-18 03:48:40.874,4.0
OKKBGE6M,2025-03-18 03:48:40.903,7.0
3TTKSMD5,2025-03-18 03:48:40.911,10.0
Z1S6TZGO,2025-03-18 03:48:40.915,7.0
JZP40EPZ,2025-03-18 03:48:40.925,4.0
S32I5HSY,2025-03-18 03:48:40.938,6.0
MUV9DE4Z,2025-03-18 03:48:40.967,5.0
2NU6FP4G,2025-03-18 03:48:40.970,8.0
ELFCE4II,2025-03-18 03:48:41.011,4.0
CGYO2JBS,2025-03-18 03:48:41.024,7.0
Q1NOHCF9,2025-03-18 03:48:41.057,6.0
ZRN9H7LR,2025-03-18 03:48:41.089,6.0
5WBYRM1U,2025-03-18 03:48:41.119,13.0
VGS7VKAH,2025-03-18 03:48:41.145,5.0
N2EIRWBQ,2025-03-18 03:48:41.181,5.0
2L20PWO9,2025-03-18 03:48:41.230,6.0
GQ0I77NK,2025-03-18 03:48:41.257,4.0
12PY7DAE,2025-03-18 03:48:41.279,5.0
HY09RP5E,2025-03-18 03:48:41.304,4.0
0QRYWLXG,2025-03-18 03:48:41.324,4.0
VUDHY1FD,2025-03-18 03:48:41.332,6.0
PV69HWT3,2025-03-18 03:48:41.371,4.0
GE2M07UM,2025-03-18 03:48:41.406,4.0
370TAK6Q,2025-03-18 03:48:41.467,4.0
CK4WUJWC,2025-03-18 03:48:41.498,5.0
BG1KWQ6M,2025-03-18 03:48:41.501,4.0
YJCGDG4G,2025-03-18 03:48:41.578,4.0
UJG6X3ZE,2025-03-18 03:48:41.600,4.0
0DB61TJI,2025-03-18 03:48:41.610,8.0
CLQFMJA1,2025-03-18 03:48:41.624,4.0
EOJIJ0GD,2025-03-18 03:48:41.656,4.0
EZYJPRH0,2025-03-18 03:48:41.689,4.0
HTRH3EP9,2025-03-18 03:48:41.723,4.0
53J6M26Z,2025-03-18 03:48:41.764,4.0
5K3M2AC9,2025-03-18 03:48:41.784,4.0
KWISVB3L,2025-03-18 03:48:41.827,4.0
13OUOF83,2025-03-18 03:48:41.850,5.0
39BEGEGX,2025-03-18 03:48:41.880,5.0
FWHVN16B,2025-03-18 03:48:41.943,4.0
5DXGRE6C,2025-03-18 03:48:41.977,3.0
KHXMMBWY,2025-03-18 03:48:41.987,5.0
OF8PMGEO,2025-03-18 03:48:42.051,4.0
ME144O05,2025-03-18 03:48:42.071,4.0
RIRPRCXJ,2025-03-18 03:48:42.101,8.0
3N5HDGPD,2025-03-18 03:48:42.116,4.0
EZCNBB5D,2025-03-18 03:48:42.141,4.0
TO3USGQL,2025-03-18 03:48:42.172,5.0
ZSFSA738,2025-03-18 03:48:42.214,4.0
8RQJUJMC,2025-03-18 03:48:42.232,4.0
RBPDG4EU,2025-03-18 03:48:42.268,4.0
095QPO5E,2025-03-18 03:48:42.301,5.0
7ZISGJKT,2025-03-18 03:48:42.335,5.0
4INVSF9V,2025-03-18 03:48:42.364,5.0
51QY91PV,2025-03-18 03:48:42.393,4.0
2R1YVU89,2025-03-18 03:48:42.441,4.0
KJN14DVL,2025-03-18 03:48:42.459,5.0
DX6VGNA5,2025-03-18 03:48:42.495,4.0
O8YET47K,2025-03-18 03:48:42.522,4.0
ZL8LAWKW,2025-03-18 03:48:42.567,4.0
X5UY8W9S,2025-03-18 03:48:42.618,5.0
6O3569CL,2025-03-18 03:48:42.626,4.0
T4A823OS,2025-03-18 03:48:42.651,4.0
D3K2YCWO,2025-03-18 03:48:42.681,4.0
1ED229ZS,2025-03-18 03:48:42.729,4.0
FSNRU383,2025-03-18 03:48:42.768,4.0
LCUO6LS3,2025-03-18 03:48:42.778,3.0
UXLAL9YA,2025-03-18 03:48:42.813,4.0
2296986H,2025-03-18 03:48:42.845,11.0
RLMFFQK6,2025-03-18 03:48:42.891,4.0
MREJVNMB,2025-03-18 03:48:42.934,4.0
QGI1ROHP,2025-03-18 03:48:42.970,7.0
TSRTK6BU,2025-03-18 03:48:42.978,4.0
7PB5AHV1,2025-03-18 03:48:43.008,4.0
ZPMHDZ9I,2025-03-18 03:48:43.043,3.0
YMYM7SDK,2025-03-18 03:48:43.087,5.0
2EGQIJBK,2025-03-18 03:48:43.105,4.0
AI67VTTP,2025-03-18 03:48:43.135,4.0
EHQZWULA,2025-03-18 03:48:43.166,5.0
WTHPGTJ1,2025-03-18 03:48:43.198,4.0
FT2K02RD,2025-03-18 03:48:43.233,4.0
WXTM9Y4U,2025-03-18 03:48:43.268,5.0
2IC3JH30,2025-03-18 03:48:43.299,5.0
PJR6JTO4,2025-03-18 03:48:43.330,5.0
VZ1D7FTU,2025-03-18 03:48:43.369,4.0
96CSD5YH,2025-03-18 03:48:43.392,5.0
WOC3R1HM,2025-03-18 03:48:43.429,4.0
4WRMRX82,2025-03-18 03:48:43.460,5.0
Z9USLI2O,2025-03-18 03:48:43.494,4.0
G44J2JJM,2025-03-18 03:48:43.538,4.0
64VVGSGO,2025-03-18 03:48:43.585,6.0
225X1JNZ,2025-03-18 03:48:43.591,4.0
T7OKCCED,2025-03-18 03:48:43.633,5.0
ZJB6Y4SH,2025-03-18 03:48:43.654,4.0
D594B4VN,2025-03-18 03:48:43.697,4.0
X2M2T5CN,2025-03-18 03:48:43.717,4.0
GEIPK59W,2025-03-18 03:48:43.748,4.0
MAGLO2FG,2025-03-18 03:48:43.783,4.0
SZ4N29P5,2025-03-18 03:48:43.819,4.0
2GJ8GN0P,2025-03-18 03:48:43.856,4.0
6FZZURZM,2025-03-18 03:48:43.875,4.0
01HFUHBA,2025-03-18 03:48:43.912,4.0
UODCXY0J,2025-03-18 03:48:43.941,4.0
PHQ6Z88Z,2025-03-18 03:48:43.978,4.0
N2W42G3Z,2025-03-18 03:48:44.012,4.0
WV3A9D6S,2025-03-18 03:48:44.041,4.0
NHAJQ7NR,2025-03-18 03:48:44.075,4.0
S39MQKE3,2025-03-18 03:48:44.105,4.0
ZQ0GUOZB,2025-03-18 03:48:44.144,4.0
8J7FSN97,2025-03-18 03:48:44.176,4.0
W66NUHOP,2025-03-18 03:48:44.203,4.0
NTEC4RYD,2025-03-18 03:48:44.245,4.0
Y4NIMPP8,2025-03-18 03:48:44.263,4.0
X0SZOZ8I,2025-03-18 03:48:44.299,4.0
IS350FS6,2025-03-18 03:48:44.330,4.0
J1Z5POIO,2025-03-18 03:48:44.363,4.0
R8I6F9X3,2025-03-18 03:48:44.397,4.0
XDUV4LVV,2025-03-18 03:48:44.427,4.0
9ZOJOIGS,2025-03-18 03:48:44.458,6.0
542MH1SS,2025-03-18 03:48:44.497,4.0
LF9PN2MJ,2025-03-18 03:48:44.528,4.0
YE1DJ4TE,2025-03-18 03:48:44.560,4.0
FMXBUIAM,2025-03-18 03:48:44.603,4.0
9P81K8GW,2025-03-18 03:48:44.649,4.0
5Q456739,2025-03-18 03:48:44.657,4.0
MSIISQCL,2025-03-18 03:48:44.686,6.0
5BQJA4MD,2025-03-18 03:48:44.726,4.0
FX21BFMO,2025-03-18 03:48:44.758,4.0
AN5LB2FM,2025-03-18 03:48:44.784,4.0
F88BFGIL,2025-03-18 03:48:44.816,4.0
QA6KKWFU,2025-03-18 03:48:44.848,3.0
KALMFGJJ,2025-03-18 03:48:44.883,4.0
PY8AGZG9,2025-03-18 03:48:44.927,4.0
1ESXNK49,2025-03-18 03:48:44.942,4.0
V55G937U,2025-03-18 03:48:44.979,4.0
D98NI39N,2025-03-18 03:48:45.008,5.0
XQI6YEQ8,2025-03-18 03:48:45.053,4.0
XXQT1P8V,2025-03-18 03:48:45.069,4.0
PK8W0J2M,2025-03-18 03:48:45.118,4.0
YLD4ZBM8,2025-03-18 03:48:45.166,5.0
7F4NHLYZ,2025-03-18 03:48:45.171,5.0
H8AEHOPN,2025-03-18 03:48:45.204,4.0
IBAUC3DR,2025-03-18 03:48:45.235,4.0
V6DWV53T,2025-03-18 03:48:45.266,4.0
57VAHITY,2025-03-18 03:48:45.296,4.0
CJY6511K,2025-03-18 03:48:45.328,4.0
CH90IYU7,2025-03-18 03:48:45.367,4.0
NQ06JZTD,2025-03-18 03:48:45.396,4.0
RX4SUH8V,2025-03-18 03:48:45.429,4.0
77GCGJFA,2025-03-18 03:48:45.460,4.0
TC5ITYCW,2025-03-18 03:48:45.495,4.0
VRWPD8C5,2025-03-18 03:48:45.528,4.0
MOTK2FHF,2025-03-18 03:48:45.556,4.0
4ZCIBFIF,2025-03-18 03:48:45.592,5.0
TRBARYS3,2025-03-18 03:48:45.619,5.0
7HJA74CY,2025-03-18 03:48:45.654,4.0
KML8SILC,2025-03-18 03:48:45.686,4.0
AEP8DWL8,2025-03-18 03:48:45.718,4.0
5CGLFUBW,2025-03-18 03:48:45.749,4.0
KDIDIVIO,2025-03-18 03:48:45.780,4.0
0CA7UI70,2025-03-18 03:48:45.812,4.0
D9GW51TD,2025-03-18 03:48:45.847,4.0
ZZXGP4X3,2025-03-18 03:48:45.877,4.0
CJCH4TFO,2025-03-18 03:48:45.909,5.0
EAEGH3FV,2025-03-18 03:48:45.944,4.0
N28FS7TA,2025-03-18 03:48:45.977,4.0
DYPL0E1W,2025-03-18 03:48:46.024,5.0
NHFFUYLD,2025-03-18 03:48:46.044,4.0
U5B7RR9N,2025-03-18 03:48:46.092,4.0
P8F8C4F2,2025-03-18 03:48:46.102,7.0
FUL32FCF,2025-03-18 03:48:46.138,4.0
FVQJ8K5X,2025-03-18 03:48:46.181,3.0
K5ZT4NBP,2025-03-18 03:48:46.203,4.0
6P40ML7D,2025-03-18 03:48:46.233,5.0
YPN0OWNX,2025-03-18 03:48:46.266,4.0
MPR7T6X9,2025-03-18 03:48:46.297,4.0
B2J4EJIQ,2025-03-18 03:48:46.341,4.0
UTU1K9F2,2025-03-18 03:48:46.363,5.0
5WU0524D,2025-03-18 03:48:46.403,4.0
DNM00EZG,2025-03-18 03:48:46.431,4.0
VTZKQ8YG,2025-03-18 03:48:46.464,4.0
7HG7OAO9,2025-03-18 03:48:46.492,4.0
3ZWD8NRP,2025-03-18 03:48:46.533,4.0
TK1XU3BB,2025-03-18 03:48:46.571,5.0
TKJ8MMLJ,2025-03-18 03:48:46.605,4.0
IOKYEUMQ,2025-03-18 03:48:46.622,4.0
CB70PC41,2025-03-18 03:48:46.653,4.0
XN910VKP,2025-03-18 03:48:46.687,5.0
OEXVLEMW,2025-03-18 03:48:46.720,4.0
WQM3519F,2025-03-18 03:48:46.749,4.0
US6FCOAZ,2025-03-18 03:48:46.787,4.0
Z6LPNFGO,2025-03-18 03:48:46.816,4.0
3HYHUAEJ,2025-03-18 03:48:46.850,4.0
NB2YWVBF,2025-03-18 03:48:46.881,4.0
C7XJ344F,2025-03-18 03:48:46.913,4.0
R3FAXV8J,2025-03-18 03:48:46.946,4.0
IHP9CFTW,2025-03-18 03:48:46.975,4.0
X0ZLGAHG,2025-03-18 03:48:47.008,8.0
OY2OEI67,2025-03-18 03:48:47.053,4.0
37EGMELG,2025-03-18 03:48:47.081,4.0
PTNQG9VS,2025-03-18 03:48:47.110,4.0
IT6BX3EM,2025-03-18 03:48:47.143,4.0
