id,enter_time_str,latency
FBFXFJFG,2025-03-17 22:55:57.434,484.0
ZUDBA7TI,2025-03-17 22:55:57.596,502.0
6W5G0HZV,2025-03-17 22:55:57.695,488.0
EUSY8POS,2025-03-17 22:55:57.927,496.0
2V8UGMMK,2025-03-17 22:55:57.927,496.0
Y8VKDKRM,2025-03-17 22:55:57.927,496.0
PAC56D0X,2025-03-17 22:55:57.927,496.0
TAQQ3B3O,2025-03-17 22:55:57.927,496.0
ZYO2PIAD,2025-03-17 22:55:57.927,496.0
JUJANKH0,2025-03-17 22:55:57.927,496.0
6FTJMQ92,2025-03-17 22:55:57.927,496.0
CML351IN,2025-03-17 22:55:57.927,496.0
DP7ENSDX,2025-03-17 22:55:57.956,490.0
EM6FBO25,2025-03-17 22:55:58.100,84.0
2IJKYVQG,2025-03-17 22:55:58.190,318.0
RHD43D99,2025-03-17 22:55:58.190,318.0
GZSL9G2E,2025-03-17 22:55:58.190,318.0
YEQ4YKKV,2025-03-17 22:55:58.190,318.0
TNAVFGLQ,2025-03-17 22:55:58.190,318.0
YFFCUO06,2025-03-17 22:55:58.428,157.0
7GGQR0PQ,2025-03-17 22:55:58.428,157.0
ET8GNDVU,2025-03-17 22:55:58.428,157.0
H2X0U234,2025-03-17 22:55:58.440,88.0
JKFXTMMJ,2025-03-17 22:55:58.452,354.0
DJQNSET7,2025-03-17 22:55:58.452,354.0
8LS9EW35,2025-03-17 22:55:58.452,354.0
XI49UNR7,2025-03-17 22:55:58.452,354.0
D1C2OCP0,2025-03-17 22:55:58.452,354.0
1LR6CMAS,2025-03-17 22:55:58.514,200.0
PJ53P4DX,2025-03-17 22:55:58.514,200.0
16Y7FW89,2025-03-17 22:55:58.514,200.0
G56AA4PH,2025-03-17 22:55:58.514,200.0
E043M765,2025-03-17 22:55:58.594,64.0
YBKLYEO7,2025-03-17 22:55:58.599,80.0
YOGC70P6,2025-03-17 22:55:58.664,66.0
W0ETP5RR,2025-03-17 22:55:58.681,78.0
3HTXPS3D,2025-03-17 22:55:58.760,65.0
DQYG85ZI,2025-03-17 22:55:58.794,66.0
VMO2UKH7,2025-03-17 22:55:58.819,239.0
VKJ6SX84,2025-03-17 22:55:58.819,239.0
MARDDZVQ,2025-03-17 22:55:58.819,239.0
ODSFT1GI,2025-03-17 22:55:58.819,239.0
EGHTUX68,2025-03-17 22:55:58.819,239.0
OX6P6ZJO,2025-03-17 22:55:58.857,65.0
MN4DORHO,2025-03-17 22:55:58.863,64.0
W0LXT6IR,2025-03-17 22:55:58.930,64.0
D53ECKTN,2025-03-17 22:55:58.984,64.0
F36AKWC3,2025-03-17 22:55:58.997,67.0
6E5JVD6U,2025-03-17 22:55:59.050,71.0
29KDBM9C,2025-03-17 22:55:59.062,120.0
255EYKNU,2025-03-17 22:55:59.062,120.0
SAYB44DX,2025-03-17 22:55:59.080,65.0
X1SFR3S6,2025-03-17 22:55:59.144,63.0
5AKRVPXY,2025-03-17 22:55:59.148,60.0
K5VPP8D9,2025-03-17 22:55:59.209,66.0
MZ380KHS,2025-03-17 22:55:59.210,62.0
WMVEI2HL,2025-03-17 22:55:59.241,66.0
MEU3A224,2025-03-17 22:55:59.306,64.0
TG4DFXJD,2025-03-17 22:55:59.309,64.0
JTLX3EV6,2025-03-17 22:55:59.339,66.0
1W3EHKNS,2025-03-17 22:55:59.376,60.0
FC6Z2Q49,2025-03-17 22:55:59.434,64.0
6B9F6YKF,2025-03-17 22:55:59.439,62.0
SPW1C99X,2025-03-17 22:55:59.502,103.0
Q1YWD5OI,2025-03-17 22:55:59.502,103.0
T1FQP585,2025-03-17 22:55:59.531,67.0
L329PZ70,2025-03-17 22:55:59.605,107.0
O6UMQ2BV,2025-03-17 22:55:59.605,107.0
XGRVXTD4,2025-03-17 22:55:59.627,64.0
B22XLB38,2025-03-17 22:55:59.660,68.0
WC5H4JN3,2025-03-17 22:55:59.715,59.0
WL23Y0ZO,2025-03-17 22:55:59.730,63.0
A0VYDE78,2025-03-17 22:55:59.756,69.0
QZPXG1TY,2025-03-17 22:55:59.797,63.0
JPLYS93K,2025-03-17 22:55:59.827,61.0
Y6147O94,2025-03-17 22:55:59.854,67.0
HYPMJA5K,2025-03-17 22:55:59.886,73.0
ZJ5HGTB9,2025-03-17 22:55:59.923,60.0
