#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.541            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        31.126            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        38.167            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.167            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.158            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.167            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.155            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.167            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.069            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.069            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.158            
GPU 0     58                7                 0.000        0.000        0.000        0.000        0.000        155.451           
GPU 0     85                11                0.312        0.293        0.106        0.000        0.031        133.281           
GPU 0     93                12                0.841        0.762        0.233        0.001        0.089        154.889           
GPU 0     95                12                0.824        0.732        0.205        0.001        0.085        68.389            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     93                12                0.697        0.615        0.167        0.000        0.071        163.883           
GPU 0     94                12                0.818        0.734        0.214        0.001        0.084        164.972           
GPU 0     49                6                 0.841        0.761        0.235        0.001        0.086        155.859           
GPU 0     93                12                0.800        0.728        0.219        0.001        0.084        165.069           
GPU 0     89                12                0.852        0.774        0.230        0.001        0.090        173.281           
GPU 0     94                12                0.756        0.675        0.191        0.000        0.080        147.212           
GPU 0     48                6                 0.816        0.725        0.205        0.001        0.082        90.600            
GPU 0     96                13                0.812        0.734        0.223        0.001        0.085        166.258           
GPU 0     97                17                0.872        0.782        0.231        0.001        0.089        165.954           
GPU 0     93                12                0.860        0.787        0.248        0.001        0.094        169.804           
GPU 0     60                7                 0.784        0.712        0.216        0.000        0.084        163.049           
GPU 0     94                13                0.792        0.700        0.197        0.000        0.079        166.799           
GPU 0     33                4                 0.798        0.722        0.215        0.000        0.085        164.097           
GPU 0     89                12                0.817        0.731        0.212        0.001        0.084        181.630           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     72                9                 0.850        0.769        0.229        0.001        0.090        147.155           
GPU 0     70                9                 0.784        0.700        0.198        0.000        0.081        175.273           
GPU 0     90                11                0.800        0.719        0.207        0.000        0.084        172.059           
GPU 0     92                12                0.832        0.753        0.232        0.001        0.087        138.246           
GPU 0     90                11                0.775        0.701        0.213        0.000        0.084        177.885           
GPU 0     0                 0                 0.730        0.646        0.184        0.000        0.073        41.546            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        41.448            
