#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        26.433            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.626            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.633            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.633            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.662            
GPU 0     95                18                0.001        0.000        0.000        0.000        0.000        171.196           
GPU 0     96                20                0.859        0.829        0.347        0.001        0.116        165.917           
GPU 0     94                15                0.953        0.923        0.385        0.001        0.139        173.182           
GPU 0     90                11                0.903        0.865        0.344        0.001        0.121        154.060           
GPU 0     96                17                0.916        0.867        0.320        0.001        0.122        152.980           
GPU 0     98                16                0.950        0.923        0.387        0.001        0.137        168.984           
GPU 0     96                16                0.960        0.938        0.400        0.001        0.137        178.934           
GPU 0     100               21                0.915        0.871        0.346        0.001        0.124        118.193           
GPU 0     73                10                0.954        0.925        0.368        0.001        0.136        92.445            
GPU 0     94                17                0.944        0.913        0.374        0.001        0.139        173.582           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               17                0.894        0.847        0.299        0.001        0.110        164.178           
GPU 0     96                16                0.956        0.928        0.380        0.001        0.133        173.084           
GPU 0     100               17                0.914        0.882        0.362        0.001        0.126        165.544           
GPU 0     97                15                0.957        0.933        0.401        0.001        0.140        166.733           
GPU 0     95                18                0.890        0.856        0.327        0.001        0.118        163.238           
GPU 0     96                16                0.896        0.867        0.357        0.001        0.135        170.956           
GPU 0     94                17                0.879        0.835        0.321        0.001        0.123        169.413           
GPU 0     94                13                0.953        0.924        0.376        0.001        0.131        159.459           
GPU 0     100               22                0.949        0.910        0.369        0.001        0.125        172.412           
GPU 0     94                15                0.940        0.900        0.347        0.001        0.135        173.872           
GPU 0     96                14                0.926        0.890        0.350        0.001        0.129        161.467           
GPU 0     97                18                0.949        0.914        0.369        0.001        0.131        167.407           
GPU 0     100               17                0.934        0.902        0.359        0.001        0.135        169.368           
GPU 0     96                20                0.924        0.879        0.344        0.001        0.130        167.699           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     94                17                0.956        0.930        0.405        0.001        0.139        169.166           
GPU 0     0                 0                 0.958        0.934        0.387        0.001        0.140        37.719            
GPU 0     0                 0                 0.277        0.267        0.107        0.000        0.038        37.329            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.925            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.730            
