#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.910            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.760            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.213            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.004        27.821            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.828            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.533            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        35.052            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.052            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.044            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.955            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.044            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.946            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.052            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.053            
GPU 0     64                11                0.000        0.000        0.000        0.000        0.000        169.747           
GPU 0     81                15                0.451        0.416        0.197        0.002        0.054        170.101           
GPU 0     54                10                0.684        0.638        0.298        0.003        0.100        82.625            
GPU 0     62                12                0.673        0.627        0.279        0.003        0.101        195.566           
GPU 0     50                10                0.679        0.633        0.275        0.003        0.102        180.165           
GPU 0     62                11                0.655        0.601        0.255        0.003        0.093        165.405           
GPU 0     80                14                0.686        0.641        0.280        0.003        0.102        120.306           
GPU 0     66                12                0.663        0.619        0.272        0.003        0.101        64.600            
GPU 0     83                16                0.675        0.629        0.273        0.003        0.103        90.559            
GPU 0     50                9                 0.673        0.627        0.280        0.003        0.100        185.840           
GPU 0     48                9                 0.656        0.609        0.291        0.003        0.095        84.546            
GPU 0     68                14                0.676        0.628        0.298        0.003        0.099        170.008           
GPU 0     86                15                0.677        0.633        0.287        0.003        0.107        87.653            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     85                14                0.695        0.649        0.303        0.003        0.104        167.905           
GPU 0     58                11                0.673        0.627        0.274        0.003        0.100        71.097            
GPU 0     92                16                0.688        0.640        0.285        0.003        0.101        153.788           
GPU 0     57                11                0.689        0.644        0.294        0.003        0.104        159.844           
GPU 0     58                11                0.679        0.633        0.285        0.003        0.105        160.475           
GPU 0     96                16                0.661        0.606        0.248        0.003        0.095        169.078           
GPU 0     73                12                0.687        0.640        0.290        0.003        0.102        88.410            
GPU 0     48                10                0.690        0.641        0.303        0.003        0.099        78.568            
GPU 0     61                13                0.645        0.594        0.259        0.003        0.094        169.714           
GPU 0     0                 0                 0.681        0.637        0.288        0.003        0.107        66.283            
GPU 0     0                 0                 0.583        0.543        0.245        0.003        0.088        36.437            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.230            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        36.034            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.746            
