#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.534            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.274            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        35.080            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.884            
GPU 0     64                9                 0.368        0.319        0.111        0.001        0.039        177.783           
GPU 0     50                7                 0.426        0.356        0.107        0.002        0.050        99.931            
GPU 0     54                8                 0.402        0.332        0.094        0.001        0.047        107.796           
GPU 0     28                4                 0.407        0.342        0.105        0.002        0.048        112.023           
GPU 0     49                8                 0.523        0.445        0.142        0.002        0.063        69.742            
GPU 0     18                2                 0.418        0.349        0.105        0.002        0.050        137.675           
GPU 0     59                9                 0.465        0.389        0.117        0.002        0.056        72.718            
GPU 0     33                5                 0.391        0.325        0.094        0.001        0.046        138.819           
GPU 0     49                7                 0.454        0.381        0.116        0.002        0.054        130.910           
GPU 0     43                6                 0.426        0.356        0.105        0.002        0.050        87.445            
GPU 0     60                9                 0.496        0.421        0.135        0.002        0.059        124.303           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     72                11                0.483        0.411        0.130        0.002        0.058        88.332            
GPU 0     59                9                 0.427        0.362        0.115        0.002        0.051        153.616           
GPU 0     54                8                 0.427        0.362        0.115        0.002        0.051        64.320            
GPU 0     20                3                 0.556        0.476        0.150        0.002        0.069        67.070            
GPU 0     70                10                0.322        0.266        0.074        0.001        0.038        65.906            
GPU 0     40                6                 0.408        0.341        0.099        0.002        0.048        131.911           
GPU 0     53                8                 0.389        0.323        0.092        0.001        0.046        107.750           
GPU 0     53                8                 0.474        0.397        0.121        0.002        0.056        143.269           
GPU 0     65                9                 0.412        0.340        0.096        0.002        0.048        124.285           
GPU 0     51                7                 0.432        0.358        0.102        0.002        0.051        187.668           
GPU 0     66                10                0.434        0.360        0.104        0.002        0.051        65.003            
GPU 0     0                 0                 0.373        0.310        0.091        0.001        0.044        36.864            
