id,enter_time_str,latency
1206WFIL,2025-04-01 04:52:42.824,321.0
8LZ34SQR,2025-04-01 04:52:43.146,176.0
MJ8WKPLM,2025-04-01 04:52:43.146,176.0
RD1VRH3Y,2025-04-01 04:52:43.146,176.0
1H4D4389,2025-04-01 04:52:43.146,176.0
W54QOLYL,2025-04-01 04:52:43.146,176.0
RUXMR2U2,2025-04-01 04:52:43.146,176.0
U97XHM1N,2025-04-01 04:52:43.146,176.0
U9HQ877X,2025-04-01 04:52:43.146,176.0
QB2S5SIC,2025-04-01 04:52:43.324,180.0
XAQOXE6H,2025-04-01 04:52:43.324,180.0
IA4A50AW,2025-04-01 04:52:43.324,180.0
GO3YBLNT,2025-04-01 04:52:43.324,180.0
O9PJ6FUX,2025-04-01 04:52:43.324,180.0
Y176Q5QA,2025-04-01 04:52:43.324,180.0
2UY5MC3G,2025-04-01 04:52:43.324,180.0
X0NJONVO,2025-04-01 04:52:43.324,180.0
0ZZOJ3L8,2025-04-01 04:52:43.324,180.0
XAKQXBHB,2025-04-01 04:52:43.505,152.0
RWL6KZB5,2025-04-01 04:52:43.505,152.0
1GY8ROXB,2025-04-01 04:52:43.505,152.0
MQTCYQPN,2025-04-01 04:52:43.505,152.0
DY00A3ZR,2025-04-01 04:52:43.505,152.0
O3PLS5YG,2025-04-01 04:52:43.505,152.0
AO5CA0M3,2025-04-01 04:52:43.505,152.0
ZBDTQTIR,2025-04-01 04:52:43.658,179.0
9DROJNK5,2025-04-01 04:52:43.658,179.0
OFB0RDMC,2025-04-01 04:52:43.658,179.0
COMJF7M6,2025-04-01 04:52:43.658,179.0
I0HNTOTR,2025-04-01 04:52:43.658,179.0
IDCRUELP,2025-04-01 04:52:43.658,179.0
GC1SCRUO,2025-04-01 04:52:43.658,179.0
PM4WL4YQ,2025-04-01 04:52:43.658,179.0
BB6V5EGG,2025-04-01 04:52:43.658,179.0
418NJ5PN,2025-04-01 04:52:43.839,116.0
5B3KMKJ0,2025-04-01 04:52:43.839,116.0
JZE9ZX5X,2025-04-01 04:52:43.839,116.0
WTPHE1VH,2025-04-01 04:52:43.839,116.0
A9SO15J7,2025-04-01 04:52:43.839,116.0
29DR56Z4,2025-04-01 04:52:43.839,116.0
43BVQNDA,2025-04-01 04:52:43.957,122.0
DMLAAIXV,2025-04-01 04:52:43.957,122.0
C7E5NI60,2025-04-01 04:52:43.957,122.0
VCXJASEI,2025-04-01 04:52:43.957,122.0
WWZZKWWO,2025-04-01 04:52:43.957,122.0
T84P07DH,2025-04-01 04:52:43.957,122.0
DU92UIAJ,2025-04-01 04:52:44.080,83.0
MX7KI0BH,2025-04-01 04:52:44.080,83.0
O3QIRMS7,2025-04-01 04:52:44.080,83.0
UYGD1696,2025-04-01 04:52:44.080,83.0
6ET3FC4E,2025-04-01 04:52:44.164,45.0
6RMOQ0GT,2025-04-01 04:52:44.164,45.0
YZV2QZ6B,2025-04-01 04:52:44.210,50.0
BLX6L4ZP,2025-04-01 04:52:44.210,50.0
D229VB58,2025-04-01 04:52:44.261,27.0
ZGMCHS9L,2025-04-01 04:52:44.288,25.0
MIFDFBTD,2025-04-01 04:52:44.313,26.0
86JD2B3W,2025-04-01 04:52:44.340,25.0
H7R8ODLC,2025-04-01 04:52:44.369,26.0
P70QGYD4,2025-04-01 04:52:44.397,25.0
JQVR3D0Z,2025-04-01 04:52:44.427,24.0
