id,enter_time_str,latency
AA71RKME,2025-04-01 04:48:51.477,123.0
O3HBOYIS,2025-04-01 04:48:51.811,5.0
2ER3YF3E,2025-04-01 04:48:51.817,8.0
4M53YIU1,2025-04-01 04:48:51.826,15.0
SN4NQS4F,2025-04-01 04:48:51.826,15.0
JLO3JHPA,2025-04-01 04:48:51.826,15.0
W9EDBWPE,2025-04-01 04:48:51.826,15.0
DB1INTYO,2025-04-01 04:48:51.826,15.0
FQT3EI0Z,2025-04-01 04:48:51.826,15.0
RBYIVZK4,2025-04-01 04:48:51.842,9.0
J9ZOL4Q5,2025-04-01 04:48:51.842,9.0
1425LH0F,2025-04-01 04:48:51.842,9.0
XZMAHZGS,2025-04-01 04:48:52.291,4.0
45Q77MIS,2025-04-01 04:48:52.300,4.0
FJVKRRGT,2025-04-01 04:48:52.304,7.0
PIG5339E,2025-04-01 04:48:52.304,7.0
UP5XG2NW,2025-04-01 04:48:52.346,6.0
JB4QN70I,2025-04-01 04:48:52.353,14.0
4FM32888,2025-04-01 04:48:52.353,14.0
QKJEC7US,2025-04-01 04:48:52.353,14.0
0YH22UY5,2025-04-01 04:48:52.353,14.0
V4V8MRAJ,2025-04-01 04:48:52.353,14.0
IJJQ3IO6,2025-04-01 04:48:52.353,14.0
TZ35HOLR,2025-04-01 04:48:52.353,14.0
2XCKQV82,2025-04-01 04:48:52.353,14.0
N3R8Y8HW,2025-04-01 04:48:52.353,14.0
8NNOC9GZ,2025-04-01 04:48:52.668,9.0
7G3GYQ0Y,2025-04-01 04:48:52.678,12.0
7BNVBLMA,2025-04-01 04:48:52.678,12.0
DYQM7RAX,2025-04-01 04:48:52.678,12.0
KOAEER7I,2025-04-01 04:48:52.678,12.0
7E4ZSQ14,2025-04-01 04:48:52.678,12.0
UXQJ1Y14,2025-04-01 04:48:52.678,12.0
OCL1ZC0X,2025-04-01 04:48:52.691,16.0
AL1ATVY1,2025-04-01 04:48:52.691,16.0
C7WG2HBL,2025-04-01 04:48:52.691,16.0
FUACVE2Z,2025-04-01 04:48:52.691,16.0
R9C7E06W,2025-04-01 04:48:52.691,16.0
ILOA3N79,2025-04-01 04:48:52.691,16.0
QXJJKON4,2025-04-01 04:48:52.691,16.0
GC7C74BR,2025-04-01 04:48:52.691,16.0
9GC9Y585,2025-04-01 04:48:52.708,9.0
YIHOAIVI,2025-04-01 04:48:53.033,9.0
A0C8YSP5,2025-04-01 04:48:53.043,12.0
JXZNJDDI,2025-04-01 04:48:53.043,12.0
24A0EB2Y,2025-04-01 04:48:53.043,12.0
AO3IS0A3,2025-04-01 04:48:53.043,12.0
YOEPYRXQ,2025-04-01 04:48:53.043,12.0
L11M9JQ1,2025-04-01 04:48:53.043,12.0
1QVCMMZ8,2025-04-01 04:48:53.056,14.0
8UQSOP57,2025-04-01 04:48:53.056,14.0
9BF8ICU6,2025-04-01 04:48:53.056,14.0
HTFQLT25,2025-04-01 04:48:53.056,14.0
R1EPGSQJ,2025-04-01 04:48:53.056,14.0
ROF6SAL7,2025-04-01 04:48:53.056,14.0
MWQ4QWVJ,2025-04-01 04:48:53.056,14.0
KTNJSBBV,2025-04-01 04:48:53.070,8.0
0AP99W2S,2025-04-01 04:48:53.070,8.0
3JAXK0WT,2025-04-01 04:48:53.396,8.0
U097Y6V2,2025-04-01 04:48:53.405,14.0
1MDL5660,2025-04-01 04:48:53.405,14.0
HGZHMPVS,2025-04-01 04:48:53.405,14.0
WPZNIBYM,2025-04-01 04:48:53.405,14.0
0BZZ2FKO,2025-04-01 04:48:53.405,14.0
P8RDAHUG,2025-04-01 04:48:53.422,20.0
64Y2VPPH,2025-04-01 04:48:53.422,20.0
8D8J4V37,2025-04-01 04:48:53.422,20.0
72ZR7RPC,2025-04-01 04:48:53.422,20.0
TERYM6P8,2025-04-01 04:48:53.422,20.0
OHRTUHOY,2025-04-01 04:48:53.422,20.0
2E8BJOH3,2025-04-01 04:48:53.422,20.0
5FYISLVM,2025-04-01 04:48:53.422,20.0
JJ8WHP6C,2025-04-01 04:48:53.422,20.0
HEPB9ZJL,2025-04-01 04:48:53.422,20.0
FAYJZ04V,2025-04-01 04:48:53.761,12.0
52IUJV98,2025-04-01 04:48:53.774,14.0
H7XGS0PX,2025-04-01 04:48:53.774,14.0
QU8G51KD,2025-04-01 04:48:53.774,14.0
AG6TEZWA,2025-04-01 04:48:53.774,14.0
6CHGNYL0,2025-04-01 04:48:53.774,14.0
VYICSVYL,2025-04-01 04:48:53.774,14.0
KNJJ4FPP,2025-04-01 04:48:53.774,14.0
9QEP3ZRT,2025-04-01 04:48:53.789,14.0
2FIVLMQ7,2025-04-01 04:48:53.789,14.0
JYDBX3CX,2025-04-01 04:48:53.789,14.0
0FYNVQT7,2025-04-01 04:48:53.789,14.0
KQ42VKXJ,2025-04-01 04:48:53.789,14.0
AWG2HEWP,2025-04-01 04:48:53.789,14.0
TEFYOZBJ,2025-04-01 04:48:53.789,14.0
98C62X6L,2025-04-01 04:48:53.789,14.0
D9WJ0DZW,2025-04-01 04:48:54.124,4.0
L0CE3BE6,2025-04-01 04:48:54.129,9.0
9CLLD2CY,2025-04-01 04:48:54.129,9.0
2ZOO8Y13,2025-04-01 04:48:54.139,17.0
22THXVXW,2025-04-01 04:48:54.139,17.0
MO7C2EWB,2025-04-01 04:48:54.139,17.0
RY4OVIQU,2025-04-01 04:48:54.139,17.0
YV4YU46K,2025-04-01 04:48:54.139,17.0
2FJ0026H,2025-04-01 04:48:54.139,17.0
SJA3FTLG,2025-04-01 04:48:54.139,17.0
S2PYVF43,2025-04-01 04:48:54.139,17.0
MHCL76W6,2025-04-01 04:48:54.157,10.0
89SMUF31,2025-04-01 04:48:54.157,10.0
W0U73C5K,2025-04-01 04:48:54.157,10.0
7IN167BW,2025-04-01 04:48:54.157,10.0
W8LRVRXB,2025-04-01 04:48:54.157,10.0
NN450W5D,2025-04-01 04:48:54.477,3.0
C88FWFWO,2025-04-01 04:48:54.481,8.0
JBYT8GSI,2025-04-01 04:48:54.490,12.0
HCJC7J3P,2025-04-01 04:48:54.490,12.0
5QLLPL3W,2025-04-01 04:48:54.490,12.0
0VQ18R4T,2025-04-01 04:48:54.490,12.0
X9D0EKII,2025-04-01 04:48:54.490,12.0
SNEA2L97,2025-04-01 04:48:54.503,12.0
1TD936GV,2025-04-01 04:48:54.503,12.0
AJIK967D,2025-04-01 04:48:54.503,12.0
BCQVUHH6,2025-04-01 04:48:54.503,12.0
2KU10IUS,2025-04-01 04:48:54.503,12.0
TOVY5QF9,2025-04-01 04:48:54.503,12.0
W410VVVS,2025-04-01 04:48:54.516,7.0
WF6PQ86A,2025-04-01 04:48:54.516,7.0
F1G1TLFE,2025-04-01 04:48:54.516,7.0
48TP2U9I,2025-04-01 04:48:54.836,6.0
VV33M4G6,2025-04-01 04:48:54.843,6.0
7YJSE2GG,2025-04-01 04:48:54.843,6.0
UMIU4J88,2025-04-01 04:48:54.843,6.0
65VV8QTB,2025-04-01 04:48:54.850,6.0
5O0PV6IN,2025-04-01 04:48:54.856,3.0
QZD3WCKO,2025-04-01 04:48:54.878,4.0
6VSX3B3H,2025-04-01 04:48:54.883,10.0
8ODUTJBK,2025-04-01 04:48:54.894,13.0
HL0ZIHCE,2025-04-01 04:48:54.894,13.0
GBELU1D6,2025-04-01 04:48:54.894,13.0
IDQOCF29,2025-04-01 04:48:54.894,13.0
A3KSR8SQ,2025-04-01 04:48:54.894,13.0
HI7Q0JLV,2025-04-01 04:48:54.894,13.0
007BXJ38,2025-04-01 04:48:54.894,13.0
HYWEPOA5,2025-04-01 04:48:54.894,13.0
SAQUR87K,2025-04-01 04:48:55.179,5.0
0LM42XIE,2025-04-01 04:48:55.185,6.0
LULSUFTS,2025-04-01 04:48:55.185,6.0
I4M4ZQWW,2025-04-01 04:48:55.191,10.0
OVP3F2RG,2025-04-01 04:48:55.191,10.0
CZHD2139,2025-04-01 04:48:55.202,10.0
AFNY7UEB,2025-04-01 04:48:55.202,10.0
LYTQ6XUV,2025-04-01 04:48:55.202,10.0
4SKLY32S,2025-04-01 04:48:55.202,10.0
AYYJKBEK,2025-04-01 04:48:55.213,11.0
ZWOQGCYS,2025-04-01 04:48:55.213,11.0
ZHYZ3BJC,2025-04-01 04:48:55.213,11.0
NJ3BI6YK,2025-04-01 04:48:55.213,11.0
DL656JK8,2025-04-01 04:48:55.213,11.0
830TWDLE,2025-04-01 04:48:55.213,11.0
HF2JJTK0,2025-04-01 04:48:55.493,6.0
CBTVLHW4,2025-04-01 04:48:55.500,7.0
LGY09TLH,2025-04-01 04:48:55.500,7.0
W3H9OF1C,2025-04-01 04:48:55.500,7.0
HBWJXPQG,2025-04-01 04:48:55.508,8.0
FKJSUMY4,2025-04-01 04:48:55.508,8.0
ZKQD29DA,2025-04-01 04:48:55.508,8.0
VJRJXM7T,2025-04-01 04:48:55.517,9.0
I78R3B75,2025-04-01 04:48:55.517,9.0
UFELLDUS,2025-04-01 04:48:55.517,9.0
AOK3XNFD,2025-04-01 04:48:55.527,7.0
H1T2TL0Q,2025-04-01 04:48:55.527,7.0
62UB5K2X,2025-04-01 04:48:55.527,7.0
K1PBJSLY,2025-04-01 04:48:55.527,7.0
UKBW4BU4,2025-04-01 04:48:55.789,5.0
BXIOZORY,2025-04-01 04:48:55.794,10.0
QXDHFMNS,2025-04-01 04:48:55.794,10.0
PI7WMMGK,2025-04-01 04:48:55.794,10.0
CL2XGMZJ,2025-04-01 04:48:55.805,12.0
G442JBWN,2025-04-01 04:48:55.805,12.0
AQWELILP,2025-04-01 04:48:55.805,12.0
YE5S0S3V,2025-04-01 04:48:55.805,12.0
C5KCFXMJ,2025-04-01 04:48:55.805,12.0
KIMPXUCF,2025-04-01 04:48:55.805,12.0
P3LA2FV9,2025-04-01 04:48:55.805,12.0
YTQ10P0I,2025-04-01 04:48:55.818,7.0
HMR0JLFQ,2025-04-01 04:48:55.818,7.0
8BJN824L,2025-04-01 04:48:56.079,5.0
AR01J7NH,2025-04-01 04:48:56.084,8.0
IKZLO1AY,2025-04-01 04:48:56.092,9.0
FWH7B5GA,2025-04-01 04:48:56.092,9.0
S7JFLL0P,2025-04-01 04:48:56.092,9.0
XDVMBWDS,2025-04-01 04:48:56.092,9.0
1WJAOJV5,2025-04-01 04:48:56.092,9.0
L6YNDHQN,2025-04-01 04:48:56.101,9.0
BOYJFGFR,2025-04-01 04:48:56.101,9.0
P5CJT8FG,2025-04-01 04:48:56.101,9.0
5M5GGM3E,2025-04-01 04:48:56.101,9.0
XTTYI2U4,2025-04-01 04:48:56.111,5.0
II5LWYT1,2025-04-01 04:48:56.111,5.0
SU04PJBL,2025-04-01 04:48:56.348,3.0
36EXEB55,2025-04-01 04:48:56.352,6.0
K2TQB9EK,2025-04-01 04:48:56.360,7.0
J361IYI6,2025-04-01 04:48:56.360,7.0
PWEZMT9K,2025-04-01 04:48:56.360,7.0
I8204PZG,2025-04-01 04:48:56.369,10.0
CRDX0JDJ,2025-04-01 04:48:56.369,10.0
UVXUJ487,2025-04-01 04:48:56.369,10.0
G7XZFIZR,2025-04-01 04:48:56.369,10.0
EN2WA83W,2025-04-01 04:48:56.369,10.0
G6T70OOU,2025-04-01 04:48:56.369,10.0
5UCTUZ8K,2025-04-01 04:48:56.369,10.0
PKXKOG1N,2025-04-01 04:48:56.601,5.0
3GEBAEW1,2025-04-01 04:48:56.606,8.0
A44JJ083,2025-04-01 04:48:56.606,8.0
YDBG5SQI,2025-04-01 04:48:56.614,11.0
C8QYD9LQ,2025-04-01 04:48:56.614,11.0
WE1051G6,2025-04-01 04:48:56.614,11.0
9FXCVF5X,2025-04-01 04:48:56.614,11.0
G3CP9CAT,2025-04-01 04:48:56.625,8.0
NZB04YWZ,2025-04-01 04:48:56.625,8.0
CW4T8Q0D,2025-04-01 04:48:56.625,8.0
0O6VTEMD,2025-04-01 04:48:56.625,8.0
Y4XA6CYS,2025-04-01 04:48:56.868,5.0
