id,enter_time_str,latency
Y44HZX6H,2025-04-01 04:44:06.509,778.0
WDED55OE,2025-04-01 04:44:06.526,1121.0
V2ZFZ63N,2025-04-01 04:44:06.547,1294.0
PT3WMYD1,2025-04-01 04:44:06.583,1258.0
0SI5MKJB,2025-04-01 04:44:06.588,1254.0
G477QVVR,2025-04-01 04:44:06.601,1240.0
BBDIJM4Y,2025-04-01 04:44:06.620,1222.0
G9PO8QHA,2025-04-01 04:44:06.639,1321.0
Y0ETT3GA,2025-04-01 04:44:06.658,1184.0
8JTIN6HL,2025-04-01 04:44:06.676,1167.0
M9WDQ6VE,2025-04-01 04:44:06.697,1263.0
MGXZSHZ0,2025-04-01 04:44:06.715,1247.0
8IOLWURI,2025-04-01 04:44:06.740,1220.0
5NLP1H61,2025-04-01 04:44:06.753,1208.0
U1NYFG68,2025-04-01 04:44:06.774,1355.0
I6A6INUU,2025-04-01 04:44:06.812,1735.0
6308CCTN,2025-04-01 04:44:06.812,1737.0
QRKQTVLB,2025-04-01 04:44:06.837,1334.0
8EH9LB8P,2025-04-01 04:44:06.854,1694.0
RVI4YUGR,2025-04-01 04:44:06.873,1674.0
831M9JLJ,2025-04-01 04:44:06.891,1657.0
QEO7PTNS,2025-04-01 04:44:06.912,1638.0
JQNMIR8R,2025-04-01 04:44:06.931,1618.0
KEPES7Y3,2025-04-01 04:44:06.950,1598.0
HDEBHZEH,2025-04-01 04:44:06.970,1580.0
DRGK6876,2025-04-01 04:44:06.989,1563.0
MXKF0B58,2025-04-01 04:44:07.009,1544.0
UGLHWAKZ,2025-04-01 04:44:07.029,1521.0
UMUU9M7Q,2025-04-01 04:44:07.049,1502.0
B88TK773,2025-04-01 04:44:07.069,1482.0
AR9Y5VGE,2025-04-01 04:44:07.088,1465.0
X0CGROBS,2025-04-01 04:44:07.109,1717.0
F924BZZW,2025-04-01 04:44:07.128,1701.0
CQ70R2XX,2025-04-01 04:44:07.149,2390.0
3YAPTHUM,2025-04-01 04:44:07.167,1660.0
ZC5CCCH0,2025-04-01 04:44:07.187,2855.0
U7NT3DVP,2025-04-01 04:44:07.206,1620.0
FVISNFTH,2025-04-01 04:44:07.226,2979.0
W06013YE,2025-04-01 04:44:07.246,2291.0
J2UE1YG7,2025-04-01 04:44:07.266,1562.0
J60QVF1J,2025-04-01 04:44:07.286,2757.0
DACOA4OM,2025-04-01 04:44:07.306,1246.0
GK9KIEA9,2025-04-01 04:44:07.325,1228.0
Y7UM2622,2025-04-01 04:44:07.345,1893.0
18RF9AK8,2025-04-01 04:44:07.365,2178.0
JALB5AJP,2025-04-01 04:44:07.387,1439.0
O9GTB0G6,2025-04-01 04:44:07.404,2134.0
MGHT1U65,2025-04-01 04:44:07.425,2115.0
MU9IN3QV,2025-04-01 04:44:07.444,1384.0
HQCJAQPG,2025-04-01 04:44:07.464,2581.0
ZBZAU86J,2025-04-01 04:44:07.484,1344.0
V2ADSRCK,2025-04-01 04:44:07.504,1327.0
C4YFM9FK,2025-04-01 04:44:07.524,1303.0
FKO9E5GE,2025-04-01 04:44:07.543,3340.0
N6L3S2XB,2025-04-01 04:44:07.563,1980.0
FE09SSL0,2025-04-01 04:44:07.584,1244.0
BAYBUO6D,2025-04-01 04:44:07.603,1227.0
OU0TWMXZ,2025-04-01 04:44:07.622,1208.0
DUQQGX0L,2025-04-01 04:44:07.643,2400.0
23E2KE4V,2025-04-01 04:44:07.662,5081.0
WLX84Z07,2025-04-01 04:44:07.682,5760.0
J8VEEX8Z,2025-04-01 04:44:07.701,5045.0
XZ4IX635,2025-04-01 04:44:07.722,1513.0
XPJA6CZM,2025-04-01 04:44:07.741,1491.0
9HI3R294,2025-04-01 04:44:07.762,1472.0
6AOSMKBC,2025-04-01 04:44:07.780,1458.0
ZW48VV8G,2025-04-01 04:44:07.800,1435.0
PH6MB9D2,2025-04-01 04:44:07.821,1412.0
5LDCA0RI,2025-04-01 04:44:07.840,1392.0
Q703YDAR,2025-04-01 04:44:07.859,2344.0
5ST82KLL,2025-04-01 04:44:07.879,1355.0
RRY6041E,2025-04-01 04:44:07.900,1333.0
8G27395H,2025-04-01 04:44:07.920,1621.0
JBICSTJR,2025-04-01 04:44:07.939,1297.0
N8T8PXY9,2025-04-01 04:44:07.959,1277.0
QLT4TJU9,2025-04-01 04:44:07.979,1258.0
2Z0G1KGS,2025-04-01 04:44:07.999,1234.0
JM67CKCO,2025-04-01 04:44:08.019,1214.0
UX5GJDGI,2025-04-01 04:44:08.038,1507.0
BPWUI68L,2025-04-01 04:44:08.058,2146.0
XXBVFFAO,2025-04-01 04:44:08.079,1155.0
YRUH7O1C,2025-04-01 04:44:08.098,1137.0
OA9XU2UG,2025-04-01 04:44:08.118,1120.0
FS5OSGC8,2025-04-01 04:44:08.137,1100.0
PACHJX4J,2025-04-01 04:44:08.158,4587.0
77LE4QCP,2025-04-01 04:44:08.178,2895.0
9EI10H3X,2025-04-01 04:44:08.198,1339.0
YMKRVU6K,2025-04-01 04:44:08.218,1321.0
1G1X46DM,2025-04-01 04:44:08.238,1572.0
40BI4RB9,2025-04-01 04:44:08.257,1284.0
9MHBQ4K3,2025-04-01 04:44:08.278,1262.0
5FVTXRTK,2025-04-01 04:44:08.296,1745.0
1L0S2107,2025-04-01 04:44:08.317,1495.0
7BWTIEX0,2025-04-01 04:44:08.337,1207.0
N517ITQK,2025-04-01 04:44:08.357,1913.0
CG9E3O75,2025-04-01 04:44:08.376,1433.0
L742ROC3,2025-04-01 04:44:08.396,2678.0
BTCYP40J,2025-04-01 04:44:08.415,5028.0
Y6UYNOT3,2025-04-01 04:44:08.436,1372.0
P42P7S4H,2025-04-01 04:44:08.455,1355.0
