id,enter_time_str,latency
Y44HZX6H,2025-04-01 04:44:06.551,107.0
WDED55OE,2025-04-01 04:44:06.660,20.0
V2ZFZ63N,2025-04-01 04:44:06.660,20.0
0SI5MKJB,2025-04-01 04:44:06.660,20.0
G477QVVR,2025-04-01 04:44:06.660,20.0
PT3WMYD1,2025-04-01 04:44:06.660,20.0
BBDIJM4Y,2025-04-01 04:44:06.660,20.0
Y0ETT3GA,2025-04-01 04:44:06.681,27.0
G9PO8QHA,2025-04-01 04:44:06.681,27.0
8JTIN6HL,2025-04-01 04:44:06.708,12.0
MGXZSHZ0,2025-04-01 04:44:06.725,11.0
M9WDQ6VE,2025-04-01 04:44:06.736,11.0
5NLP1H61,2025-04-01 04:44:06.763,10.0
8IOLWURI,2025-04-01 04:44:06.781,10.0
U1NYFG68,2025-04-01 04:44:06.809,10.0
I6A6INUU,2025-04-01 04:44:06.827,10.0
6308CCTN,2025-04-01 04:44:06.846,10.0
8EH9LB8P,2025-04-01 04:44:06.865,11.0
QRKQTVLB,2025-04-01 04:44:06.877,11.0
RVI4YUGR,2025-04-01 04:44:06.926,13.0
831M9JLJ,2025-04-01 04:44:06.939,14.0
JQNMIR8R,2025-04-01 04:44:06.954,11.0
QEO7PTNS,2025-04-01 04:44:06.954,11.0
KEPES7Y3,2025-04-01 04:44:06.966,11.0
HDEBHZEH,2025-04-01 04:44:06.984,9.0
DRGK6876,2025-04-01 04:44:07.001,11.0
MXKF0B58,2025-04-01 04:44:07.021,9.0
UGLHWAKZ,2025-04-01 04:44:07.039,10.0
UMUU9M7Q,2025-04-01 04:44:07.059,10.0
B88TK773,2025-04-01 04:44:07.079,10.0
AR9Y5VGE,2025-04-01 04:44:07.099,12.0
X0CGROBS,2025-04-01 04:44:07.121,10.0
F924BZZW,2025-04-01 04:44:07.138,10.0
3YAPTHUM,2025-04-01 04:44:07.178,12.0
CQ70R2XX,2025-04-01 04:44:07.190,12.0
ZC5CCCH0,2025-04-01 04:44:07.202,10.0
U7NT3DVP,2025-04-01 04:44:07.217,12.0
FVISNFTH,2025-04-01 04:44:07.236,11.0
W06013YE,2025-04-01 04:44:07.256,10.0
J2UE1YG7,2025-04-01 04:44:07.278,10.0
J60QVF1J,2025-04-01 04:44:07.299,10.0
DACOA4OM,2025-04-01 04:44:07.316,10.0
GK9KIEA9,2025-04-01 04:44:07.335,11.0
Y7UM2622,2025-04-01 04:44:07.355,11.0
18RF9AK8,2025-04-01 04:44:07.375,10.0
O9GTB0G6,2025-04-01 04:44:07.415,10.0
JALB5AJP,2025-04-01 04:44:07.427,12.0
MGHT1U65,2025-04-01 04:44:07.439,11.0
MU9IN3QV,2025-04-01 04:44:07.455,10.0
HQCJAQPG,2025-04-01 04:44:07.474,9.0
ZBZAU86J,2025-04-01 04:44:07.494,10.0
V2ADSRCK,2025-04-01 04:44:07.515,10.0
C4YFM9FK,2025-04-01 04:44:07.534,11.0
FKO9E5GE,2025-04-01 04:44:07.554,11.0
N6L3S2XB,2025-04-01 04:44:07.575,10.0
FE09SSL0,2025-04-01 04:44:07.595,10.0
BAYBUO6D,2025-04-01 04:44:07.615,10.0
OU0TWMXZ,2025-04-01 04:44:07.635,10.0
DUQQGX0L,2025-04-01 04:44:07.655,10.0
23E2KE4V,2025-04-01 04:44:07.672,11.0
WLX84Z07,2025-04-01 04:44:07.693,10.0
J8VEEX8Z,2025-04-01 04:44:07.711,10.0
XZ4IX635,2025-04-01 04:44:07.732,11.0
XPJA6CZM,2025-04-01 04:44:07.750,10.0
9HI3R294,2025-04-01 04:44:07.773,11.0
6AOSMKBC,2025-04-01 04:44:07.789,11.0
ZW48VV8G,2025-04-01 04:44:07.808,10.0
PH6MB9D2,2025-04-01 04:44:07.831,10.0
5LDCA0RI,2025-04-01 04:44:07.850,10.0
Q703YDAR,2025-04-01 04:44:07.870,11.0
5ST82KLL,2025-04-01 04:44:07.889,10.0
RRY6041E,2025-04-01 04:44:07.913,10.0
8G27395H,2025-04-01 04:44:07.929,11.0
JBICSTJR,2025-04-01 04:44:07.949,10.0
N8T8PXY9,2025-04-01 04:44:07.970,10.0
QLT4TJU9,2025-04-01 04:44:07.988,10.0
2Z0G1KGS,2025-04-01 04:44:08.008,10.0
JM67CKCO,2025-04-01 04:44:08.030,10.0
UX5GJDGI,2025-04-01 04:44:08.047,10.0
BPWUI68L,2025-04-01 04:44:08.068,10.0
XXBVFFAO,2025-04-01 04:44:08.088,13.0
YRUH7O1C,2025-04-01 04:44:08.109,10.0
OA9XU2UG,2025-04-01 04:44:08.128,9.0
FS5OSGC8,2025-04-01 04:44:08.146,10.0
PACHJX4J,2025-04-01 04:44:08.167,10.0
77LE4QCP,2025-04-01 04:44:08.189,10.0
9EI10H3X,2025-04-01 04:44:08.205,10.0
YMKRVU6K,2025-04-01 04:44:08.228,9.0
1G1X46DM,2025-04-01 04:44:08.247,10.0
40BI4RB9,2025-04-01 04:44:08.265,10.0
9MHBQ4K3,2025-04-01 04:44:08.287,10.0
5FVTXRTK,2025-04-01 04:44:08.304,13.0
1L0S2107,2025-04-01 04:44:08.329,10.0
7BWTIEX0,2025-04-01 04:44:08.345,15.0
N517ITQK,2025-04-01 04:44:08.371,10.0
CG9E3O75,2025-04-01 04:44:08.386,10.0
L742ROC3,2025-04-01 04:44:08.407,10.0
BTCYP40J,2025-04-01 04:44:08.426,11.0
Y6UYNOT3,2025-04-01 04:44:08.445,10.0
P42P7S4H,2025-04-01 04:44:08.466,10.0
REAVDJU2,2025-04-01 04:44:08.485,10.0
BYTNZ310,2025-04-01 04:44:08.524,13.0
X4G1DEKC,2025-04-01 04:44:08.538,12.0
PHLRYC9Z,2025-04-01 04:44:08.551,10.0
A7OZI0GM,2025-04-01 04:44:08.570,9.0
FHDZVAV2,2025-04-01 04:44:08.591,9.0
DB7EYC7S,2025-04-01 04:44:08.611,9.0
QM3JCDKI,2025-04-01 04:44:08.629,10.0
2IIWFKMV,2025-04-01 04:44:08.648,9.0
JKT4M7X6,2025-04-01 04:44:08.669,9.0
R39SK0K8,2025-04-01 04:44:08.690,9.0
ZK6DCQER,2025-04-01 04:44:08.710,10.0
1IFEFSV2,2025-04-01 04:44:08.727,10.0
7P0C7RW1,2025-04-01 04:44:08.754,10.0
ZY40TGSM,2025-04-01 04:44:08.768,10.0
I4SCUYSU,2025-04-01 04:44:08.788,10.0
PRGEF5FN,2025-04-01 04:44:08.811,10.0
LYMP2HSB,2025-04-01 04:44:08.830,10.0
ON33N5DT,2025-04-01 04:44:08.849,10.0
OQKPG1LI,2025-04-01 04:44:08.869,10.0
JOGRLPY3,2025-04-01 04:44:08.887,10.0
HCLUPUYB,2025-04-01 04:44:08.907,10.0
71B3DTWZ,2025-04-01 04:44:08.928,9.0
W1YK36IM,2025-04-01 04:44:08.947,9.0
0ZTY7NT0,2025-04-01 04:44:08.966,10.0
AN75IKJB,2025-04-01 04:44:08.987,10.0
UEF68M9P,2025-04-01 04:44:09.006,9.0
TGXVG9AV,2025-04-01 04:44:09.028,9.0
I1I6CZI1,2025-04-01 04:44:09.051,9.0
FNFAD4NU,2025-04-01 04:44:09.067,10.0
CO808Q8P,2025-04-01 04:44:09.089,10.0
5KXGVNLS,2025-04-01 04:44:09.106,9.0
EPJMUYCP,2025-04-01 04:44:09.125,9.0
8FWIC9LM,2025-04-01 04:44:09.145,10.0
0WEX0QBX,2025-04-01 04:44:09.169,9.0
R773JG9A,2025-04-01 04:44:09.186,10.0
OOLSJHDS,2025-04-01 04:44:09.208,10.0
496FN396,2025-04-01 04:44:09.224,10.0
TSFQ873B,2025-04-01 04:44:09.247,10.0
2GQHVVDO,2025-04-01 04:44:09.262,10.0
RKWEZ734,2025-04-01 04:44:09.303,9.0
561D5NIN,2025-04-01 04:44:09.325,10.0
YDLZPPND,2025-04-01 04:44:09.336,12.0
UGFFTLK7,2025-04-01 04:44:09.348,10.0
A18ZKJ2I,2025-04-01 04:44:09.363,10.0
TIAX31ZC,2025-04-01 04:44:09.386,9.0
8LINNNWI,2025-04-01 04:44:09.402,9.0
F0EXK009,2025-04-01 04:44:09.423,10.0
N0ORSZX8,2025-04-01 04:44:09.443,10.0
P5RVHIIA,2025-04-01 04:44:09.463,10.0
XHWNU1O8,2025-04-01 04:44:09.486,9.0
TFZSNC6S,2025-04-01 04:44:09.507,9.0
5SS7TQQE,2025-04-01 04:44:09.524,10.0
0YXXPXXE,2025-04-01 04:44:09.544,10.0
INA4MGLD,2025-04-01 04:44:09.562,9.0
U8MQFZH1,2025-04-01 04:44:09.585,9.0
TG9PLY5H,2025-04-01 04:44:09.603,9.0
B089XOEC,2025-04-01 04:44:09.620,10.0
TNLCNOVP,2025-04-01 04:44:09.641,9.0
E4GFY174,2025-04-01 04:44:09.660,10.0
EOKZCUUM,2025-04-01 04:44:09.683,10.0
XWYMTQ2T,2025-04-01 04:44:09.703,10.0
4EGLHODI,2025-04-01 04:44:09.721,10.0
OX2OK4B8,2025-04-01 04:44:09.742,9.0
0IUY64S6,2025-04-01 04:44:09.762,10.0
MON0KB8Q,2025-04-01 04:44:09.781,11.0
3EA2FVFX,2025-04-01 04:44:09.802,10.0
OMNMLOK9,2025-04-01 04:44:09.823,10.0
RTQ02YRW,2025-04-01 04:44:09.843,9.0
8W0I1P6J,2025-04-01 04:44:09.863,10.0
6A20G22P,2025-04-01 04:44:09.882,9.0
N3BWOFGR,2025-04-01 04:44:09.901,9.0
4R8R8BV1,2025-04-01 04:44:09.920,10.0
MR204NCF,2025-04-01 04:44:09.944,9.0
ZJ8XVKWW,2025-04-01 04:44:09.960,9.0
KYKW3XVQ,2025-04-01 04:44:09.979,9.0
FMJUUKAS,2025-04-01 04:44:09.998,9.0
Q7ALOQT4,2025-04-01 04:44:10.020,9.0
RIYKB29D,2025-04-01 04:44:10.040,10.0
U1B672UA,2025-04-01 04:44:10.062,9.0
ZXSWZT8J,2025-04-01 04:44:10.080,9.0
GH2L5FCW,2025-04-01 04:44:10.099,10.0
5JX07RT5,2025-04-01 04:44:10.120,9.0
D90A4MB3,2025-04-01 04:44:10.140,10.0
PORA1X8H,2025-04-01 04:44:10.162,10.0
TX1LOF3X,2025-04-01 04:44:10.181,9.0
2RPDHOEP,2025-04-01 04:44:10.201,10.0
8P84XUSB,2025-04-01 04:44:10.227,9.0
5RFTQP2O,2025-04-01 04:44:10.244,10.0
NFG5869V,2025-04-01 04:44:10.264,10.0
J4351P5W,2025-04-01 04:44:10.282,9.0
JVM9ZJG4,2025-04-01 04:44:10.301,10.0
XOG9YSBF,2025-04-01 04:44:10.322,10.0
3NWELA5A,2025-04-01 04:44:10.342,11.0
QCP5F1DI,2025-04-01 04:44:10.362,10.0
8HYZTEIX,2025-04-01 04:44:10.380,10.0
9J556WVJ,2025-04-01 04:44:10.402,10.0
27R3JJJB,2025-04-01 04:44:10.422,9.0
8L1C7VVL,2025-04-01 04:44:10.443,10.0
CQZI8EO9,2025-04-01 04:44:10.463,10.0
UTJ9XI1R,2025-04-01 04:44:10.481,10.0
62BV4ES6,2025-04-01 04:44:10.502,13.0
HPKSOTI2,2025-04-01 04:44:10.522,10.0
99C3Y07D,2025-04-01 04:44:10.544,10.0
HAXW0ABY,2025-04-01 04:44:10.559,10.0
WN718958,2025-04-01 04:44:10.582,10.0
FSN627A1,2025-04-01 04:44:10.602,10.0
R7W3T4BE,2025-04-01 04:44:10.626,10.0
J0B9LK0J,2025-04-01 04:44:10.639,9.0
G8AGNN7L,2025-04-01 04:44:10.660,9.0
I4HUXUU0,2025-04-01 04:44:10.677,10.0
JTM0FP4V,2025-04-01 04:44:10.698,10.0
BR2YQBSE,2025-04-01 04:44:10.719,11.0
064L2L03,2025-04-01 04:44:10.739,10.0
TJFJRNF9,2025-04-01 04:44:10.761,10.0
OBMMI7UX,2025-04-01 04:44:10.779,10.0
ZXF25J91,2025-04-01 04:44:10.799,10.0
