id,enter_time_str,latency
MPCQX86E,2025-04-01 00:44:48.096,318.0
FYKYG8TL,2025-04-01 00:44:48.120,326.0
8IMJHJWG,2025-04-01 00:44:48.352,336.0
ZO8XDVVQ,2025-04-01 00:44:48.415,59.0
7HV9SM7X,2025-04-01 00:44:48.415,59.0
NALELJRI,2025-04-01 00:44:48.447,83.0
AAJIETPX,2025-04-01 00:44:48.447,83.0
YV8HO4T4,2025-04-01 00:44:48.447,83.0
4WQBRWQY,2025-04-01 00:44:48.492,40.0
6PCZNHY1,2025-04-01 00:44:48.531,259.0
ER7YDVNV,2025-04-01 00:44:48.531,259.0
XR80KUXX,2025-04-01 00:44:48.531,259.0
XA0NSXHM,2025-04-01 00:44:48.531,259.0
AJ1RC6PI,2025-04-01 00:44:48.531,259.0
DMGXGT6Y,2025-04-01 00:44:48.531,259.0
EXA8WN10,2025-04-01 00:44:48.531,259.0
XVSH4EY6,2025-04-01 00:44:48.531,259.0
83XLC25I,2025-04-01 00:44:48.533,158.0
N4RU8HFK,2025-04-01 00:44:48.533,158.0
5JC3LR3N,2025-04-01 00:44:48.533,158.0
MNG140MZ,2025-04-01 00:44:48.533,158.0
VS4S2NH9,2025-04-01 00:44:48.533,158.0
CCICJ605,2025-04-01 00:44:48.533,158.0
KFBY90X0,2025-04-01 00:44:48.690,418.0
32VCZX03,2025-04-01 00:44:48.690,418.0
Z89F4DJL,2025-04-01 00:44:48.690,418.0
901ISR2I,2025-04-01 00:44:48.690,418.0
IHMC1C59,2025-04-01 00:44:48.690,418.0
9D76KMWL,2025-04-01 00:44:48.690,418.0
BSD0DIRD,2025-04-01 00:44:48.690,418.0
2TXC7E8M,2025-04-01 00:44:48.690,418.0
TC37I9TT,2025-04-01 00:44:48.690,418.0
Q1784X26,2025-04-01 00:44:48.690,418.0
AL409R70,2025-04-01 00:44:48.690,418.0
CK6G1CJL,2025-04-01 00:44:48.690,418.0
MLD5ENGV,2025-04-01 00:44:48.690,418.0
9B0Y4C7O,2025-04-01 00:44:48.690,418.0
JA59ZJG1,2025-04-01 00:44:48.690,418.0
OLUR85RG,2025-04-01 00:44:48.690,418.0
PJXOND1H,2025-04-01 00:44:48.690,418.0
YKVJA9FX,2025-04-01 00:44:48.693,233.0
GSK60N3W,2025-04-01 00:44:48.693,233.0
MAH0LMKR,2025-04-01 00:44:48.693,233.0
21172BVC,2025-04-01 00:44:48.693,233.0
