enter_time_str,count
2025-04-01 00:44:47.695,1
2025-04-01 00:44:47.811,14
2025-04-01 00:44:48.064,18
2025-04-01 00:44:48.140,14
2025-04-01 00:44:48.186,8
2025-04-01 00:44:48.220,5
2025-04-01 00:44:48.245,2
2025-04-01 00:44:48.260,1
2025-04-01 00:44:48.274,2
2025-04-01 00:44:48.286,1
2025-04-01 00:44:48.298,1
2025-04-01 00:44:48.312,2
2025-04-01 00:44:48.334,1
2025-04-01 00:44:48.352,1
2025-04-01 00:44:48.370,4
2025-04-01 00:44:48.402,3
2025-04-01 00:44:48.433,3
2025-04-01 00:44:48.464,4
2025-04-01 00:44:48.489,2
2025-04-01 00:44:48.510,2
2025-04-01 00:44:48.525,2
2025-04-01 00:44:48.539,1
2025-04-01 00:44:48.556,2
2025-04-01 00:44:48.580,2
2025-04-01 00:44:48.603,3
2025-04-01 00:44:48.632,3
2025-04-01 00:44:48.651,1
2025-04-01 00:44:48.670,3
2025-04-01 00:44:48.699,2
2025-04-01 00:44:48.719,2
2025-04-01 00:44:48.734,1
2025-04-01 00:44:48.748,2
2025-04-01 00:44:48.762,2
2025-04-01 00:44:48.778,2
2025-04-01 00:44:48.802,1
2025-04-01 00:44:48.825,3
2025-04-01 00:44:48.848,3
2025-04-01 00:44:48.869,2
2025-04-01 00:44:48.896,3
2025-04-01 00:44:48.912,1
2025-04-01 00:44:48.926,2
2025-04-01 00:44:48.941,2
2025-04-01 00:44:48.964,1
2025-04-01 00:44:48.983,3
2025-04-01 00:44:49.013,3
2025-04-01 00:44:49.035,2
2025-04-01 00:44:49.053,2
2025-04-01 00:44:49.077,3
2025-04-01 00:44:49.095,1
2025-04-01 00:44:49.116,2
2025-04-01 00:44:49.134,2
2025-04-01 00:44:49.150,2
2025-04-01 00:44:49.166,2
2025-04-01 00:44:49.184,1
2025-04-01 00:44:49.206,3
2025-04-01 00:44:49.224,1
2025-04-01 00:44:49.240,2
2025-04-01 00:44:49.252,1
2025-04-01 00:44:49.267,2
2025-04-01 00:44:49.288,2
2025-04-01 00:44:49.302,1
2025-04-01 00:44:49.317,1
2025-04-01 00:44:49.335,3
2025-04-01 00:44:49.364,2
2025-04-01 00:44:49.381,2
2025-04-01 00:44:49.397,2
2025-04-01 00:44:49.411,1
2025-04-01 00:44:49.425,2
2025-04-01 00:44:49.439,1
2025-04-01 00:44:49.459,2
2025-04-01 00:44:49.474,1
2025-04-01 00:44:49.490,2
2025-04-01 00:44:49.510,2
2025-04-01 00:44:49.523,1
2025-04-01 00:44:49.540,2
2025-04-01 00:44:49.554,2
2025-04-01 00:44:49.569,1
2025-04-01 00:44:49.585,2
2025-04-01 00:44:49.597,1
2025-04-01 00:44:49.613,1
2025-04-01 00:44:49.629,2
2025-04-01 00:44:49.647,2
2025-04-01 00:44:49.670,3
2025-04-01 00:44:49.697,2
2025-04-01 00:44:49.720,2
2025-04-01 00:44:49.737,2
2025-04-01 00:44:49.752,2
2025-04-01 00:44:49.770,2
2025-04-01 00:44:49.786,1
2025-04-01 00:44:49.803,2
2025-04-01 00:44:49.820,1
2025-04-01 00:44:49.836,2
2025-04-01 00:44:49.855,2
2025-04-01 00:44:49.878,3
