enter_time_str,count
2025-04-01 00:44:47.701,1
2025-04-01 00:44:47.720,1
2025-04-01 00:44:47.722,1
2025-04-01 00:44:47.960,11
2025-04-01 00:44:47.981,12
2025-04-01 00:44:47.996,10
2025-04-01 00:44:48.283,9
2025-04-01 00:44:48.301,12
2025-04-01 00:44:48.313,10
2025-04-01 00:44:48.506,4
2025-04-01 00:44:48.553,11
2025-04-01 00:44:48.578,8
2025-04-01 00:44:48.615,5
2025-04-01 00:44:48.748,8
2025-04-01 00:44:48.771,5
2025-04-01 00:44:48.816,8
2025-04-01 00:44:48.904,3
2025-04-01 00:44:48.944,10
2025-04-01 00:44:48.985,2
2025-04-01 00:44:49.011,6
2025-04-01 00:44:49.043,2
2025-04-01 00:44:49.100,1
2025-04-01 00:44:49.134,2
2025-04-01 00:44:49.169,3
2025-04-01 00:44:49.257,1
2025-04-01 00:44:49.300,13
2025-04-01 00:44:49.301,1
2025-04-01 00:44:49.334,1
2025-04-01 00:44:49.456,1
2025-04-01 00:44:49.489,1
2025-04-01 00:44:49.526,1
2025-04-01 00:44:49.587,1
2025-04-01 00:44:49.595,9
2025-04-01 00:44:49.620,1
2025-04-01 00:44:49.653,2
2025-04-01 00:44:49.710,1
2025-04-01 00:44:49.744,1
2025-04-01 00:44:49.772,30
2025-04-01 00:44:49.778,4
2025-04-01 00:44:49.815,6
2025-04-01 00:44:49.891,7
2025-04-01 00:44:49.970,6
2025-04-01 00:44:50.066,7
2025-04-01 00:44:50.125,9
2025-04-01 00:44:50.240,11
2025-04-01 00:44:50.349,14
2025-04-01 00:44:50.467,2
2025-04-01 00:44:50.503,12
2025-04-01 00:44:50.619,1
2025-04-01 00:44:50.663,1
2025-04-01 00:44:50.676,10
2025-04-01 00:44:50.696,2
2025-04-01 00:44:50.752,2
2025-04-01 00:44:50.776,14
2025-04-01 00:44:50.809,2
2025-04-01 00:44:50.866,3
2025-04-01 00:44:50.916,7
2025-04-01 00:44:51.100,1
2025-04-01 00:44:51.112,1
2025-04-01 00:44:51.134,3
2025-04-01 00:44:51.146,1
2025-04-01 00:44:51.149,1
2025-04-01 00:44:51.179,1
2025-04-01 00:44:51.212,3
2025-04-01 00:44:51.213,2
2025-04-01 00:44:51.222,1
2025-04-01 00:44:51.256,2
2025-04-01 00:44:51.270,1
2025-04-01 00:44:51.294,3
2025-04-01 00:44:51.305,1
2025-04-01 00:44:51.313,2
2025-04-01 00:44:51.338,1
2025-04-01 00:44:51.372,1
2025-04-01 00:44:51.376,5
2025-04-01 00:44:51.382,1
2025-04-01 00:44:51.413,1
2025-04-01 00:44:51.450,1
2025-04-01 00:44:51.460,1
2025-04-01 00:44:51.483,1
2025-04-01 00:44:51.507,6
2025-04-01 00:44:51.516,2
2025-04-01 00:44:51.538,1
2025-04-01 00:44:51.571,2
2025-04-01 00:44:51.572,2
2025-04-01 00:44:51.628,3
2025-04-01 00:44:51.630,2
2025-04-01 00:44:51.664,5
2025-04-01 00:44:51.694,1
2025-04-01 00:44:51.709,2
2025-04-01 00:44:51.728,2
2025-04-01 00:44:51.767,1
2025-04-01 00:44:51.785,1
2025-04-01 00:44:51.795,6
2025-04-01 00:44:51.802,1
2025-04-01 00:44:51.819,2
2025-04-01 00:44:51.858,1
2025-04-01 00:44:51.875,2
2025-04-01 00:44:51.933,4
2025-04-01 00:44:51.947,1
2025-04-01 00:44:51.948,6
2025-04-01 00:44:51.979,2
2025-04-01 00:44:52.035,3
2025-04-01 00:44:52.038,2
2025-04-01 00:44:52.097,2
2025-04-01 00:44:52.101,3
2025-04-01 00:44:52.116,4
2025-04-01 00:44:52.153,2
2025-04-01 00:44:52.181,2
2025-04-01 00:44:52.210,2
2025-04-01 00:44:52.222,3
2025-04-01 00:44:52.239,3
2025-04-01 00:44:52.268,2
2025-04-01 00:44:52.304,2
2025-04-01 00:44:52.318,3
2025-04-01 00:44:52.324,2
2025-04-01 00:44:52.368,1
2025-04-01 00:44:52.382,1
2025-04-01 00:44:52.398,3
2025-04-01 00:44:52.402,2
2025-04-01 00:44:52.417,2
2025-04-01 00:44:52.458,1
2025-04-01 00:44:52.474,4
2025-04-01 00:44:52.478,2
2025-04-01 00:44:52.493,1
2025-04-01 00:44:52.536,2
2025-04-01 00:44:52.580,7
2025-04-01 00:44:52.593,2
2025-04-01 00:44:52.617,1
2025-04-01 00:44:52.649,3
2025-04-01 00:44:52.652,1
2025-04-01 00:44:52.685,1
2025-04-01 00:44:52.718,1
2025-04-01 00:44:52.728,1
2025-04-01 00:44:52.752,6
2025-04-01 00:44:52.759,1
2025-04-01 00:44:52.765,1
2025-04-01 00:44:52.791,1
2025-04-01 00:44:52.800,2
2025-04-01 00:44:52.856,3
2025-04-01 00:44:52.884,1
2025-04-01 00:44:52.908,5
2025-04-01 00:44:52.917,1
2025-04-01 00:44:52.937,3
2025-04-01 00:44:52.950,1
2025-04-01 00:44:52.983,1
2025-04-01 00:44:53.018,5
2025-04-01 00:44:53.037,1
2025-04-01 00:44:53.043,4
2025-04-01 00:44:53.071,1
2025-04-01 00:44:53.105,1
2025-04-01 00:44:53.149,6
2025-04-01 00:44:53.150,4
2025-04-01 00:44:53.162,1
2025-04-01 00:44:53.194,1
2025-04-01 00:44:53.227,1
2025-04-01 00:44:53.259,3
2025-04-01 00:44:53.261,1
2025-04-01 00:44:53.295,1
2025-04-01 00:44:53.302,4
2025-04-01 00:44:53.329,3
2025-04-01 00:44:53.343,1
2025-04-01 00:44:53.385,1
2025-04-01 00:44:53.408,6
2025-04-01 00:44:53.409,1
2025-04-01 00:44:53.418,2
2025-04-01 00:44:53.444,2
2025-04-01 00:44:53.474,1
2025-04-01 00:44:53.501,1
2025-04-01 00:44:53.508,2
2025-04-01 00:44:53.535,1
2025-04-01 00:44:53.560,4
2025-04-01 00:44:53.564,3
2025-04-01 00:44:53.568,1
2025-04-01 00:44:53.601,1
2025-04-01 00:44:53.645,4
2025-04-01 00:44:53.662,1
2025-04-01 00:44:53.665,4
2025-04-01 00:44:53.695,2
2025-04-01 00:44:53.752,4
2025-04-01 00:44:53.753,2
2025-04-01 00:44:53.771,2
2025-04-01 00:44:53.811,4
2025-04-01 00:44:53.830,1
2025-04-01 00:44:53.858,4
2025-04-01 00:44:53.864,1
2025-04-01 00:44:53.918,2
