enter_time_str,count
2025-04-01 00:44:47.973,1
2025-04-01 00:44:48.088,2
2025-04-01 00:44:48.294,1
2025-04-01 00:44:48.305,7
2025-04-01 00:44:48.342,25
2025-04-01 00:44:48.522,1
2025-04-01 00:44:48.533,8
2025-04-01 00:44:48.578,10
2025-04-01 00:44:48.635,16
2025-04-01 00:44:48.760,1
2025-04-01 00:44:48.771,4
2025-04-01 00:44:48.795,8
2025-04-01 00:44:48.832,2
2025-04-01 00:44:48.856,9
2025-04-01 00:44:48.920,1
2025-04-01 00:44:48.929,4
2025-04-01 00:44:48.955,1
2025-04-01 00:44:48.971,7
2025-04-01 00:44:49.008,3
2025-04-01 00:44:49.025,2
2025-04-01 00:44:49.046,6
2025-04-01 00:44:49.078,2
2025-04-01 00:44:49.112,1
2025-04-01 00:44:49.119,1
2025-04-01 00:44:49.145,1
2025-04-01 00:44:49.178,1
2025-04-01 00:44:49.191,5
2025-04-01 00:44:49.263,2
2025-04-01 00:44:49.274,1
2025-04-01 00:44:49.298,1
2025-04-01 00:44:49.312,2
2025-04-01 00:44:49.330,8
2025-04-01 00:44:49.373,1
2025-04-01 00:44:49.388,1
2025-04-01 00:44:49.499,1
2025-04-01 00:44:49.532,1
2025-04-01 00:44:49.566,1
2025-04-01 00:44:49.606,1
2025-04-01 00:44:49.629,12
2025-04-01 00:44:49.695,2
2025-04-01 00:44:49.722,1
2025-04-01 00:44:49.733,1
2025-04-01 00:44:49.753,1
2025-04-01 00:44:49.782,1
2025-04-01 00:44:49.789,2
2025-04-01 00:44:49.825,1
2025-04-01 00:44:49.840,7
2025-04-01 00:44:49.876,1
2025-04-01 00:44:49.900,1
2025-04-01 00:44:49.911,3
2025-04-01 00:44:49.980,1
2025-04-01 00:44:49.994,5
2025-04-01 00:44:50.080,1
2025-04-01 00:44:50.092,6
2025-04-01 00:44:50.138,1
2025-04-01 00:44:50.146,5
2025-04-01 00:44:50.253,1
2025-04-01 00:44:50.262,6
2025-04-01 00:44:50.358,1
2025-04-01 00:44:50.373,8
2025-04-01 00:44:50.484,1
2025-04-01 00:44:50.499,11
2025-04-01 00:44:50.559,21
2025-04-01 00:44:50.669,10
2025-04-01 00:44:50.969,16
2025-04-01 00:44:51.021,3
2025-04-01 00:44:51.053,2
2025-04-01 00:44:51.069,22
2025-04-01 00:44:51.159,10
2025-04-01 00:44:51.218,18
2025-04-01 00:44:51.311,11
2025-04-01 00:44:51.376,4
2025-04-01 00:44:51.401,6
2025-04-01 00:44:51.432,2
2025-04-01 00:44:51.462,1
2025-04-01 00:44:51.490,1
2025-04-01 00:44:51.501,1
2025-04-01 00:44:51.514,1
2025-04-01 00:44:51.530,5
2025-04-01 00:44:51.579,1
2025-04-01 00:44:51.586,2
2025-04-01 00:44:51.642,2
2025-04-01 00:44:51.659,2
2025-04-01 00:44:51.673,1
2025-04-01 00:44:51.684,3
2025-04-01 00:44:51.701,4
2025-04-01 00:44:51.728,3
2025-04-01 00:44:51.746,1
2025-04-01 00:44:51.775,1
2025-04-01 00:44:51.783,1
2025-04-01 00:44:51.797,1
2025-04-01 00:44:51.802,1
2025-04-01 00:44:51.814,6
2025-04-01 00:44:51.845,2
2025-04-01 00:44:51.883,1
2025-04-01 00:44:51.893,1
2025-04-01 00:44:51.902,1
2025-04-01 00:44:51.946,1
2025-04-01 00:44:51.951,1
2025-04-01 00:44:51.967,6
2025-04-01 00:44:51.997,1
2025-04-01 00:44:52.042,1
2025-04-01 00:44:52.051,2
2025-04-01 00:44:52.065,3
2025-04-01 00:44:52.106,1
2025-04-01 00:44:52.113,1
2025-04-01 00:44:52.125,7
2025-04-01 00:44:52.160,2
2025-04-01 00:44:52.174,2
2025-04-01 00:44:52.193,1
2025-04-01 00:44:52.203,2
2025-04-01 00:44:52.220,1
2025-04-01 00:44:52.231,3
2025-04-01 00:44:52.252,4
2025-04-01 00:44:52.278,2
2025-04-01 00:44:52.317,1
2025-04-01 00:44:52.327,2
2025-04-01 00:44:52.344,5
2025-04-01 00:44:52.372,2
2025-04-01 00:44:52.394,2
2025-04-01 00:44:52.412,4
2025-04-01 00:44:52.436,1
2025-04-01 00:44:52.466,1
2025-04-01 00:44:52.474,1
2025-04-01 00:44:52.487,3
2025-04-01 00:44:52.506,3
2025-04-01 00:44:52.536,1
2025-04-01 00:44:52.545,1
2025-04-01 00:44:52.552,1
2025-04-01 00:44:52.588,1
2025-04-01 00:44:52.595,3
2025-04-01 00:44:52.614,2
2025-04-01 00:44:52.656,1
2025-04-01 00:44:52.670,2
2025-04-01 00:44:52.698,1
2025-04-01 00:44:52.727,1
2025-04-01 00:44:52.739,1
2025-04-01 00:44:52.749,2
2025-04-01 00:44:52.764,3
2025-04-01 00:44:52.785,6
2025-04-01 00:44:52.821,2
2025-04-01 00:44:52.838,1
2025-04-01 00:44:52.867,1
2025-04-01 00:44:52.872,1
2025-04-01 00:44:52.917,1
2025-04-01 00:44:52.927,5
2025-04-01 00:44:52.952,4
2025-04-01 00:44:52.977,1
2025-04-01 00:44:52.994,1
2025-04-01 00:44:53.024,1
2025-04-01 00:44:53.034,3
2025-04-01 00:44:53.059,2
2025-04-01 00:44:53.069,3
2025-04-01 00:44:53.090,1
2025-04-01 00:44:53.115,1
2025-04-01 00:44:53.150,1
2025-04-01 00:44:53.165,5
2025-04-01 00:44:53.192,4
2025-04-01 00:44:53.215,1
2025-04-01 00:44:53.239,1
2025-04-01 00:44:53.270,1
2025-04-01 00:44:53.285,4
2025-04-01 00:44:53.308,1
2025-04-01 00:44:53.327,6
2025-04-01 00:44:53.360,4
2025-04-01 00:44:53.393,1
2025-04-01 00:44:53.421,1
2025-04-01 00:44:53.434,7
2025-04-01 00:44:53.470,1
2025-04-01 00:44:53.486,2
2025-04-01 00:44:53.512,1
2025-04-01 00:44:53.518,1
2025-04-01 00:44:53.539,1
2025-04-01 00:44:53.548,1
2025-04-01 00:44:53.571,1
2025-04-01 00:44:53.588,8
2025-04-01 00:44:53.634,1
2025-04-01 00:44:53.650,1
2025-04-01 00:44:53.656,1
2025-04-01 00:44:53.666,2
2025-04-01 00:44:53.680,4
2025-04-01 00:44:53.706,1
2025-04-01 00:44:53.760,1
2025-04-01 00:44:53.773,5
2025-04-01 00:44:53.801,4
2025-04-01 00:44:53.827,2
2025-04-01 00:44:53.845,2
2025-04-01 00:44:53.866,1
2025-04-01 00:44:53.880,4
2025-04-01 00:44:53.906,1
2025-04-01 00:44:53.930,1
2025-04-01 00:44:53.941,3
2025-04-01 00:44:53.963,1
2025-04-01 00:44:53.972,3
2025-04-01 00:44:53.992,2
2025-04-01 00:44:54.010,1
2025-04-01 00:44:54.097,1
2025-04-01 00:44:54.108,3
2025-04-01 00:44:54.129,1
2025-04-01 00:44:54.145,1
2025-04-01 00:44:54.157,6
2025-04-01 00:44:54.191,1
2025-04-01 00:44:54.231,1
2025-04-01 00:44:54.242,4
2025-04-01 00:44:54.278,1
2025-04-01 00:44:54.297,1
2025-04-01 00:44:54.307,5
2025-04-01 00:44:54.331,1
2025-04-01 00:44:54.370,1
2025-04-01 00:44:54.379,1
2025-04-01 00:44:54.397,6
2025-04-01 00:44:54.429,5
2025-04-01 00:44:54.463,2
2025-04-01 00:44:54.486,1
2025-04-01 00:44:54.498,2
2025-04-01 00:44:54.516,1
2025-04-01 00:44:54.522,1
2025-04-01 00:44:54.543,1
2025-04-01 00:44:54.554,1
2025-04-01 00:44:54.565,5
2025-04-01 00:44:54.592,4
2025-04-01 00:44:54.617,1
2025-04-01 00:44:54.638,1
2025-04-01 00:44:54.650,1
2025-04-01 00:44:54.659,3
2025-04-01 00:44:54.690,1
2025-04-01 00:44:54.714,1
2025-04-01 00:44:54.724,4
2025-04-01 00:44:54.746,2
2025-04-01 00:44:54.762,1
2025-04-01 00:44:54.786,1
2025-04-01 00:44:54.798,2
2025-04-01 00:44:54.812,5
2025-04-01 00:44:54.843,1
2025-04-01 00:44:54.876,1
2025-04-01 00:44:54.882,1
2025-04-01 00:44:54.901,1
2025-04-01 00:44:54.912,3
2025-04-01 00:44:54.933,5
2025-04-01 00:44:55.011,1
2025-04-01 00:44:55.047,1
2025-04-01 00:44:55.056,4
2025-04-01 00:44:55.077,1
2025-04-01 00:44:55.083,5
2025-04-01 00:44:55.102,1
2025-04-01 00:44:55.137,1
2025-04-01 00:44:55.157,1
2025-04-01 00:44:55.164,2
2025-04-01 00:44:55.201,1
2025-04-01 00:44:55.212,5
2025-04-01 00:44:55.241,6
2025-04-01 00:44:55.274,2
2025-04-01 00:44:55.292,3
2025-04-01 00:44:55.323,1
2025-04-01 00:44:55.330,2
2025-04-01 00:44:55.361,1
2025-04-01 00:44:55.374,5
2025-04-01 00:44:55.407,6
2025-04-01 00:44:55.444,2
2025-04-01 00:44:55.462,4
2025-04-01 00:44:55.489,1
2025-04-01 00:44:55.541,1
2025-04-01 00:44:55.557,8
2025-04-01 00:44:55.602,5
2025-04-01 00:44:55.631,2
2025-04-01 00:44:55.647,2
2025-04-01 00:44:55.663,2
2025-04-01 00:44:55.704,1
2025-04-01 00:44:55.715,6
2025-04-01 00:44:55.745,4
2025-04-01 00:44:55.774,1
2025-04-01 00:44:55.786,1
2025-04-01 00:44:55.794,1
2025-04-01 00:44:55.808,1
2025-04-01 00:44:55.838,1
2025-04-01 00:44:55.877,1
2025-04-01 00:44:55.889,6
2025-04-01 00:44:55.922,6
2025-04-01 00:44:55.950,1
2025-04-01 00:44:55.960,1
2025-04-01 00:44:56.021,1
2025-04-01 00:44:56.036,2
2025-04-01 00:44:56.048,1
2025-04-01 00:44:56.069,1
2025-04-01 00:44:56.081,9
2025-04-01 00:44:56.134,1
2025-04-01 00:44:56.141,2
2025-04-01 00:44:56.173,1
2025-04-01 00:44:56.216,1
2025-04-01 00:44:56.226,2
2025-04-01 00:44:56.244,7
2025-04-01 00:44:56.282,1
2025-04-01 00:44:56.303,5
