enter_time_str,count
2025-04-01 00:44:48.096,1
2025-04-01 00:44:48.120,1
2025-04-01 00:44:48.352,1
2025-04-01 00:44:48.415,2
2025-04-01 00:44:48.447,3
2025-04-01 00:44:48.492,1
2025-04-01 00:44:48.531,8
2025-04-01 00:44:48.533,6
2025-04-01 00:44:48.690,17
2025-04-01 00:44:48.693,9
2025-04-01 00:44:48.791,11
2025-04-01 00:44:48.928,16
2025-04-01 00:44:49.075,14
2025-04-01 00:44:49.111,15
2025-04-01 00:44:49.320,16
2025-04-01 00:44:49.423,16
2025-04-01 00:44:49.490,3
2025-04-01 00:44:49.579,2
2025-04-01 00:44:49.703,2
2025-04-01 00:44:49.710,8
2025-04-01 00:44:49.762,7
2025-04-01 00:44:49.788,4
2025-04-01 00:44:49.906,5
2025-04-01 00:44:49.916,4
2025-04-01 00:44:49.940,10
2025-04-01 00:44:50.031,1
2025-04-01 00:44:50.038,2
2025-04-01 00:44:50.062,1
2025-04-01 00:44:50.097,1
2025-04-01 00:44:50.132,1
2025-04-01 00:44:50.163,2
2025-04-01 00:44:50.169,7
2025-04-01 00:44:50.185,1
2025-04-01 00:44:50.303,1
2025-04-01 00:44:50.305,1
2025-04-01 00:44:50.335,1
2025-04-01 00:44:50.339,8
2025-04-01 00:44:50.380,1
2025-04-01 00:44:50.421,1
2025-04-01 00:44:50.422,1
2025-04-01 00:44:50.454,2
2025-04-01 00:44:50.465,2
2025-04-01 00:44:50.520,1
2025-04-01 00:44:50.541,2
2025-04-01 00:44:50.567,1
2025-04-01 00:44:50.600,5
2025-04-01 00:44:50.607,5
2025-04-01 00:44:50.677,1
2025-04-01 00:44:50.713,6
2025-04-01 00:44:50.732,5
2025-04-01 00:44:50.758,9
2025-04-01 00:44:50.976,1
2025-04-01 00:44:50.979,1
2025-04-01 00:44:51.000,3
2025-04-01 00:44:51.007,3
2025-04-01 00:44:51.010,2
2025-04-01 00:44:51.069,3
2025-04-01 00:44:51.088,9
2025-04-01 00:44:51.096,8
2025-04-01 00:44:51.156,1
2025-04-01 00:44:51.194,5
2025-04-01 00:44:51.304,15
2025-04-01 00:44:51.329,5
2025-04-01 00:44:51.338,11
2025-04-01 00:44:51.471,10
2025-04-01 00:44:51.634,20
2025-04-01 00:44:51.678,14
2025-04-01 00:44:51.779,10
2025-04-01 00:44:52.043,9
2025-04-01 00:44:52.084,19
2025-04-01 00:44:52.125,10
2025-04-01 00:44:52.300,14
2025-04-01 00:44:52.381,4
2025-04-01 00:44:52.492,7
2025-04-01 00:44:52.602,13
2025-04-01 00:44:52.658,6
2025-04-01 00:44:52.681,18
2025-04-01 00:44:52.802,7
2025-04-01 00:44:52.927,6
2025-04-01 00:44:52.976,12
2025-04-01 00:44:53.138,4
2025-04-01 00:44:53.222,7
2025-04-01 00:44:53.255,3
2025-04-01 00:44:53.260,16
2025-04-01 00:44:53.344,2
2025-04-01 00:44:53.405,5
2025-04-01 00:44:53.436,7
2025-04-01 00:44:53.531,7
2025-04-01 00:44:53.618,10
2025-04-01 00:44:53.621,4
2025-04-01 00:44:53.721,11
2025-04-01 00:44:53.742,4
2025-04-01 00:44:53.854,5
2025-04-01 00:44:53.861,6
2025-04-01 00:44:53.979,6
2025-04-01 00:44:53.991,7
2025-04-01 00:44:54.015,5
2025-04-01 00:44:54.125,5
2025-04-01 00:44:54.139,3
2025-04-01 00:44:54.177,1
2025-04-01 00:44:54.214,2
2025-04-01 00:44:54.216,3
2025-04-01 00:44:54.250,5
2025-04-01 00:44:54.275,1
2025-04-01 00:44:54.297,1
2025-04-01 00:44:54.310,1
2025-04-01 00:44:54.338,1
2025-04-01 00:44:54.344,1
2025-04-01 00:44:54.376,7
2025-04-01 00:44:54.381,1
2025-04-01 00:44:54.416,1
2025-04-01 00:44:54.436,1
2025-04-01 00:44:54.450,1
2025-04-01 00:44:54.473,4
2025-04-01 00:44:54.484,1
2025-04-01 00:44:54.516,1
2025-04-01 00:44:54.572,7
2025-04-01 00:44:54.573,5
2025-04-01 00:44:54.600,2
2025-04-01 00:44:54.656,1
2025-04-01 00:44:54.690,1
2025-04-01 00:44:54.698,4
2025-04-01 00:44:54.722,1
2025-04-01 00:44:54.739,9
2025-04-01 00:44:54.760,1
2025-04-01 00:44:54.801,3
2025-04-01 00:44:54.805,4
2025-04-01 00:44:54.893,3
2025-04-01 00:44:54.912,7
2025-04-01 00:44:54.966,1
2025-04-01 00:44:54.978,3
2025-04-01 00:44:54.998,1
2025-04-01 00:44:55.057,1
2025-04-01 00:44:55.087,2
2025-04-01 00:44:55.093,8
2025-04-01 00:44:55.110,1
2025-04-01 00:44:55.141,3
2025-04-01 00:44:55.168,1
2025-04-01 00:44:55.200,1
2025-04-01 00:44:55.248,1
2025-04-01 00:44:55.251,1
2025-04-01 00:44:55.279,1
2025-04-01 00:44:55.288,1
2025-04-01 00:44:55.291,8
2025-04-01 00:44:55.310,2
2025-04-01 00:44:55.355,1
2025-04-01 00:44:55.366,2
2025-04-01 00:44:55.414,1
2025-04-01 00:44:55.423,2
2025-04-01 00:44:55.450,1
2025-04-01 00:44:55.477,2
2025-04-01 00:44:55.485,12
2025-04-01 00:44:55.487,3
2025-04-01 00:44:55.530,2
2025-04-01 00:44:55.575,3
2025-04-01 00:44:55.608,1
2025-04-01 00:44:55.640,1
2025-04-01 00:44:55.661,3
2025-04-01 00:44:55.671,2
2025-04-01 00:44:55.726,2
2025-04-01 00:44:55.749,3
2025-04-01 00:44:55.764,9
2025-04-01 00:44:55.785,4
2025-04-01 00:44:55.834,6
2025-04-01 00:44:55.885,2
2025-04-01 00:44:55.941,5
2025-04-01 00:44:55.993,7
2025-04-01 00:44:55.995,3
2025-04-01 00:44:56.075,3
2025-04-01 00:44:56.090,2
2025-04-01 00:44:56.156,1
2025-04-01 00:44:56.166,4
2025-04-01 00:44:56.200,2
2025-04-01 00:44:56.225,9
2025-04-01 00:44:56.273,1
2025-04-01 00:44:56.291,1
2025-04-01 00:44:56.308,2
2025-04-01 00:44:56.331,2
2025-04-01 00:44:56.365,1
2025-04-01 00:44:56.395,4
2025-04-01 00:44:56.408,1
2025-04-01 00:44:56.461,9
2025-04-01 00:44:56.468,1
2025-04-01 00:44:56.509,7
2025-04-01 00:44:56.613,1
2025-04-01 00:44:56.646,1
2025-04-01 00:44:56.681,3
2025-04-01 00:44:56.689,4
2025-04-01 00:44:56.716,12
2025-04-01 00:44:56.759,6
