enter_time_str,count
2025-04-01 00:48:20.622,1
2025-04-01 00:48:20.749,3
2025-04-01 00:48:20.968,1
2025-04-01 00:48:20.983,7
2025-04-01 00:48:21.029,15
2025-04-01 00:48:21.111,10
2025-04-01 00:48:21.226,1
2025-04-01 00:48:21.239,7
2025-04-01 00:48:21.280,5
2025-04-01 00:48:21.313,8
2025-04-01 00:48:21.361,15
2025-04-01 00:48:21.537,1
2025-04-01 00:48:21.554,12
2025-04-01 00:48:21.656,1
2025-04-01 00:48:21.667,7
2025-04-01 00:48:21.848,1
2025-04-01 00:48:21.861,7
2025-04-01 00:48:21.898,14
2025-04-01 00:48:22.018,1
2025-04-01 00:48:22.036,10
2025-04-01 00:48:22.191,2
2025-04-01 00:48:22.208,11
2025-04-01 00:48:22.274,21
2025-04-01 00:48:22.388,5
2025-04-01 00:48:22.431,1
2025-04-01 00:48:22.445,6
2025-04-01 00:48:22.478,3
2025-04-01 00:48:22.542,1
2025-04-01 00:48:22.558,5
2025-04-01 00:48:22.585,9
2025-04-01 00:48:22.656,2
2025-04-01 00:48:22.677,16
2025-04-01 00:48:22.763,11
2025-04-01 00:48:22.839,1
2025-04-01 00:48:22.845,1
2025-04-01 00:48:22.866,11
2025-04-01 00:48:23.214,16
2025-04-01 00:48:23.296,16
2025-04-01 00:48:23.382,16
2025-04-01 00:48:23.463,16
2025-04-01 00:48:23.546,16
2025-04-01 00:48:23.631,10
2025-04-01 00:48:23.691,2
2025-04-01 00:48:23.708,1
2025-04-01 00:48:23.728,2
2025-04-01 00:48:23.749,10
2025-04-01 00:48:23.802,3
2025-04-01 00:48:23.854,1
2025-04-01 00:48:23.864,3
2025-04-01 00:48:23.888,1
2025-04-01 00:48:23.922,1
2025-04-01 00:48:23.967,1
2025-04-01 00:48:23.980,6
2025-04-01 00:48:24.014,11
2025-04-01 00:48:24.073,2
2025-04-01 00:48:24.132,1
2025-04-01 00:48:24.149,10
2025-04-01 00:48:24.205,4
2025-04-01 00:48:24.234,2
2025-04-01 00:48:24.256,5
2025-04-01 00:48:24.285,5
2025-04-01 00:48:24.316,2
2025-04-01 00:48:24.348,1
2025-04-01 00:48:24.372,1
2025-04-01 00:48:24.379,4
2025-04-01 00:48:24.399,6
2025-04-01 00:48:24.433,1
2025-04-01 00:48:24.470,1
2025-04-01 00:48:24.478,2
2025-04-01 00:48:24.496,2
2025-04-01 00:48:24.510,1
2025-04-01 00:48:24.536,2
2025-04-01 00:48:24.561,1
2025-04-01 00:48:24.570,1
2025-04-01 00:48:24.611,1
2025-04-01 00:48:24.627,11
2025-04-01 00:48:24.680,6
2025-04-01 00:48:24.757,1
2025-04-01 00:48:24.766,2
2025-04-01 00:48:24.788,6
2025-04-01 00:48:24.822,3
2025-04-01 00:48:24.848,4
2025-04-01 00:48:24.874,4
2025-04-01 00:48:24.900,1
2025-04-01 00:48:24.912,1
2025-04-01 00:48:24.923,1
2025-04-01 00:48:24.957,1
2025-04-01 00:48:24.966,2
2025-04-01 00:48:25.016,1
2025-04-01 00:48:25.025,1
2025-04-01 00:48:25.047,1
2025-04-01 00:48:25.057,3
2025-04-01 00:48:25.094,1
2025-04-01 00:48:25.102,6
2025-04-01 00:48:25.134,6
2025-04-01 00:48:25.170,1
2025-04-01 00:48:25.180,1
2025-04-01 00:48:25.207,1
2025-04-01 00:48:25.218,5
2025-04-01 00:48:25.246,1
2025-04-01 00:48:25.257,1
2025-04-01 00:48:25.266,1
2025-04-01 00:48:25.282,6
2025-04-01 00:48:25.320,1
2025-04-01 00:48:25.365,1
2025-04-01 00:48:25.374,1
2025-04-01 00:48:25.406,1
2025-04-01 00:48:25.415,4
2025-04-01 00:48:25.438,2
2025-04-01 00:48:25.461,5
2025-04-01 00:48:25.487,5
2025-04-01 00:48:25.518,6
2025-04-01 00:48:25.557,1
2025-04-01 00:48:25.571,2
2025-04-01 00:48:25.621,1
2025-04-01 00:48:25.634,6
2025-04-01 00:48:25.665,3
2025-04-01 00:48:25.688,6
2025-04-01 00:48:25.727,1
2025-04-01 00:48:25.738,3
2025-04-01 00:48:25.757,4
2025-04-01 00:48:25.782,1
2025-04-01 00:48:25.796,3
2025-04-01 00:48:25.841,1
2025-04-01 00:48:25.854,2
2025-04-01 00:48:25.871,3
2025-04-01 00:48:25.888,5
2025-04-01 00:48:25.921,3
2025-04-01 00:48:25.944,1
2025-04-01 00:48:25.958,1
2025-04-01 00:48:25.976,3
2025-04-01 00:48:25.998,1
2025-04-01 00:48:26.042,1
2025-04-01 00:48:26.047,2
2025-04-01 00:48:26.066,7
2025-04-01 00:48:26.105,5
2025-04-01 00:48:26.153,1
2025-04-01 00:48:26.162,4
2025-04-01 00:48:26.208,1
2025-04-01 00:48:26.218,1
2025-04-01 00:48:26.233,5
2025-04-01 00:48:26.261,6
2025-04-01 00:48:26.294,2
2025-04-01 00:48:26.314,2
2025-04-01 00:48:26.326,3
2025-04-01 00:48:26.364,1
2025-04-01 00:48:26.392,1
2025-04-01 00:48:26.407,1
2025-04-01 00:48:26.429,10
2025-04-01 00:48:26.482,1
2025-04-01 00:48:26.497,1
2025-04-01 00:48:26.539,2
2025-04-01 00:48:26.556,7
2025-04-01 00:48:26.597,2
2025-04-01 00:48:26.616,1
2025-04-01 00:48:26.630,1
2025-04-01 00:48:26.660,1
2025-04-01 00:48:26.682,1
2025-04-01 00:48:26.692,4
2025-04-01 00:48:26.722,9
