enter_time_str,count
2025-04-01 00:51:28.644,1
2025-04-01 00:51:29.128,18
2025-04-01 00:51:29.215,14
2025-04-01 00:51:29.289,18
2025-04-01 00:51:29.385,14
2025-04-01 00:51:29.464,18
2025-04-01 00:51:29.561,14
2025-04-01 00:51:29.620,18
2025-04-01 00:51:29.683,11
2025-04-01 00:51:29.719,4
2025-04-01 00:51:29.741,2
2025-04-01 00:51:29.757,3
2025-04-01 00:51:29.772,2
2025-04-01 00:51:29.788,1
2025-04-01 00:51:29.805,3
2025-04-01 00:51:29.824,2
2025-04-01 00:51:29.842,2
2025-04-01 00:51:29.869,3
2025-04-01 00:51:29.900,4
2025-04-01 00:51:29.927,2
2025-04-01 00:51:29.950,4
2025-04-01 00:51:29.986,4
2025-04-01 00:51:30.007,2
2025-04-01 00:51:30.032,3
2025-04-01 00:51:30.062,3
2025-04-01 00:51:30.076,1
2025-04-01 00:51:30.093,3
2025-04-01 00:51:30.123,3
2025-04-01 00:51:30.141,2
2025-04-01 00:51:30.159,1
2025-04-01 00:51:30.173,3
2025-04-01 00:51:30.203,3
2025-04-01 00:51:30.219,2
2025-04-01 00:51:30.240,3
2025-04-01 00:51:30.254,1
2025-04-01 00:51:30.266,1
2025-04-01 00:51:30.277,2
2025-04-01 00:51:30.289,1
2025-04-01 00:51:30.300,1
2025-04-01 00:51:30.312,2
2025-04-01 00:51:30.324,1
2025-04-01 00:51:30.337,1
2025-04-01 00:51:30.350,1
2025-04-01 00:51:30.367,2
2025-04-01 00:51:30.389,3
2025-04-01 00:51:30.404,2
2025-04-01 00:51:30.418,2
2025-04-01 00:51:30.446,3
2025-04-01 00:51:30.475,3
2025-04-01 00:51:30.490,2
2025-04-01 00:51:30.504,2
2025-04-01 00:51:30.517,1
2025-04-01 00:51:30.531,2
2025-04-01 00:51:30.544,1
2025-04-01 00:51:30.557,2
2025-04-01 00:51:30.569,1
2025-04-01 00:51:30.585,2
2025-04-01 00:51:30.598,1
2025-04-01 00:51:30.610,2
2025-04-01 00:51:30.625,1
2025-04-01 00:51:30.639,2
2025-04-01 00:51:30.650,1
2025-04-01 00:51:30.663,2
2025-04-01 00:51:30.675,1
2025-04-01 00:51:30.687,2
2025-04-01 00:51:30.700,1
2025-04-01 00:51:30.713,1
2025-04-01 00:51:30.726,2
2025-04-01 00:51:30.746,2
2025-04-01 00:51:30.761,2
2025-04-01 00:51:30.775,2
2025-04-01 00:51:30.790,1
2025-04-01 00:51:30.803,2
2025-04-01 00:51:30.816,1
2025-04-01 00:51:30.829,2
2025-04-01 00:51:30.843,2
2025-04-01 00:51:30.859,1
2025-04-01 00:51:30.873,2
2025-04-01 00:51:30.885,1
2025-04-01 00:51:30.900,2
2025-04-01 00:51:30.913,1
2025-04-01 00:51:30.926,2
2025-04-01 00:51:30.939,1
2025-04-01 00:51:30.956,1
2025-04-01 00:51:30.977,3
2025-04-01 00:51:31.008,4
2025-04-01 00:51:31.045,5
2025-04-01 00:51:31.074,3
2025-04-01 00:51:31.105,2
2025-04-01 00:51:31.126,4
2025-04-01 00:51:31.143,2
2025-04-01 00:51:31.162,2
2025-04-01 00:51:31.185,3
2025-04-01 00:51:31.215,3
2025-04-01 00:51:31.237,3
2025-04-01 00:51:31.255,2
2025-04-01 00:51:31.276,3
2025-04-01 00:51:31.307,3
2025-04-01 00:51:31.326,2
2025-04-01 00:51:31.347,2
2025-04-01 00:51:31.372,4
2025-04-01 00:51:31.408,3
2025-04-01 00:51:31.426,2
2025-04-01 00:51:31.453,4
2025-04-01 00:51:31.490,4
2025-04-01 00:51:31.511,2
2025-04-01 00:51:31.528,2
2025-04-01 00:51:31.789,1
2025-04-01 00:51:31.813,3
2025-04-01 00:51:31.842,3
2025-04-01 00:51:31.861,3
2025-04-01 00:51:31.879,2
2025-04-01 00:51:31.905,3
2025-04-01 00:51:31.925,2
2025-04-01 00:51:31.949,3
2025-04-01 00:51:31.966,2
2025-04-01 00:51:31.989,2
2025-04-01 00:51:32.008,2
2025-04-01 00:51:32.028,3
2025-04-01 00:51:32.052,3
2025-04-01 00:51:32.072,2
2025-04-01 00:51:32.085,2
2025-04-01 00:51:32.101,2
2025-04-01 00:51:32.118,1
2025-04-01 00:51:32.135,2
2025-04-01 00:51:32.151,2
2025-04-01 00:51:32.169,2
2025-04-01 00:51:32.185,2
2025-04-01 00:51:32.202,2
2025-04-01 00:51:32.215,1
2025-04-01 00:51:32.229,2
2025-04-01 00:51:32.247,2
2025-04-01 00:51:32.270,2
2025-04-01 00:51:32.289,2
2025-04-01 00:51:32.311,3
2025-04-01 00:51:32.327,2
2025-04-01 00:51:32.343,2
2025-04-01 00:51:32.357,1
2025-04-01 00:51:32.370,2
2025-04-01 00:51:32.392,2
2025-04-01 00:51:32.415,2
2025-04-01 00:51:32.435,3
2025-04-01 00:51:32.457,2
2025-04-01 00:51:32.478,3
2025-04-01 00:51:32.495,2
2025-04-01 00:51:32.516,2
2025-04-01 00:51:32.534,2
2025-04-01 00:51:32.553,2
2025-04-01 00:51:32.570,2
2025-04-01 00:51:32.596,3
2025-04-01 00:51:32.619,3
2025-04-01 00:51:32.644,3
2025-04-01 00:51:32.667,2
2025-04-01 00:51:32.687,2
2025-04-01 00:51:32.708,3
2025-04-01 00:51:32.726,1
2025-04-01 00:51:32.747,3
2025-04-01 00:51:32.770,2
