id,enter_time_str,latency
WYLA6QSL,2025-03-31 23:21:27.848,141.0
N9KFP7IY,2025-03-31 23:21:27.848,141.0
R4EIT6UJ,2025-03-31 23:21:27.990,11.0
HFYE4KRZ,2025-03-31 23:21:28.001,17.0
VFM5MCJD,2025-03-31 23:21:28.001,17.0
UCMZUSBF,2025-03-31 23:21:28.001,17.0
RCJJRPJN,2025-03-31 23:21:28.073,11.0
TYIWYGB2,2025-03-31 23:21:28.086,30.0
MUMPSR58,2025-03-31 23:21:28.086,30.0
YUYMZYO4,2025-03-31 23:21:28.086,30.0
SNARMTKJ,2025-03-31 23:21:28.086,30.0
638IA4IS,2025-03-31 23:21:28.086,30.0
SD9WJCT1,2025-03-31 23:21:28.086,30.0
XSFDK0JZ,2025-03-31 23:21:28.117,30.0
YXSFJKUA,2025-03-31 23:21:28.117,30.0
R1QLO7N6,2025-03-31 23:21:28.117,30.0
HDKJ4I9Q,2025-03-31 23:21:28.117,30.0
SPY7NWQR,2025-03-31 23:21:28.117,30.0
5QW0SGBS,2025-03-31 23:21:28.117,30.0
ZNPH80EI,2025-03-31 23:21:28.149,21.0
OT42C582,2025-03-31 23:21:28.149,21.0
QL2LZ32V,2025-03-31 23:21:28.149,21.0
6Q6ZRN18,2025-03-31 23:21:28.149,21.0
EFBP0CEX,2025-03-31 23:21:28.171,14.0
4IH1927N,2025-03-31 23:21:28.171,14.0
RKVEL8HB,2025-03-31 23:21:28.171,14.0
RDUB1EJV,2025-03-31 23:21:28.192,5.0
SRN5RXYM,2025-03-31 23:21:28.198,14.0
4RB8BTSV,2025-03-31 23:21:28.198,14.0
USVN80PJ,2025-03-31 23:21:28.213,9.0
R3Z6OMO1,2025-03-31 23:21:28.225,5.0
OJG8LVRO,2025-03-31 23:21:28.255,5.0
T27AQ9QS,2025-03-31 23:21:28.286,4.0
RQNCO9XS,2025-03-31 23:21:28.294,11.0
1UK3ESJZ,2025-03-31 23:21:28.306,22.0
WQ7VGK85,2025-03-31 23:21:28.306,22.0
MKUCLD44,2025-03-31 23:21:28.306,22.0
GNI3VF6P,2025-03-31 23:21:28.306,22.0
