id,enter_time_str,latency
E83JFT68,2025-03-31 23:44:13.673,257.0
JGYTWK5Z,2025-03-31 23:44:13.683,251.0
3O81LNUP,2025-03-31 23:44:13.725,262.0
VHYRLSPJ,2025-03-31 23:44:13.932,207.0
V5YGOC1B,2025-03-31 23:44:13.932,207.0
K43HA2GD,2025-03-31 23:44:13.932,207.0
3YGU0W04,2025-03-31 23:44:13.932,207.0
04GJQUPG,2025-03-31 23:44:13.932,207.0
T4W6ZL1B,2025-03-31 23:44:13.932,207.0
FAZ9YTOG,2025-03-31 23:44:13.936,222.0
IANG0JIK,2025-03-31 23:44:13.936,222.0
CJACSJAT,2025-03-31 23:44:13.936,222.0
CXCUAQLN,2025-03-31 23:44:13.936,222.0
OIKZT6FI,2025-03-31 23:44:13.936,222.0
6KZ5X9E1,2025-03-31 23:44:13.936,222.0
0F1NOT16,2025-03-31 23:44:13.936,222.0
SC51KILG,2025-03-31 23:44:13.990,236.0
6VFIFTAF,2025-03-31 23:44:13.990,236.0
ZII9LZB6,2025-03-31 23:44:13.990,236.0
MA799IA8,2025-03-31 23:44:13.990,236.0
DQQB8CLN,2025-03-31 23:44:13.990,236.0
XKDQ4GID,2025-03-31 23:44:13.990,236.0
UBYC4TTV,2025-03-31 23:44:13.990,236.0
BLP7QPBU,2025-03-31 23:44:14.142,152.0
S7NMIYGS,2025-03-31 23:44:14.142,152.0
SM1E56F4,2025-03-31 23:44:14.142,152.0
1YSG5ATG,2025-03-31 23:44:14.142,152.0
EORAQN2S,2025-03-31 23:44:14.142,152.0
ER07KZ3C,2025-03-31 23:44:14.142,152.0
PUJ773FW,2025-03-31 23:44:14.160,80.0
3EJLOFK4,2025-03-31 23:44:14.160,80.0
IO1A06IS,2025-03-31 23:44:14.160,80.0
6IK5ZWRD,2025-03-31 23:44:14.228,88.0
IFTFGJ3D,2025-03-31 23:44:14.228,88.0
FKDPEUM6,2025-03-31 23:44:14.228,88.0
TP6C257V,2025-03-31 23:44:14.242,80.0
2KAJGRQE,2025-03-31 23:44:14.242,80.0
P4EZL4LP,2025-03-31 23:44:14.242,80.0
KI330SNB,2025-03-31 23:44:14.297,104.0
H5T2EBZ4,2025-03-31 23:44:14.297,104.0
4AS604TQ,2025-03-31 23:44:14.297,104.0
4MYHM204,2025-03-31 23:44:14.297,104.0
M58H9XBK,2025-03-31 23:44:14.318,33.0
CPKKQN0F,2025-03-31 23:44:14.324,78.0
2AYRKKMF,2025-03-31 23:44:14.324,78.0
F2B9PPIR,2025-03-31 23:44:14.324,78.0
UMOHG7HB,2025-03-31 23:44:14.353,32.0
AJ93HPJ8,2025-03-31 23:44:14.389,31.0
500V8Z3V,2025-03-31 23:44:14.403,35.0
E6WG7SSI,2025-03-31 23:44:14.405,105.0
XOG8AM51,2025-03-31 23:44:14.405,105.0
9DEKS3BS,2025-03-31 23:44:14.405,105.0
6LQB4I0Q,2025-03-31 23:44:14.405,105.0
8UTU0PSZ,2025-03-31 23:44:14.439,33.0
DRC5PNBQ,2025-03-31 23:44:14.452,31.0
B9IZFTWY,2025-03-31 23:44:14.473,32.0
KXSGL3TU,2025-03-31 23:44:14.497,32.0
C2C77EQX,2025-03-31 23:44:14.512,57.0
E568QFAX,2025-03-31 23:44:14.512,57.0
Y0XWIPEH,2025-03-31 23:44:14.530,31.0
LYBWRFHG,2025-03-31 23:44:14.545,31.0
8B929TGR,2025-03-31 23:44:14.571,34.0
O6U4T8VV,2025-03-31 23:44:14.577,32.0
RYVJTD05,2025-03-31 23:44:14.606,32.0
24COJ3OL,2025-03-31 23:44:14.611,55.0
VB7227I3,2025-03-31 23:44:14.611,55.0
5I94XN3B,2025-03-31 23:44:14.639,32.0
JYOM6ETZ,2025-03-31 23:44:14.668,57.0
YNM6R7XO,2025-03-31 23:44:14.668,57.0
ZE5HG17S,2025-03-31 23:44:14.672,32.0
52J2P081,2025-03-31 23:44:14.706,55.0
H5XMOI2N,2025-03-31 23:44:14.706,55.0
EORYHN7C,2025-03-31 23:44:14.712,31.0
ZQIE1HOJ,2025-03-31 23:44:14.727,33.0
LT6FQX2S,2025-03-31 23:44:14.762,32.0
AEQDVSLO,2025-03-31 23:44:14.763,33.0
6GX1FMOO,2025-03-31 23:44:14.785,32.0
QPQCDMQQ,2025-03-31 23:44:14.796,55.0
BLTEWJGI,2025-03-31 23:44:14.796,55.0
F996DZ1K,2025-03-31 23:44:14.843,32.0
N4TVA9FX,2025-03-31 23:44:14.852,57.0
J5F9ETE8,2025-03-31 23:44:14.852,57.0
BYCY9O2B,2025-03-31 23:44:14.876,54.0
Q0CDIKS0,2025-03-31 23:44:14.876,54.0
R5868T0N,2025-03-31 23:44:14.910,56.0
KOMDTQX2,2025-03-31 23:44:14.910,56.0
EZJN26ET,2025-03-31 23:44:14.952,31.0
1OOMCWNA,2025-03-31 23:44:14.968,55.0
X8BCUHX6,2025-03-31 23:44:14.968,55.0
