enter_time_str,count
2025-03-31 23:49:57.031,1
2025-03-31 23:49:57.060,1
2025-03-31 23:49:57.071,1
2025-03-31 23:49:57.305,10
2025-03-31 23:49:57.325,7
2025-03-31 23:49:57.326,5
2025-03-31 23:49:57.542,10
2025-03-31 23:49:57.588,5
2025-03-31 23:49:57.604,3
2025-03-31 23:49:57.688,1
2025-03-31 23:49:57.721,5
2025-03-31 23:49:57.723,3
2025-03-31 23:49:57.783,5
2025-03-31 23:49:57.803,2
2025-03-31 23:49:57.853,4
2025-03-31 23:49:57.863,2
2025-03-31 23:49:57.920,2
2025-03-31 23:49:57.923,2
2025-03-31 23:49:57.959,1
2025-03-31 23:49:57.977,1
2025-03-31 23:49:57.981,2
2025-03-31 23:49:57.996,1
2025-03-31 23:49:58.011,1
2025-03-31 23:49:58.034,2
2025-03-31 23:49:58.038,1
2025-03-31 23:49:58.044,1
2025-03-31 23:49:58.072,1
2025-03-31 23:49:58.088,1
2025-03-31 23:49:58.093,1
2025-03-31 23:49:58.104,1
2025-03-31 23:49:58.121,1
2025-03-31 23:49:58.127,1
2025-03-31 23:49:58.155,1
2025-03-31 23:49:58.161,1
2025-03-31 23:49:58.188,2
2025-03-31 23:49:58.196,1
2025-03-31 23:49:58.230,3
2025-03-31 23:49:58.266,1
2025-03-31 23:49:58.299,2
2025-03-31 23:49:58.310,3
2025-03-31 23:49:58.355,1
2025-03-31 23:49:58.389,1
2025-03-31 23:49:58.392,4
2025-03-31 23:49:58.427,1
2025-03-31 23:49:58.460,1
2025-03-31 23:49:58.493,1
2025-03-31 23:49:58.501,4
2025-03-31 23:49:58.510,1
2025-03-31 23:49:58.527,1
2025-03-31 23:49:58.603,1
2025-03-31 23:49:58.613,6
2025-03-31 23:49:58.622,1
2025-03-31 23:49:58.654,1
2025-03-31 23:49:58.687,2
2025-03-31 23:49:58.713,1
2025-03-31 23:49:58.770,1
2025-03-31 23:49:58.773,6
2025-03-31 23:49:58.785,1
2025-03-31 23:49:58.803,1
2025-03-31 23:49:58.826,1
2025-03-31 23:49:58.858,1
2025-03-31 23:49:58.868,1
2025-03-31 23:49:58.891,2
2025-03-31 23:49:58.930,2
2025-03-31 23:49:58.933,1
2025-03-31 23:49:58.947,2
2025-03-31 23:49:58.986,1
2025-03-31 23:49:58.989,1
2025-03-31 23:49:59.004,2
2025-03-31 23:49:59.019,1
2025-03-31 23:49:59.024,1
2025-03-31 23:49:59.051,1
2025-03-31 23:49:59.062,1
2025-03-31 23:49:59.084,1
2025-03-31 23:49:59.093,1
2025-03-31 23:49:59.096,2
2025-03-31 23:49:59.117,1
2025-03-31 23:49:59.128,1
2025-03-31 23:49:59.152,1
2025-03-31 23:49:59.160,1
2025-03-31 23:49:59.186,2
2025-03-31 23:49:59.194,1
2025-03-31 23:49:59.229,1
2025-03-31 23:49:59.243,3
2025-03-31 23:49:59.260,1
2025-03-31 23:49:59.299,1
2025-03-31 23:49:59.323,2
2025-03-31 23:49:59.331,1
2025-03-31 23:49:59.376,1
2025-03-31 23:49:59.382,4
2025-03-31 23:49:59.409,2
2025-03-31 23:49:59.457,1
2025-03-31 23:49:59.465,1
2025-03-31 23:49:59.502,2
2025-03-31 23:49:59.558,1
2025-03-31 23:49:59.593,1
2025-03-31 23:49:59.607,1
2025-03-31 23:49:59.640,2
2025-03-31 23:49:59.697,1
2025-03-31 23:49:59.700,1
2025-03-31 23:49:59.704,11
2025-03-31 23:49:59.733,2
2025-03-31 23:49:59.737,1
2025-03-31 23:49:59.790,2
2025-03-31 23:49:59.848,5
2025-03-31 23:49:59.874,1
2025-03-31 23:49:59.966,4
2025-03-31 23:49:59.980,5
2025-03-31 23:49:59.995,1
2025-03-31 23:50:00.036,1
2025-03-31 23:50:00.069,1
2025-03-31 23:50:00.072,3
2025-03-31 23:50:00.104,1
2025-03-31 23:50:00.112,2
2025-03-31 23:50:00.144,1
2025-03-31 23:50:00.156,1
2025-03-31 23:50:00.172,3
2025-03-31 23:50:00.177,1
2025-03-31 23:50:00.196,1
2025-03-31 23:50:00.210,2
2025-03-31 23:50:00.253,3
2025-03-31 23:50:00.280,1
2025-03-31 23:50:00.334,5
2025-03-31 23:50:00.355,1
2025-03-31 23:50:00.388,1
2025-03-31 23:50:00.421,2
2025-03-31 23:50:00.465,4
2025-03-31 23:50:00.476,2
2025-03-31 23:50:00.534,3
2025-03-31 23:50:00.539,1
2025-03-31 23:50:00.571,3
2025-03-31 23:50:00.591,1
2025-03-31 23:50:00.614,1
2025-03-31 23:50:00.631,1
2025-03-31 23:50:00.651,1
2025-03-31 23:50:00.653,2
2025-03-31 23:50:00.684,1
2025-03-31 23:50:00.712,3
2025-03-31 23:50:00.726,1
2025-03-31 23:50:00.741,1
2025-03-31 23:50:00.758,1
2025-03-31 23:50:00.793,3
2025-03-31 23:50:00.797,1
2025-03-31 23:50:00.830,2
2025-03-31 23:50:00.859,1
2025-03-31 23:50:00.874,1
2025-03-31 23:50:00.886,1
2025-03-31 23:50:00.897,1
2025-03-31 23:50:00.911,2
2025-03-31 23:50:00.935,1
2025-03-31 23:50:00.949,1
