enter_time_str,count
2025-03-31 23:49:57.444,1
2025-03-31 23:49:57.454,1
2025-03-31 23:49:57.455,1
2025-03-31 23:49:57.768,8
2025-03-31 23:49:57.782,12
2025-03-31 23:49:57.794,11
2025-03-31 23:49:57.995,9
2025-03-31 23:49:58.114,16
2025-03-31 23:49:58.137,11
2025-03-31 23:49:58.225,12
2025-03-31 23:49:58.425,5
2025-03-31 23:49:58.553,6
2025-03-31 23:49:58.554,10
2025-03-31 23:49:58.574,3
2025-03-31 23:49:58.664,2
2025-03-31 23:49:58.718,1
2025-03-31 23:49:58.730,2
2025-03-31 23:49:58.775,1
2025-03-31 23:49:58.812,1
2025-03-31 23:49:58.816,2
2025-03-31 23:49:58.822,6
2025-03-31 23:49:58.853,1
2025-03-31 23:49:58.874,2
2025-03-31 23:49:58.893,1
2025-03-31 23:49:58.948,1
2025-03-31 23:49:58.988,1
2025-03-31 23:49:58.990,6
2025-03-31 23:49:58.998,1
2025-03-31 23:49:59.025,1
2025-03-31 23:49:59.041,1
2025-03-31 23:49:59.064,1
2025-03-31 23:49:59.074,1
2025-03-31 23:49:59.107,1
2025-03-31 23:49:59.108,1
2025-03-31 23:49:59.140,1
2025-03-31 23:49:59.172,1
2025-03-31 23:49:59.175,14
2025-03-31 23:49:59.208,4
2025-03-31 23:49:59.247,1
2025-03-31 23:49:59.309,2
2025-03-31 23:49:59.348,1
2025-03-31 23:49:59.369,2
2025-03-31 23:49:59.402,1
2025-03-31 23:49:59.431,2
2025-03-31 23:49:59.496,2
2025-03-31 23:49:59.510,1
2025-03-31 23:49:59.553,1
2025-03-31 23:49:59.556,5
2025-03-31 23:49:59.584,1
2025-03-31 23:49:59.593,1
2025-03-31 23:49:59.649,1
2025-03-31 23:49:59.698,2
2025-03-31 23:49:59.717,1
2025-03-31 23:49:59.749,1
2025-03-31 23:49:59.762,1
2025-03-31 23:49:59.766,2
2025-03-31 23:49:59.786,3
2025-03-31 23:49:59.826,3
2025-03-31 23:49:59.879,1
2025-03-31 23:49:59.928,2
2025-03-31 23:50:00.011,1
2025-03-31 23:50:00.012,1
2025-03-31 23:50:00.072,1
2025-03-31 23:50:00.078,2
2025-03-31 23:50:00.081,1
2025-03-31 23:50:00.121,5
2025-03-31 23:50:00.124,6
2025-03-31 23:50:00.146,1
2025-03-31 23:50:00.181,1
2025-03-31 23:50:00.220,3
2025-03-31 23:50:00.262,10
2025-03-31 23:50:00.310,3
2025-03-31 23:50:00.340,6
2025-03-31 23:50:00.411,1
2025-03-31 23:50:00.509,2
2025-03-31 23:50:00.511,1
2025-03-31 23:50:00.512,6
2025-03-31 23:50:00.549,1
2025-03-31 23:50:00.582,5
2025-03-31 23:50:00.618,1
2025-03-31 23:50:00.677,2
2025-03-31 23:50:00.678,1
2025-03-31 23:50:00.713,1
2025-03-31 23:50:00.736,2
2025-03-31 23:50:00.741,10
2025-03-31 23:50:00.792,1
2025-03-31 23:50:00.816,1
2025-03-31 23:50:00.826,1
2025-03-31 23:50:00.861,4
2025-03-31 23:50:00.921,1
2025-03-31 23:50:00.962,1
2025-03-31 23:50:00.964,4
2025-03-31 23:50:01.024,7
2025-03-31 23:50:01.037,1
