id,enter_time_str,latency
R45111U3,2025-04-01 03:01:24.976,87.0
P8NWIJP4,2025-04-01 03:01:24.988,88.0
GXLANUMK,2025-04-01 03:01:25.065,24.0
LMLM8QAD,2025-04-01 03:01:25.065,24.0
JPEPGFKA,2025-04-01 03:01:25.065,24.0
MYDOIQGS,2025-04-01 03:01:25.065,24.0
L3ZBSE3W,2025-04-01 03:01:25.065,24.0
HXR88DOG,2025-04-01 03:01:25.065,24.0
IKJTMZY2,2025-04-01 03:01:25.065,24.0
DTWIMWSW,2025-04-01 03:01:25.078,41.0
89XSXZVZ,2025-04-01 03:01:25.078,41.0
FCZT3LOP,2025-04-01 03:01:25.078,41.0
KXVP1PG5,2025-04-01 03:01:25.078,41.0
X7AA8I2K,2025-04-01 03:01:25.078,41.0
OSAUWEFR,2025-04-01 03:01:25.078,41.0
OIQIXCU2,2025-04-01 03:01:25.078,41.0
K84OQO9Z,2025-04-01 03:01:25.078,41.0
UB9V91AI,2025-04-01 03:01:25.078,41.0
NK6095FD,2025-04-01 03:01:25.078,41.0
WZVANYNI,2025-04-01 03:01:25.078,41.0
UY679NW7,2025-04-01 03:01:25.078,41.0
G2VY2DBY,2025-04-01 03:01:25.078,41.0
VK7SF1MC,2025-04-01 03:01:25.078,41.0
GPR1O4KP,2025-04-01 03:01:25.090,26.0
Q3NGQOV4,2025-04-01 03:01:25.090,26.0
BQ8KD0PI,2025-04-01 03:01:25.090,26.0
J85WXY68,2025-04-01 03:01:25.090,26.0
S1PSAZVO,2025-04-01 03:01:25.117,19.0
4T152K8L,2025-04-01 03:01:25.117,19.0
V42N3TQ8,2025-04-01 03:01:25.117,19.0
JJTP052J,2025-04-01 03:01:25.117,19.0
Z4O2I3ZH,2025-04-01 03:01:25.117,19.0
IYXX8414,2025-04-01 03:01:25.123,20.0
OT2D4L5D,2025-04-01 03:01:25.147,20.0
JFTKHAYP,2025-04-01 03:01:25.168,23.0
4B685XGQ,2025-04-01 03:01:25.168,23.0
FW2GZ7SG,2025-04-01 03:01:25.168,23.0
ZLIWGO41,2025-04-01 03:01:25.168,23.0
Z68E1MV8,2025-04-01 03:01:25.168,23.0
J1Z4A3E4,2025-04-01 03:01:25.168,23.0
9DUWWSP4,2025-04-01 03:01:25.168,23.0
0HGIFAS3,2025-04-01 03:01:25.181,403.0
IOKXS5JH,2025-04-01 03:01:25.192,17.0
0W2DX4CY,2025-04-01 03:01:25.192,17.0
JB9RCKWD,2025-04-01 03:01:25.192,17.0
PQY7FCKJ,2025-04-01 03:01:25.192,17.0
XKC0DZ7Y,2025-04-01 03:01:25.210,12.0
JVN0X7I8,2025-04-01 03:01:25.210,12.0
RELZK8SD,2025-04-01 03:01:25.226,13.0
28PKTTM3,2025-04-01 03:01:25.240,16.0
0E99JL68,2025-04-01 03:01:25.240,16.0
BZY3CB7U,2025-04-01 03:01:25.240,16.0
QVVKP2GF,2025-04-01 03:01:25.240,16.0
AM68SFPM,2025-04-01 03:01:25.257,14.0
W3GIL73S,2025-04-01 03:01:25.272,11.0
BRVLVQ6G,2025-04-01 03:01:25.272,11.0
NG57NBI6,2025-04-01 03:01:25.284,12.0
UCYUZTLP,2025-04-01 03:01:25.297,15.0
Q0B948DC,2025-04-01 03:01:25.297,15.0
UY0QM8VR,2025-04-01 03:01:25.314,15.0
WMQ3G1S2,2025-04-01 03:01:25.314,15.0
R0D0NAKN,2025-04-01 03:01:25.329,15.0
QIDX0DSC,2025-04-01 03:01:25.345,14.0
GAOB6NEK,2025-04-01 03:01:25.345,14.0
NEAKKZZ1,2025-04-01 03:01:25.345,14.0
5SFNMXUD,2025-04-01 03:01:25.360,12.0
0CF8LI6S,2025-04-01 03:01:25.360,12.0
2KE1L98W,2025-04-01 03:01:25.387,14.0
LEXB1WM1,2025-04-01 03:01:25.407,12.0
7E3CGYBI,2025-04-01 03:01:25.421,16.0
ALM6WLJ8,2025-04-01 03:01:25.421,16.0
KFV4J94E,2025-04-01 03:01:25.438,14.0
S6EX0RCZ,2025-04-01 03:01:25.438,14.0
HF9TK8GK,2025-04-01 03:01:25.438,14.0
GSJUYWRR,2025-04-01 03:01:25.455,13.0
AI9SY4BB,2025-04-01 03:01:25.471,15.0
KIBF5C8K,2025-04-01 03:01:25.471,15.0
BT78RCAY,2025-04-01 03:01:25.490,17.0
R79X8J2J,2025-04-01 03:01:25.490,17.0
390ZSVPL,2025-04-01 03:01:25.490,17.0
44II562O,2025-04-01 03:01:25.510,17.0
KPN4PAMF,2025-04-01 03:01:25.510,17.0
E04CLJ8I,2025-04-01 03:01:25.510,17.0
Z0W5EQ46,2025-04-01 03:01:25.510,17.0
PGAGB483,2025-04-01 03:01:25.529,15.0
SH1N0BIZ,2025-04-01 03:01:25.529,15.0
XGIJYK9Z,2025-04-01 03:01:25.546,16.0
L0G2IS6G,2025-04-01 03:01:25.563,15.0
WBGBIZSH,2025-04-01 03:01:25.563,15.0
LF50NJX4,2025-04-01 03:01:25.563,15.0
X5RZK161,2025-04-01 03:01:25.580,29.0
5IWUGOM8,2025-04-01 03:01:25.580,29.0
B5QSJ72O,2025-04-01 03:01:25.580,29.0
MEIZJS39,2025-04-01 03:01:25.580,29.0
DC5X8MHS,2025-04-01 03:01:25.580,29.0
Z6K78S9Q,2025-04-01 03:01:25.580,29.0
6TQ3ABKA,2025-04-01 03:01:25.587,114.0
XLJPUS8D,2025-04-01 03:01:25.587,114.0
2XH10911,2025-04-01 03:01:25.587,114.0
6ZE179F3,2025-04-01 03:01:25.587,114.0
TO2LS95R,2025-04-01 03:01:25.587,114.0
D029WIFA,2025-04-01 03:01:25.587,114.0
3FEJUPDH,2025-04-01 03:01:25.587,114.0
ZO3B4DSX,2025-04-01 03:01:25.587,114.0
AT81E9P4,2025-04-01 03:01:25.587,114.0
L6HJQX7M,2025-04-01 03:01:25.587,114.0
S9PAUQB9,2025-04-01 03:01:25.587,114.0
8USL8UBK,2025-04-01 03:01:25.587,114.0
I1PSMES3,2025-04-01 03:01:25.587,114.0
X9YOAUXW,2025-04-01 03:01:25.587,114.0
SGJUIC7Q,2025-04-01 03:01:25.587,114.0
784I2ACX,2025-04-01 03:01:25.587,114.0
CQP8T3GB,2025-04-01 03:01:25.587,114.0
CFBVE72G,2025-04-01 03:01:25.587,114.0
2OOYN8B8,2025-04-01 03:01:25.587,114.0
ADC0APA4,2025-04-01 03:01:25.587,114.0
Z5M8MNP6,2025-04-01 03:01:25.587,114.0
Q1PN3OWP,2025-04-01 03:01:25.587,114.0
8KVS9WSY,2025-04-01 03:01:25.587,114.0
T7NV9TOU,2025-04-01 03:01:25.587,114.0
BTKUOTF9,2025-04-01 03:01:25.587,114.0
YUSO7UOP,2025-04-01 03:01:25.587,114.0
1IXU1NWZ,2025-04-01 03:01:25.587,114.0
1MT3PTPW,2025-04-01 03:01:25.587,114.0
E9WB30YO,2025-04-01 03:01:25.587,114.0
WXD6YYO0,2025-04-01 03:01:25.587,114.0
ZIFPNK4B,2025-04-01 03:01:25.587,114.0
4LCBZXJS,2025-04-01 03:01:25.612,75.0
LSV3LUFQ,2025-04-01 03:01:25.612,75.0
80BPU1YZ,2025-04-01 03:01:25.612,75.0
HJCMRDFB,2025-04-01 03:01:25.612,75.0
