id,enter_time_str,latency
LX8GUUSQ,2025-04-01 03:18:51.389,803.0
25KOZ319,2025-04-01 03:18:51.396,869.0
6YK93ORA,2025-04-01 03:18:51.413,1459.0
5SZCDTSM,2025-04-01 03:18:51.421,807.0
9WA8JRCD,2025-04-01 03:18:51.431,1082.0
C2V5TBAR,2025-04-01 03:18:51.432,829.0
FC4GS09E,2025-04-01 03:18:51.438,1055.0
O36MBDBD,2025-04-01 03:18:51.444,1426.0
ZPM0D1AQ,2025-04-01 03:18:51.458,1032.0
3BA9F1OV,2025-04-01 03:18:51.460,1032.0
73BOZEV9,2025-04-01 03:18:51.479,1078.0
LOR3B9AX,2025-04-01 03:18:51.488,1004.0
BW44CX9G,2025-04-01 03:18:51.497,1377.0
61TLGU6P,2025-04-01 03:18:51.498,1375.0
D8V2ZD53,2025-04-01 03:18:51.504,1055.0
GT0TPMQR,2025-04-01 03:18:51.505,978.0
O9WFZB41,2025-04-01 03:18:51.512,907.0
OSMJ43DE,2025-04-01 03:18:51.514,1014.0
GQWRUTIJ,2025-04-01 03:18:51.522,1345.0
JMNVMMN7,2025-04-01 03:18:51.523,897.0
MZ8HJ02H,2025-04-01 03:18:51.529,1337.0
9L1Z431J,2025-04-01 03:18:51.540,1331.0
1XHTO5Y3,2025-04-01 03:18:51.541,1325.0
JAHOEM4X,2025-04-01 03:18:51.541,768.0
NFCAMK33,2025-04-01 03:18:51.541,969.0
9UZ99VOE,2025-04-01 03:18:51.548,1321.0
HWFE6LQ2,2025-04-01 03:18:51.549,1319.0
6H12T22L,2025-04-01 03:18:51.558,1312.0
34V8MN4T,2025-04-01 03:18:51.567,1305.0
93BQ865S,2025-04-01 03:18:51.567,852.0
82FEN0XA,2025-04-01 03:18:51.577,932.0
R5SBEHJB,2025-04-01 03:18:51.577,1143.0
6YPVDMXX,2025-04-01 03:18:51.577,767.0
RKQYCXFY,2025-04-01 03:18:51.586,835.0
ZO9WUL7C,2025-04-01 03:18:51.590,920.0
7SMRCIVB,2025-04-01 03:18:51.593,916.0
HQLLY335,2025-04-01 03:18:51.594,898.0
IIACNTO7,2025-04-01 03:18:51.602,1117.0
G1RJ2ZIO,2025-04-01 03:18:51.603,1115.0
CY2WBR9Z,2025-04-01 03:18:51.612,1642.0
8ASX8CV6,2025-04-01 03:18:51.612,1261.0
GO8TOZH7,2025-04-01 03:18:51.622,1252.0
N3IPZ8LT,2025-04-01 03:18:51.623,1245.0
IIKKYUJR,2025-04-01 03:18:51.630,1245.0
HNAA0YSV,2025-04-01 03:18:51.630,1244.0
2AH3M0UQ,2025-04-01 03:18:51.638,1080.0
VEGUXXWQ,2025-04-01 03:18:51.640,869.0
RVFPPQ8E,2025-04-01 03:18:51.647,843.0
9D7D4V2F,2025-04-01 03:18:51.647,1223.0
G6K9GCS1,2025-04-01 03:18:51.656,1216.0
6YTZIVOX,2025-04-01 03:18:51.657,1062.0
H6KVI89W,2025-04-01 03:18:51.664,829.0
922JV16R,2025-04-01 03:18:51.667,1412.0
VFGLICCX,2025-04-01 03:18:51.674,1195.0
HWMGJA0A,2025-04-01 03:18:51.678,1191.0
TGR8VKZR,2025-04-01 03:18:51.682,1190.0
JP0TG6YG,2025-04-01 03:18:51.684,736.0
X5KKNGH4,2025-04-01 03:18:51.692,1180.0
GV8J8G16,2025-04-01 03:18:51.692,1175.0
030KCD96,2025-04-01 03:18:51.699,760.0
E028WTZ5,2025-04-01 03:18:51.700,795.0
CQ46YLS0,2025-04-01 03:18:51.707,1392.0
0SND1HC7,2025-04-01 03:18:51.710,714.0
28XCTLF8,2025-04-01 03:18:51.716,1006.0
0SZS9HXM,2025-04-01 03:18:51.719,1244.0
VP9VBDXI,2025-04-01 03:18:51.726,1255.0
CWKAHENN,2025-04-01 03:18:51.728,990.0
LGAMZL0M,2025-04-01 03:18:51.735,1137.0
AULF2QML,2025-04-01 03:18:51.735,1137.0
609PYWHW,2025-04-01 03:18:51.745,1566.0
T1FOSNX2,2025-04-01 03:18:51.745,1127.0
BQZ5IEHM,2025-04-01 03:18:51.752,758.0
9CJKG8N4,2025-04-01 03:18:51.761,883.0
HQVFHG8V,2025-04-01 03:18:51.761,1114.0
77N856MM,2025-04-01 03:18:51.762,843.0
BIUMWW5O,2025-04-01 03:18:51.770,835.0
7M113UWT,2025-04-01 03:18:51.772,1477.0
1O2JYQVH,2025-04-01 03:18:51.779,943.0
TBW3R8BQ,2025-04-01 03:18:51.781,763.0
558YTK7E,2025-04-01 03:18:51.787,1070.0
S94TCD06,2025-04-01 03:18:51.789,916.0
HGG3CXVL,2025-04-01 03:18:51.796,1302.0
UOURCWYZ,2025-04-01 03:18:51.798,1301.0
G6GZIBMP,2025-04-01 03:18:51.806,798.0
JMPBFVEA,2025-04-01 03:18:51.807,1049.0
QPIYOBNP,2025-04-01 03:18:51.814,858.0
4N8C3Q41,2025-04-01 03:18:51.816,1146.0
VFH22BAC,2025-04-01 03:18:51.827,1182.0
LQJXDYHR,2025-04-01 03:18:51.827,1155.0
Y9DASILA,2025-04-01 03:18:51.832,839.0
CNS35EE7,2025-04-01 03:18:51.833,1024.0
IJ6XEDZD,2025-04-01 03:18:51.841,969.0
7T7R4ID7,2025-04-01 03:18:51.841,976.0
T46QNLJJ,2025-04-01 03:18:51.850,1247.0
ZQ20216H,2025-04-01 03:18:51.850,1246.0
