id,enter_time_str,latency
LX8GUUSQ,2025-04-01 03:18:51.865,324.0
25KOZ319,2025-04-01 03:18:51.873,390.0
C2V5TBAR,2025-04-01 03:18:51.875,384.0
9WA8JRCD,2025-04-01 03:18:52.121,387.0
GT0TPMQR,2025-04-01 03:18:52.128,353.0
OSMJ43DE,2025-04-01 03:18:52.139,387.0
5SZCDTSM,2025-04-01 03:18:52.190,35.0
JAHOEM4X,2025-04-01 03:18:52.228,31.0
ZPM0D1AQ,2025-04-01 03:18:52.260,227.0
RVFPPQ8E,2025-04-01 03:18:52.260,227.0
LOR3B9AX,2025-04-01 03:18:52.260,227.0
3BA9F1OV,2025-04-01 03:18:52.260,227.0
HQLLY335,2025-04-01 03:18:52.260,227.0
E028WTZ5,2025-04-01 03:18:52.260,227.0
FC4GS09E,2025-04-01 03:18:52.260,227.0
H6KVI89W,2025-04-01 03:18:52.260,227.0
O9WFZB41,2025-04-01 03:18:52.264,152.0
93BQ865S,2025-04-01 03:18:52.264,152.0
0SND1HC7,2025-04-01 03:18:52.264,152.0
JMNVMMN7,2025-04-01 03:18:52.264,152.0
JP0TG6YG,2025-04-01 03:18:52.264,152.0
RKQYCXFY,2025-04-01 03:18:52.264,152.0
6YPVDMXX,2025-04-01 03:18:52.307,36.0
7SMRCIVB,2025-04-01 03:18:52.343,164.0
82FEN0XA,2025-04-01 03:18:52.343,164.0
VEGUXXWQ,2025-04-01 03:18:52.343,164.0
NFCAMK33,2025-04-01 03:18:52.343,164.0
ZO9WUL7C,2025-04-01 03:18:52.343,164.0
BQZ5IEHM,2025-04-01 03:18:52.343,164.0
030KCD96,2025-04-01 03:18:52.417,40.0
CWKAHENN,2025-04-01 03:18:52.482,232.0
2AH3M0UQ,2025-04-01 03:18:52.482,232.0
G1RJ2ZIO,2025-04-01 03:18:52.482,232.0
IIACNTO7,2025-04-01 03:18:52.482,232.0
6YTZIVOX,2025-04-01 03:18:52.482,232.0
R5SBEHJB,2025-04-01 03:18:52.482,232.0
28XCTLF8,2025-04-01 03:18:52.482,232.0
1O2JYQVH,2025-04-01 03:18:52.482,232.0
D8V2ZD53,2025-04-01 03:18:52.488,66.0
73BOZEV9,2025-04-01 03:18:52.488,66.0
G6GZIBMP,2025-04-01 03:18:52.508,94.0
BIUMWW5O,2025-04-01 03:18:52.508,94.0
77N856MM,2025-04-01 03:18:52.508,94.0
TBW3R8BQ,2025-04-01 03:18:52.509,34.0
1XHTO5Y3,2025-04-01 03:18:52.510,353.0
MZ8HJ02H,2025-04-01 03:18:52.510,353.0
GQWRUTIJ,2025-04-01 03:18:52.510,353.0
N3IPZ8LT,2025-04-01 03:18:52.510,353.0
GV8J8G16,2025-04-01 03:18:52.510,353.0
HWFE6LQ2,2025-04-01 03:18:52.510,353.0
HWMGJA0A,2025-04-01 03:18:52.510,353.0
9UZ99VOE,2025-04-01 03:18:52.510,353.0
VFGLICCX,2025-04-01 03:18:52.510,353.0
9D7D4V2F,2025-04-01 03:18:52.510,353.0
9L1Z431J,2025-04-01 03:18:52.510,353.0
T1FOSNX2,2025-04-01 03:18:52.510,353.0
LGAMZL0M,2025-04-01 03:18:52.510,353.0
AULF2QML,2025-04-01 03:18:52.510,353.0
O36MBDBD,2025-04-01 03:18:52.527,340.0
6H12T22L,2025-04-01 03:18:52.527,340.0
6YK93ORA,2025-04-01 03:18:52.527,340.0
G6K9GCS1,2025-04-01 03:18:52.527,340.0
TGR8VKZR,2025-04-01 03:18:52.527,340.0
34V8MN4T,2025-04-01 03:18:52.527,340.0
X5KKNGH4,2025-04-01 03:18:52.527,340.0
8ASX8CV6,2025-04-01 03:18:52.527,340.0
61TLGU6P,2025-04-01 03:18:52.527,340.0
BW44CX9G,2025-04-01 03:18:52.527,340.0
HNAA0YSV,2025-04-01 03:18:52.527,340.0
GO8TOZH7,2025-04-01 03:18:52.527,340.0
IIKKYUJR,2025-04-01 03:18:52.527,340.0
HQVFHG8V,2025-04-01 03:18:52.527,340.0
DU7BY0L0,2025-04-01 03:18:52.543,35.0
QPIYOBNP,2025-04-01 03:18:52.555,111.0
Y9DASILA,2025-04-01 03:18:52.555,111.0
VBYY3IMS,2025-04-01 03:18:52.555,111.0
X3IO62BJ,2025-04-01 03:18:52.555,111.0
9F2Z230E,2025-04-01 03:18:52.578,62.0
9CJKG8N4,2025-04-01 03:18:52.578,62.0
V5GI44RJ,2025-04-01 03:18:52.603,204.0
T60SO3TA,2025-04-01 03:18:52.603,204.0
OXK0JZRQ,2025-04-01 03:18:52.603,204.0
IJ6XEDZD,2025-04-01 03:18:52.603,204.0
6DU9DVGJ,2025-04-01 03:18:52.603,204.0
40MBKE22,2025-04-01 03:18:52.603,204.0
6XFHE9N4,2025-04-01 03:18:52.603,204.0
S4IEP5UM,2025-04-01 03:18:52.603,204.0
GKH5FYED,2025-04-01 03:18:52.642,60.0
S94TCD06,2025-04-01 03:18:52.642,60.0
KV8CJRFK,2025-04-01 03:18:52.668,146.0
7T7R4ID7,2025-04-01 03:18:52.668,146.0
GZ8P9X2Q,2025-04-01 03:18:52.668,146.0
YQ4W2P5Z,2025-04-01 03:18:52.668,146.0
SXE1ISJ2,2025-04-01 03:18:52.668,146.0
JMPBFVEA,2025-04-01 03:18:52.703,151.0
CNS35EE7,2025-04-01 03:18:52.703,151.0
BFNADD6O,2025-04-01 03:18:52.703,151.0
558YTK7E,2025-04-01 03:18:52.703,151.0
5KBYY80Y,2025-04-01 03:18:52.703,151.0
21SMY1DX,2025-04-01 03:18:52.703,151.0
8IV7Y1OA,2025-04-01 03:18:52.715,263.0
VP9VBDXI,2025-04-01 03:18:52.715,263.0
J36N1YTI,2025-04-01 03:18:52.715,263.0
28OVCXZ8,2025-04-01 03:18:52.715,263.0
LQJXDYHR,2025-04-01 03:18:52.715,263.0
U2P5BI1K,2025-04-01 03:18:52.715,263.0
3PO7QI6S,2025-04-01 03:18:52.715,263.0
M0Z9I20I,2025-04-01 03:18:52.715,263.0
GN4IT4ZT,2025-04-01 03:18:52.715,263.0
4N8C3Q41,2025-04-01 03:18:52.808,151.0
H9SCW2KX,2025-04-01 03:18:52.808,151.0
8B8QDR15,2025-04-01 03:18:52.808,151.0
PS3PYZ8O,2025-04-01 03:18:52.808,151.0
0SZS9HXM,2025-04-01 03:18:52.808,151.0
9AKIE3DA,2025-04-01 03:18:52.808,151.0
SAFKI0M3,2025-04-01 03:18:52.815,259.0
QOB50TUX,2025-04-01 03:18:52.815,259.0
NP5POV19,2025-04-01 03:18:52.815,259.0
UWWWCPHI,2025-04-01 03:18:52.815,259.0
CW0F75CV,2025-04-01 03:18:52.815,259.0
FBT0V8PV,2025-04-01 03:18:52.815,259.0
4SXKGWTF,2025-04-01 03:18:52.815,259.0
922JV16R,2025-04-01 03:18:52.815,259.0
9D81WBRY,2025-04-01 03:18:52.815,259.0
DG6T67BA,2025-04-01 03:18:52.855,151.0
38JO2WJM,2025-04-01 03:18:52.855,151.0
VFH22BAC,2025-04-01 03:18:52.855,151.0
APNYQNMR,2025-04-01 03:18:52.855,151.0
EAJT3VNV,2025-04-01 03:18:52.855,151.0
34CAR8KY,2025-04-01 03:18:52.855,151.0
7M113UWT,2025-04-01 03:18:52.864,382.0
UIM00XP5,2025-04-01 03:18:52.864,382.0
5HVFTKK4,2025-04-01 03:18:52.864,382.0
YWNX840H,2025-04-01 03:18:52.864,382.0
