id,enter_time_str,latency
7OXYHSGK,2025-04-01 03:14:18.416,895.0
W6AB6E97,2025-04-01 03:14:18.421,1028.0
UVSUJRAV,2025-04-01 03:14:18.428,891.0
EX41KKR1,2025-04-01 03:14:18.445,1347.0
8NKWZTS6,2025-04-01 03:14:18.453,1130.0
5BTO2JZY,2025-04-01 03:14:18.454,911.0
BURILMME,2025-04-01 03:14:18.457,787.0
2PGTPIFJ,2025-04-01 03:14:18.462,1669.0
KD5F12BB,2025-04-01 03:14:18.468,1154.0
RHFDLIRO,2025-04-01 03:14:18.469,1014.0
27HNBD6H,2025-04-01 03:14:18.471,1680.0
WZGOW8DC,2025-04-01 03:14:18.477,1655.0
8LOGP0M8,2025-04-01 03:14:18.480,1313.0
ZMHYVPEA,2025-04-01 03:14:18.487,1303.0
193QLXFJ,2025-04-01 03:14:18.488,1083.0
KQ4TWBQC,2025-04-01 03:14:18.492,1036.0
O0R5NFK2,2025-04-01 03:14:18.492,1161.0
9OOPH5BD,2025-04-01 03:14:18.501,1328.0
S08IEXPU,2025-04-01 03:14:18.501,982.0
Y8B9E7G0,2025-04-01 03:14:18.507,1290.0
Q55ZMYPW,2025-04-01 03:14:18.513,1284.0
IDTKBEY5,2025-04-01 03:14:18.520,846.0
3VA1NRFJ,2025-04-01 03:14:18.525,1090.0
2YVIZVO6,2025-04-01 03:14:18.529,841.0
QZU4DYX6,2025-04-01 03:14:18.533,832.0
MEZ3TMZ3,2025-04-01 03:14:18.533,1297.0
9DDVT4Z3,2025-04-01 03:14:18.536,1241.0
PE00NSUD,2025-04-01 03:14:18.542,828.0
HMPQ2XSK,2025-04-01 03:14:18.545,1250.0
SSCPCC2L,2025-04-01 03:14:18.550,1243.0
IGMPPEA1,2025-04-01 03:14:18.553,1003.0
UGZHF7Q5,2025-04-01 03:14:18.564,1058.0
N1H90JJQ,2025-04-01 03:14:18.567,1263.0
ZGYZ2LL1,2025-04-01 03:14:18.570,1005.0
S6XFWZD3,2025-04-01 03:14:18.573,1561.0
QG7NAIPL,2025-04-01 03:14:18.574,952.0
198VG9OA,2025-04-01 03:14:18.582,1215.0
WFM449TY,2025-04-01 03:14:18.587,1244.0
Q95M00GB,2025-04-01 03:14:18.589,1203.0
E22NHWLA,2025-04-01 03:14:18.595,890.0
HVICHO7R,2025-04-01 03:14:18.598,768.0
QRF6HH90,2025-04-01 03:14:18.605,1010.0
PXS2Q2Y6,2025-04-01 03:14:18.606,1226.0
ZI0558W5,2025-04-01 03:14:18.608,1066.0
QF51ZF6N,2025-04-01 03:14:18.612,1102.0
K64EJOYR,2025-04-01 03:14:18.615,1222.0
XD8CKFHQ,2025-04-01 03:14:18.625,1461.0
XTMD4Q49,2025-04-01 03:14:18.629,1045.0
UUXJHZGN,2025-04-01 03:14:18.631,994.0
JCBU3CI9,2025-04-01 03:14:18.636,786.0
QBCK0IRG,2025-04-01 03:14:18.642,1507.0
RUFGKOOF,2025-04-01 03:14:18.643,1244.0
BD0W7ATC,2025-04-01 03:14:18.647,1148.0
GLKIU8CR,2025-04-01 03:14:18.650,874.0
SF2JSW4F,2025-04-01 03:14:18.657,1174.0
GP9AF362,2025-04-01 03:14:18.659,1172.0
EIP50P8E,2025-04-01 03:14:18.665,952.0
SNYFCTXD,2025-04-01 03:14:18.666,818.0
SB9OL08X,2025-04-01 03:14:18.674,1121.0
S2YE1TW6,2025-04-01 03:14:18.677,1473.0
1Y1FR37W,2025-04-01 03:14:18.682,1109.0
AAHZ3DVP,2025-04-01 03:14:18.684,952.0
PP0PVLJL,2025-04-01 03:14:18.690,793.0
V1GRF2UT,2025-04-01 03:14:18.693,1103.0
7LZPOUDS,2025-04-01 03:14:18.699,1098.0
YK5ZTJIO,2025-04-01 03:14:18.701,1433.0
ZML2OGPK,2025-04-01 03:14:18.708,1120.0
TA4UMX7M,2025-04-01 03:14:18.712,1373.0
LRU94556,2025-04-01 03:14:18.717,765.0
ITWOJ56M,2025-04-01 03:14:18.717,1437.0
WIRFRPTW,2025-04-01 03:14:18.725,911.0
CK9FLUFC,2025-04-01 03:14:18.727,1068.0
SCGQ86AP,2025-04-01 03:14:18.734,1654.0
VWX2FM3X,2025-04-01 03:14:18.735,975.0
HSWD16YZ,2025-04-01 03:14:18.744,1049.0
0D107O0D,2025-04-01 03:14:18.750,735.0
JQUVWZVP,2025-04-01 03:14:18.751,671.0
BG3F6DH9,2025-04-01 03:14:18.759,1096.0
7C93KBS9,2025-04-01 03:14:18.759,1284.0
XA2UOCR0,2025-04-01 03:14:18.766,1383.0
AA7PTHO3,2025-04-01 03:14:18.769,1382.0
4DANSNU5,2025-04-01 03:14:18.769,1440.0
FT0XEJ96,2025-04-01 03:14:18.777,1013.0
1PY5K22S,2025-04-01 03:14:18.777,1554.0
EQZ8MLV0,2025-04-01 03:14:18.785,1863.0
DWM17QLY,2025-04-01 03:14:18.786,1301.0
70U4S8FU,2025-04-01 03:14:18.794,933.0
W8NNGJMI,2025-04-01 03:14:18.795,982.0
TGKTOUDI,2025-04-01 03:14:18.803,1729.0
TCN2X32D,2025-04-01 03:14:18.804,1350.0
KP6LEWSV,2025-04-01 03:14:18.813,1275.0
K6G2LWAI,2025-04-01 03:14:18.813,1021.0
R3Y0RV83,2025-04-01 03:14:18.820,1716.0
X0FCABDU,2025-04-01 03:14:18.821,1432.0
G9E9VUC6,2025-04-01 03:14:18.830,1816.0
CZG09IZG,2025-04-01 03:14:18.830,1560.0
R5NKHQE0,2025-04-01 03:14:18.838,1148.0
9SQD463P,2025-04-01 03:14:18.839,951.0
X761GMRR,2025-04-01 03:14:18.847,1305.0
ESSXIGD1,2025-04-01 03:14:18.847,1484.0
JSWYI3DO,2025-04-01 03:14:18.856,1353.0
4VIL1VTD,2025-04-01 03:14:18.856,1513.0
DAYZFAD6,2025-04-01 03:14:18.865,1784.0
KSPHZ0CI,2025-04-01 03:14:18.866,1301.0
0TMMMVT3,2025-04-01 03:14:18.873,1075.0
J5ZMSPTI,2025-04-01 03:14:18.873,1459.0
CRRPATJK,2025-04-01 03:14:18.882,1250.0
HVHXFUZ9,2025-04-01 03:14:18.882,1268.0
GVMS7J30,2025-04-01 03:14:18.890,1758.0
XGSXCITD,2025-04-01 03:14:18.895,1239.0
1J5YWCZ5,2025-04-01 03:14:18.899,1236.0
JVCFGFOT,2025-04-01 03:14:18.899,892.0
948HY9N2,2025-04-01 03:14:18.908,1179.0
S9BTT86G,2025-04-01 03:14:18.909,1299.0
CKWU5TAZ,2025-04-01 03:14:18.917,938.0
6MY1TEE2,2025-04-01 03:14:18.918,1214.0
XUV7TYSV,2025-04-01 03:14:18.925,1210.0
AW2M9Z0M,2025-04-01 03:14:18.927,1324.0
IVFAXR58,2025-04-01 03:14:18.934,1603.0
ZJSCH3MB,2025-04-01 03:14:18.934,1434.0
JGO96YRQ,2025-04-01 03:14:18.943,1018.0
S5E30U6W,2025-04-01 03:14:18.944,1446.0
AKTYEG61,2025-04-01 03:14:18.952,1696.0
NHN24VFN,2025-04-01 03:14:18.952,1584.0
PTYVNCOU,2025-04-01 03:14:18.960,1129.0
W3K3VG1D,2025-04-01 03:14:18.961,1192.0
QNLFYFUM,2025-04-01 03:14:18.970,1562.0
ZRRGOXZO,2025-04-01 03:14:18.970,1564.0
2V3VUDRD,2025-04-01 03:14:18.977,1411.0
CFSNRGSC,2025-04-01 03:14:18.978,910.0
ZWCL2ZD6,2025-04-01 03:14:18.986,1266.0
EEJ9198Q,2025-04-01 03:14:18.987,1005.0
5NNX8E0V,2025-04-01 03:14:18.994,1157.0
5IKYSAWF,2025-04-01 03:14:18.995,892.0
5VQ68LDF,2025-04-01 03:14:19.004,1529.0
VC7FAF28,2025-04-01 03:14:19.004,1330.0
JA5ABI5R,2025-04-01 03:14:19.013,1141.0
UCF5DIS1,2025-04-01 03:14:19.013,1356.0
S90M3CRF,2025-04-01 03:14:19.021,1115.0
GWGFKEKU,2025-04-01 03:14:19.022,1367.0
BE6HJRBH,2025-04-01 03:14:19.029,1061.0
ZQRZM349,2025-04-01 03:14:19.030,1617.0
PWYU6TPY,2025-04-01 03:14:19.038,1096.0
2T5687HT,2025-04-01 03:14:19.039,1005.0
R3DV65HZ,2025-04-01 03:14:19.048,839.0
2AOZKEIR,2025-04-01 03:14:19.048,1487.0
EP5B8R6T,2025-04-01 03:14:19.056,1153.0
R07E83Q2,2025-04-01 03:14:19.059,985.0
K6KGYDI0,2025-04-01 03:14:19.064,1187.0
9TRA8HL4,2025-04-01 03:14:19.065,1024.0
M826R3K1,2025-04-01 03:14:19.073,874.0
5G29CIB5,2025-04-01 03:14:19.074,1461.0
81ZR5N5O,2025-04-01 03:14:19.083,775.0
EWDQTKEG,2025-04-01 03:14:19.084,1127.0
5LG54BEN,2025-04-01 03:14:19.091,1042.0
OCJOGBGQ,2025-04-01 03:14:19.091,997.0
L7PS6YXT,2025-04-01 03:14:19.099,1435.0
4HCX6GIB,2025-04-01 03:14:19.100,888.0
XFDQBTG9,2025-04-01 03:14:19.108,881.0
YSBQB4XF,2025-04-01 03:14:19.109,1280.0
TEB8DBDY,2025-04-01 03:14:19.116,1019.0
8ZGFSIQB,2025-04-01 03:14:19.118,1420.0
XW9URGG2,2025-04-01 03:14:19.125,1411.0
U89AYBXE,2025-04-01 03:14:19.127,1400.0
XCKL8JJN,2025-04-01 03:14:19.135,1196.0
2P2OPETB,2025-04-01 03:14:19.135,853.0
UEJWT1YH,2025-04-01 03:14:19.143,881.0
TFN35P67,2025-04-01 03:14:19.143,1631.0
4OZ4ANNW,2025-04-01 03:14:19.152,1626.0
OUIG5PJ4,2025-04-01 03:14:19.153,1056.0
MQ0XJYRR,2025-04-01 03:14:19.160,1209.0
HN6CYVJO,2025-04-01 03:14:19.162,1528.0
J4SMWRA0,2025-04-01 03:14:19.168,1359.0
5MUMMMSK,2025-04-01 03:14:19.171,995.0
W1LU85U1,2025-04-01 03:14:19.178,989.0
Y0W2OK3N,2025-04-01 03:14:19.178,1512.0
