id,enter_time_str,latency
BURILMME,2025-04-01 03:14:18.906,337.0
7OXYHSGK,2025-04-01 03:14:18.934,375.0
UVSUJRAV,2025-04-01 03:14:18.950,367.0
IGMPPEA1,2025-04-01 03:14:19.210,342.0
ZGYZ2LL1,2025-04-01 03:14:19.214,359.0
8NKWZTS6,2025-04-01 03:14:19.217,364.0
5BTO2JZY,2025-04-01 03:14:19.243,119.0
QZU4DYX6,2025-04-01 03:14:19.243,119.0
HVICHO7R,2025-04-01 03:14:19.243,119.0
IDTKBEY5,2025-04-01 03:14:19.243,119.0
2YVIZVO6,2025-04-01 03:14:19.309,60.0
PE00NSUD,2025-04-01 03:14:19.309,60.0
RHFDLIRO,2025-04-01 03:14:19.318,163.0
S08IEXPU,2025-04-01 03:14:19.318,163.0
PP0PVLJL,2025-04-01 03:14:19.318,163.0
SNYFCTXD,2025-04-01 03:14:19.318,163.0
E22NHWLA,2025-04-01 03:14:19.318,163.0
0D107O0D,2025-04-01 03:14:19.318,163.0
JCBU3CI9,2025-04-01 03:14:19.363,57.0
JQUVWZVP,2025-04-01 03:14:19.363,57.0
W6AB6E97,2025-04-01 03:14:19.412,35.0
LRU94556,2025-04-01 03:14:19.448,32.0
KQ4TWBQC,2025-04-01 03:14:19.481,45.0
QG7NAIPL,2025-04-01 03:14:19.486,38.0
GLKIU8CR,2025-04-01 03:14:19.487,35.0
UUXJHZGN,2025-04-01 03:14:19.525,94.0
UGZHF7Q5,2025-04-01 03:14:19.525,94.0
KD5F12BB,2025-04-01 03:14:19.525,94.0
QRF6HH90,2025-04-01 03:14:19.527,85.0
3VA1NRFJ,2025-04-01 03:14:19.527,85.0
EIP50P8E,2025-04-01 03:14:19.527,85.0
193QLXFJ,2025-04-01 03:14:19.527,42.0
ZML2OGPK,2025-04-01 03:14:19.554,272.0
9OOPH5BD,2025-04-01 03:14:19.554,272.0
K64EJOYR,2025-04-01 03:14:19.554,272.0
MEZ3TMZ3,2025-04-01 03:14:19.554,272.0
N1H90JJQ,2025-04-01 03:14:19.554,272.0
SF2JSW4F,2025-04-01 03:14:19.554,272.0
GP9AF362,2025-04-01 03:14:19.554,272.0
WFM449TY,2025-04-01 03:14:19.554,272.0
PXS2Q2Y6,2025-04-01 03:14:19.554,272.0
AAHZ3DVP,2025-04-01 03:14:19.570,64.0
WIRFRPTW,2025-04-01 03:14:19.570,64.0
EX41KKR1,2025-04-01 03:14:19.574,215.0
1Y1FR37W,2025-04-01 03:14:19.574,215.0
Q95M00GB,2025-04-01 03:14:19.574,215.0
SSCPCC2L,2025-04-01 03:14:19.574,215.0
Q55ZMYPW,2025-04-01 03:14:19.574,215.0
HMPQ2XSK,2025-04-01 03:14:19.574,215.0
Y8B9E7G0,2025-04-01 03:14:19.574,215.0
7LZPOUDS,2025-04-01 03:14:19.574,215.0
8LOGP0M8,2025-04-01 03:14:19.582,207.0
HSWD16YZ,2025-04-01 03:14:19.582,207.0
SB9OL08X,2025-04-01 03:14:19.582,207.0
CK9FLUFC,2025-04-01 03:14:19.582,207.0
BD0W7ATC,2025-04-01 03:14:19.582,207.0
V1GRF2UT,2025-04-01 03:14:19.582,207.0
198VG9OA,2025-04-01 03:14:19.582,207.0
ZI0558W5,2025-04-01 03:14:19.613,59.0
XTMD4Q49,2025-04-01 03:14:19.613,59.0
O0R5NFK2,2025-04-01 03:14:19.620,31.0
VWX2FM3X,2025-04-01 03:14:19.666,43.0
QF51ZF6N,2025-04-01 03:14:19.672,39.0
70U4S8FU,2025-04-01 03:14:19.691,34.0
9DDVT4Z3,2025-04-01 03:14:19.709,66.0
W8NNGJMI,2025-04-01 03:14:19.709,66.0
9SQD463P,2025-04-01 03:14:19.712,76.0
FT0XEJ96,2025-04-01 03:14:19.712,76.0
ZMHYVPEA,2025-04-01 03:14:19.712,76.0
JVCFGFOT,2025-04-01 03:14:19.749,40.0
RUFGKOOF,2025-04-01 03:14:19.776,109.0
R3DV65HZ,2025-04-01 03:14:19.776,109.0
5IKYSAWF,2025-04-01 03:14:19.776,109.0
CFSNRGSC,2025-04-01 03:14:19.776,109.0
K6G2LWAI,2025-04-01 03:14:19.789,38.0
27HNBD6H,2025-04-01 03:14:19.790,355.0
QBCK0IRG,2025-04-01 03:14:19.790,355.0
XA2UOCR0,2025-04-01 03:14:19.790,355.0
S2YE1TW6,2025-04-01 03:14:19.790,355.0
HVHXFUZ9,2025-04-01 03:14:19.790,355.0
AA7PTHO3,2025-04-01 03:14:19.790,355.0
