id,enter_time_str,latency
P0YIR92C,2025-04-02 20:25:25.098,531.0
MF6G5L15,2025-04-02 20:25:25.117,486.0
BUK8NDX8,2025-04-02 20:25:25.157,464.0
83YBTL2B,2025-04-02 20:25:25.374,482.0
V7AMH4Z7,2025-04-02 20:25:25.611,515.0
ZQERM5YQ,2025-04-02 20:25:25.611,515.0
8NDSA5Z3,2025-04-02 20:25:25.611,515.0
CR2GYGXC,2025-04-02 20:25:25.611,515.0
GVXOEFM9,2025-04-02 20:25:25.611,515.0
MHKSY7UP,2025-04-02 20:25:25.611,515.0
LUKY97UI,2025-04-02 20:25:25.611,515.0
2GMVLSI4,2025-04-02 20:25:25.611,515.0
024EVVLG,2025-04-02 20:25:25.611,515.0
SYW5GJ5L,2025-04-02 20:25:25.611,515.0
SMN0LWBI,2025-04-02 20:25:25.627,339.0
PDTQHC6N,2025-04-02 20:25:25.627,339.0
T0ZNYVSR,2025-04-02 20:25:25.627,339.0
CAJH7UC7,2025-04-02 20:25:25.627,339.0
H70C2Z2K,2025-04-02 20:25:25.627,339.0
HPZKG2S2,2025-04-02 20:25:25.633,354.0
S51H7CTU,2025-04-02 20:25:25.633,354.0
G6D2FYPK,2025-04-02 20:25:25.633,354.0
QWAAU4XF,2025-04-02 20:25:25.633,354.0
PV974MAB,2025-04-02 20:25:25.633,354.0
TANLR3RH,2025-04-02 20:25:25.633,354.0
AZH13OMT,2025-04-02 20:25:25.858,155.0
DR9DWG4L,2025-04-02 20:25:25.858,155.0
Q4QSKIFP,2025-04-02 20:25:25.971,282.0
M8PBOFI5,2025-04-02 20:25:25.971,282.0
LK2BWGQO,2025-04-02 20:25:25.971,282.0
ZBGL1U49,2025-04-02 20:25:25.971,282.0
J5G1VV18,2025-04-02 20:25:25.971,282.0
NZXB1Y42,2025-04-02 20:25:25.971,282.0
56UCSR5Y,2025-04-02 20:25:25.999,279.0
52S8MLZ6,2025-04-02 20:25:25.999,279.0
LF47DIZL,2025-04-02 20:25:25.999,279.0
L6JDBQ0L,2025-04-02 20:25:25.999,279.0
R6VEMYN7,2025-04-02 20:25:25.999,279.0
W065L3R1,2025-04-02 20:25:25.999,279.0
C8TVIPAA,2025-04-02 20:25:26.018,110.0
FPMRA6D7,2025-04-02 20:25:26.018,110.0
M9E6M7XX,2025-04-02 20:25:26.130,64.0
AT4QGGUR,2025-04-02 20:25:26.157,232.0
KAJJQ56J,2025-04-02 20:25:26.157,232.0
ON11TOB5,2025-04-02 20:25:26.157,232.0
F20D9YG6,2025-04-02 20:25:26.157,232.0
C7SR5M9Y,2025-04-02 20:25:26.157,232.0
XVURLFO7,2025-04-02 20:25:26.200,64.0
01OAKL7R,2025-04-02 20:25:26.256,147.0
8YBBTOP8,2025-04-02 20:25:26.256,147.0
E6US046H,2025-04-02 20:25:26.256,147.0
ACBKKEC2,2025-04-02 20:25:26.284,298.0
M83QSMUF,2025-04-02 20:25:26.284,298.0
IT0ICVSH,2025-04-02 20:25:26.284,298.0
T42V6K5E,2025-04-02 20:25:26.284,298.0
VNOAZCZF,2025-04-02 20:25:26.284,298.0
V2KJ9EVK,2025-04-02 20:25:26.284,298.0
GWZ669SM,2025-04-02 20:25:26.382,64.0
M0VNRWWK,2025-04-02 20:25:26.392,108.0
BCI1WW8G,2025-04-02 20:25:26.392,108.0
NCCR5FCG,2025-04-02 20:25:26.406,105.0
UWJXNI46,2025-04-02 20:25:26.406,105.0
JROKWKQU,2025-04-02 20:25:26.448,67.0
2KWQ1BF3,2025-04-02 20:25:26.513,107.0
TJQ5TDCE,2025-04-02 20:25:26.513,107.0
