#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        29.435            
GPU 0     13                0                 0.001        0.000        0.000        0.000        0.000        38.060            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.962            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.973            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.962            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.962            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.962            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.765            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     22                3                 0.055        0.031        0.004        0.000        0.005        43.010            
GPU 0     22                3                 0.055        0.031        0.004        0.000        0.005        41.226            
GPU 0     21                2                 0.200        0.113        0.015        0.000        0.019        43.023            
GPU 0     21                3                 0.204        0.116        0.015        0.000        0.020        42.716            
GPU 0     22                3                 0.205        0.116        0.015        0.000        0.019        40.737            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     21                2                 0.203        0.116        0.015        0.000        0.019        42.020            
GPU 0     21                2                 0.206        0.117        0.015        0.000        0.020        44.000            
GPU 0     20                2                 0.198        0.112        0.015        0.000        0.019        43.205            
GPU 0     21                2                 0.206        0.117        0.015        0.000        0.020        41.421            
GPU 0     20                2                 0.205        0.116        0.015        0.000        0.020        44.479            
GPU 0     20                2                 0.206        0.117        0.015        0.000        0.020        43.596            
GPU 0     21                2                 0.197        0.111        0.015        0.000        0.019        43.306            
GPU 0     21                3                 0.205        0.116        0.015        0.000        0.020        41.617            
GPU 0     21                2                 0.206        0.116        0.015        0.000        0.020        40.725            
GPU 0     21                2                 0.205        0.116        0.015        0.000        0.020        42.117            
GPU 0     21                2                 0.196        0.111        0.015        0.000        0.019        42.216            
GPU 0     20                2                 0.205        0.116        0.015        0.000        0.019        42.411            
GPU 0     19                2                 0.206        0.116        0.015        0.000        0.020        40.627            
GPU 0     21                2                 0.206        0.116        0.015        0.000        0.020        41.714            
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     21                2                 0.204        0.116        0.015        0.000        0.020        42.216            
GPU 0     20                2                 0.196        0.111        0.015        0.000        0.019        42.117            
GPU 0     21                2                 0.205        0.116        0.015        0.000        0.020        41.315            
GPU 0     20                2                 0.205        0.116        0.015        0.000        0.020        42.305            
GPU 0     21                2                 0.205        0.116        0.015        0.000        0.020        43.698            
GPU 0     21                2                 0.194        0.110        0.015        0.000        0.018        41.714            
GPU 0     0                 0                 0.206        0.116        0.015        0.000        0.020        37.754            
GPU 0     0                 0                 0.016        0.009        0.001        0.000        0.002        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.754            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.060            
