#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        32.513            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.254            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.254            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        38.156            
GPU 0     100               20                0.000        0.000        0.000        0.000        0.000        161.591           
GPU 0     94                16                0.545        0.531        0.218        0.000        0.066        168.228           
GPU 0     95                14                0.916        0.857        0.295        0.001        0.108        160.179           
GPU 0     96                13                0.900        0.834        0.273        0.001        0.101        169.108           
GPU 0     97                17                0.793        0.711        0.212        0.000        0.087        70.256            
GPU 0     96                15                0.795        0.718        0.218        0.000        0.086        171.902           
GPU 0     89                14                0.876        0.818        0.279        0.001        0.101        163.996           
GPU 0     93                15                0.870        0.785        0.235        0.001        0.092        163.951           
GPU 0     94                12                0.906        0.843        0.289        0.001        0.102        170.631           
GPU 0     96                17                0.917        0.842        0.266        0.001        0.099        170.488           
GPU 0     97                18                0.895        0.834        0.276        0.001        0.098        168.462           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     95                13                0.877        0.818        0.273        0.001        0.106        154.516           
GPU 0     0                 0                 0.864        0.771        0.229        0.001        0.088        41.311            
GPU 0     0                 0                 0.295        0.280        0.099        0.000        0.033        40.724            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        40.724            
