#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.311            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.161            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.368            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.169            
GPU 0     0                 0                 0.249        0.241        0.109        0.000        0.027        63.410            
GPU 0     91                12                0.839        0.775        0.263        0.001        0.101        169.036           
GPU 0     93                14                0.912        0.830        0.256        0.001        0.098        169.921           
GPU 0     96                13                0.871        0.811        0.282        0.001        0.101        67.142            
GPU 0     97                15                0.885        0.815        0.266        0.001        0.098        71.215            
GPU 0     97                16                0.885        0.815        0.266        0.001        0.098        171.469           
GPU 0     98                17                0.862        0.803        0.266        0.001        0.101        125.625           
GPU 0     68                9                 0.909        0.847        0.289        0.001        0.107        166.427           
GPU 0     86                11                0.888        0.836        0.293        0.001        0.112        173.055           
GPU 0     96                13                0.936        0.890        0.314        0.001        0.120        163.331           
GPU 0     96                17                0.925        0.867        0.306        0.001        0.110        126.900           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.912        0.857        0.290        0.001        0.110        65.703            
