#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        28.848            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.336            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.336            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        30.336            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.363            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        37.374            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.363            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.253            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.374            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.374            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        37.351            
GPU 0     95                19                0.000        0.000        0.000        0.000        0.000        155.114           
GPU 0     90                16                0.589        0.580        0.254        0.000        0.081        164.260           
GPU 0     96                18                0.928        0.907        0.395        0.001        0.144        164.910           
GPU 0     95                17                0.968        0.944        0.425        0.001        0.147        168.480           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     100               17                0.960        0.936        0.400        0.001        0.152        162.154           
GPU 0     100               21                0.963        0.947        0.405        0.001        0.159        166.871           
GPU 0     96                19                0.965        0.944        0.424        0.001        0.145        164.703           
GPU 0     95                20                0.966        0.945        0.423        0.001        0.147        166.860           
GPU 0     95                19                0.965        0.940        0.408        0.001        0.152        165.283           
GPU 0     97                20                0.968        0.944        0.424        0.001        0.146        167.010           
GPU 0     96                20                0.967        0.943        0.421        0.001        0.146        167.499           
GPU 0     0                 0                 0.968        0.952        0.401        0.001        0.162        40.430            
GPU 0     0                 0                 0.481        0.473        0.199        0.000        0.080        39.746            
