Timestamp, GPU_ID, Total_Memory_MB, Used_Memory_MB, Free_Memory_MB
2025-04-01 04:00:02, 0,  24576,  1,  24050
2025-04-01 04:00:07, 0,  24576,  1,  24050
2025-04-01 04:00:13, 0,  24576,  1,  24050
2025-04-01 04:00:18, 0,  24576,  4,  24046
2025-04-01 04:00:23, 0,  24576,  2403,  21647
2025-04-01 04:00:28, 0,  24576,  2403,  21647
2025-04-01 04:00:33, 0,  24576,  2403,  21647
2025-04-01 04:00:38, 0,  24576,  2441,  21609
2025-04-01 04:00:43, 0,  24576,  11729,  12321
2025-04-01 04:00:48, 0,  24576,  11731,  12319
2025-04-01 04:00:53, 0,  24576,  11979,  12071
2025-04-01 04:00:58, 0,  24576,  12009,  12041
2025-04-01 04:01:03, 0,  24576,  12009,  12041
2025-04-01 04:01:08, 0,  24576,  12347,  11703
2025-04-01 04:01:13, 0,  24576,  12347,  11703
2025-04-01 04:01:18, 0,  24576,  12347,  11703
2025-04-01 04:01:23, 0,  24576,  12347,  11703
