#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        44.955            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.828            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.522            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        27.522            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.564            
GPU 0     0                 0                 0.001        0.000        0.000        0.000        0.000        34.368            
GPU 0     0                 0                 0.000        0.000        0.000        0.000        0.000        34.466            
GPU 0     41                8                 0.000        0.000        0.000        0.000        0.000        166.829           
GPU 0     71                10                0.183        0.165        0.065        0.001        0.020        76.999            
GPU 0     82                14                0.624        0.566        0.224        0.002        0.086        100.121           
GPU 0     60                10                0.636        0.586        0.249        0.003        0.090        164.036           
GPU 0     71                12                0.636        0.591        0.243        0.002        0.092        93.613            
GPU 0     73                12                0.585        0.532        0.216        0.002        0.084        174.768           
GPU 0     56                8                 0.632        0.579        0.232        0.003        0.091        68.727            
GPU 0     91                15                0.621        0.557        0.220        0.002        0.083        167.659           
#Entity   GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        POWER             
ID                                                                                                              W                
GPU 0     55                10                0.651        0.601        0.235        0.003        0.091        63.019            
